Symbol;Company Name;Market Cap;Price;Change %;Sector;Analyst Rating
AZN;AstraZeneca PLC;158.23 B GBP;10,336 GBX;+1.29%;Health technology;Strong buy
HSBA;HSBC Holdings PLC ORD USD0.50;154.64 B GBP;885.9 GBX;+0.12%;Finance;Neutral
SHEL;Shell PLC ORD EUR0.07;154.23 B GBP;2,628.0 GBX;+0.29%;Energy minerals;Buy
ULVR;Unilever PLC ORD GBP0.031111;110.12 B GBP;4,505 GBX;+0.38%;Consumer non-durables;Buy
RR.;Rolls Royce Holdings ORD GBP0.20;80.68 B GBP;962.6 GBX;+0.86%;Electronic technology;Buy
BATS;British American Tobacco ORD GBP0.25;77.24 B GBP;3,543 GBX;+0.37%;Consumer non-durables;Buy
RIO;Rio Tinto ORD GBP0.10;73.5 B GBP;4,266.5 GBX;-0.69%;Non-energy minerals;Buy
REL;Relx PLC ORD GBP0.1444;71.41 B GBP;3,899 GBX;-0.03%;Commercial services;Buy
BP;BP ORD USD0.25;58.94 B GBP;379.25 GBX;+0.13%;Energy minerals;Neutral
LSEG;London Stock Exchange Group;56.77 B GBP;10,700 GBX;-0.79%;Technology services;Strong buy
GSK;GSK PLC ORD GBP0.3125;56.38 B GBP;1,405.0 GBX;+0.79%;Health technology;Neutral
BA.;BAE Systems ORD GBP0.025;54.99 B GBP;1,879.5 GBX;+0.16%;Electronic technology;Buy
NG.;National Grid ORD GBP0.1243;51.05 B GBP;1,047.0 GBX;+0.53%;Utilities;Buy
BARC;Barclays PLC ORD GBP0.25;47.03 B GBP;330.50 GBX;-0.56%;Finance;Buy
LLOY;Lloyds Banking Group ORD GBP0.10;45.41 B GBP;75.36 GBX;-0.69%;Finance;Buy
CPG;Compass Group PLC ORD GBP0.1105;42.5 B GBP;2,497 GBX;-0.28%;Consumer services;Buy
DGE;Diageo PLC ORD GBP0.28 101/108;42.49 B GBP;1,908.5 GBX;-0.18%;Consumer non-durables;Buy
NWG;Natwest GROUP PLC ORD GBP1.00;39.55 B GBP;483.2 GBX;-1.19%;Finance;Buy
III;3I GROUP ORD GBP0.738636;39.37 B GBP;4,042 GBX;+0.88%;Miscellaneous;Buy
GLEN;Glencore PLC ORD USD0.01;36.4 B GBP;302.85 GBX;-1.09%;Distribution services;Strong buy
EXPN;Experian PLC ORD USD0.10;35.03 B GBP;3,821 GBX;-0.26%;Commercial services;Buy
