,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,442342.0,0.0,0.0,0.0
Preferred Shares Number,,,,50000.0
Ordinary Shares Number,1550103897.0,1550162626.0,1549800030.0,1549400665.0
Share Issued,1550546239.0,1550162626.0,1549800030.0,1549400665.0
Net Debt,23174000000.0,21439000000.0,22024000000.0,23372000000.0
Total Debt,30114000000.0,28407000000.0,29143000000.0,30688000000.0
Tangible Book Value,-17416000000.0,-18994000000.0,-22090000000.0,-23116000000.0
Invested Capital,69448000000.0,66422000000.0,65227000000.0,68969000000.0
Working Capital,-2039000000.0,-5488000000.0,-3700000000.0,3650000000.0
Net Tangible Assets,-17416000000.0,-18994000000.0,-22090000000.0,-23116000000.0
Capital Lease Obligations,1452000000.0,1128000000.0,953000000.0,987000000.0
Common Stock Equity,40786000000.0,39143000000.0,37037000000.0,39268000000.0
Total Capitalization,67292000000.0,61508000000.0,60002000000.0,67402000000.0
Total Equity Gross Minority Interest,40871000000.0,39166000000.0,37058000000.0,39287000000.0
Minority Interest,85000000.0,23000000.0,21000000.0,19000000.0
Stockholders Equity,40786000000.0,39143000000.0,37037000000.0,39268000000.0
Retained Earnings,3160000000.0,1502000000.0,-574000000.0,1710000000.0
Additional Paid In Capital,35379000000.0,35341000000.0,35308000000.0,35279000000.0
Capital Stock,388000000.0,388000000.0,387000000.0,387000000.0
Common Stock,388000000.0,388000000.0,387000000.0,387000000.0
Total Liabilities Net Minority Interest,63164000000.0,61953000000.0,59425000000.0,66076000000.0
Total Non Current Liabilities Net Minority Interest,35298000000.0,31411000000.0,33132000000.0,43482000000.0
Derivative Product Liabilities,115000000.0,38000000.0,943000000.0,1583000000.0
Non Current Pension And Other Postretirement Benefit Plans,1330000000.0,1520000000.0,1168000000.0,2454000000.0
Non Current Accrued Expenses,65000000.0,36000000.0,37000000.0,25000000.0
Tradeand Other Payables Non Current,1943000000.0,2617000000.0,3440000000.0,3344000000.0
Non Current Deferred Revenue,0.0,7000000.0,14000000.0,26000000.0
Non Current Deferred Taxes Liabilities,3305000000.0,2844000000.0,2944000000.0,6206000000.0
Long Term Debt And Capital Lease Obligation,27619000000.0,23222000000.0,23690000000.0,28888000000.0
Long Term Capital Lease Obligation,1113000000.0,857000000.0,725000000.0,754000000.0
Long Term Debt,26506000000.0,22365000000.0,22965000000.0,28134000000.0
Long Term Provisions,921000000.0,1127000000.0,896000000.0,956000000.0
Current Liabilities,27866000000.0,30542000000.0,26293000000.0,22594000000.0
Current Debt And Capital Lease Obligation,2495000000.0,5185000000.0,5453000000.0,1800000000.0
Current Capital Lease Obligation,339000000.0,271000000.0,228000000.0,233000000.0
Current Debt,2156000000.0,4914000000.0,5225000000.0,1567000000.0
Current Provisions,1269000000.0,1028000000.0,722000000.0,768000000.0
Payables,8058000000.0,7623000000.0,5841000000.0,5858000000.0
Other Payable,2611000000.0,2280000000.0,1927000000.0,1655000000.0
Total Tax Payable,1807000000.0,2076000000.0,1364000000.0,1379000000.0
Accounts Payable,3640000000.0,3267000000.0,2550000000.0,2824000000.0
Total Assets,104035000000.0,101119000000.0,96483000000.0,105363000000.0
Total Non Current Assets,78208000000.0,76065000000.0,73890000000.0,79119000000.0
Defined Pension Benefit,99000000.0,92000000.0,90000000.0,0.0
Non Current Prepaid Assets,356000000.0,274000000.0,243000000.0,391000000.0
Non Current Deferred Taxes Assets,5347000000.0,4718000000.0,3263000000.0,4330000000.0
Financial Assets,182000000.0,228000000.0,74000000.0,102000000.0
Other Investments,1632000000.0,1530000000.0,,
Investmentin Financial Assets,1632000000.0,1530000000.0,1066000000.0,1168000000.0
Available For Sale Securities,1632000000.0,1530000000.0,1056000000.0,1168000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,0.0,0.0,10000000.0,0.0
Long Term Equity Investment,268000000.0,147000000.0,76000000.0,69000000.0
Goodwill And Other Intangible Assets,58202000000.0,58137000000.0,59127000000.0,62384000000.0
Other Intangible Assets,37177000000.0,38089000000.0,39307000000.0,42387000000.0
Goodwill,21025000000.0,20048000000.0,19820000000.0,19997000000.0
Net PPE,11647000000.0,10502000000.0,9449000000.0,10171000000.0
Accumulated Depreciation,-8875000000.0,-8599000000.0,-7743000000.0,-8324000000.0
Gross PPE,20522000000.0,19101000000.0,17192000000.0,18495000000.0
Construction In Progress,2789000000.0,2045000000.0,2653000000.0,2728000000.0
Other Properties,47000000.0,36000000.0,32000000.0,33000000.0
Machinery Furniture Equipment,9518000000.0,9199000000.0,7885000000.0,8224000000.0
Buildings And Improvements,1588000000.0,1352000000.0,1182000000.0,1133000000.0
Land And Improvements,6580000000.0,6469000000.0,5440000000.0,6377000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,25827000000.0,25054000000.0,22593000000.0,26244000000.0
Other Current Assets,,,,105000000.0
Hedging Assets Current,54000000.0,116000000.0,87000000.0,83000000.0
Assets Held For Sale Current,0.0,0.0,150000000.0,368000000.0
Restricted Cash,129000000.0,102000000.0,162000000.0,0.0
Prepaid Assets,1737000000.0,1617000000.0,1329000000.0,1512000000.0
Inventory,5288000000.0,5424000000.0,4699000000.0,8983000000.0
Finished Goods,1517000000.0,1568000000.0,1413000000.0,2012000000.0
Work In Process,2282000000.0,2325000000.0,1864000000.0,5216000000.0
Raw Materials,1489000000.0,1531000000.0,1422000000.0,1755000000.0
Other Receivables,2933000000.0,2102000000.0,1980000000.0,2101000000.0
Taxes Receivable,1859000000.0,1426000000.0,731000000.0,663000000.0
Accounts Receivable,8302000000.0,8407000000.0,7212000000.0,6031000000.0
Allowance For Doubtful Accounts Receivable,-33000000.0,-45000000.0,-59000000.0,-23000000.0
Gross Accounts Receivable,8335000000.0,8452000000.0,7271000000.0,6054000000.0
Cash Cash Equivalents And Short Term Investments,5525000000.0,5860000000.0,6243000000.0,6398000000.0
Other Short Term Investments,37000000.0,20000000.0,77000000.0,69000000.0
Cash And Cash Equivalents,5488000000.0,5840000000.0,6166000000.0,6329000000.0
Cash Equivalents,4273000000.0,4515000000.0,4755000000.0,4868000000.0
Cash Financial,1215000000.0,1325000000.0,1411000000.0,1461000000.0
