,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,7275000000.0,6567000000.0,7237000000.0,3763000000.0,
Repayment Of Debt,-4652000000.0,-4942000000.0,-1271000000.0,-4759000000.0,
Issuance Of Debt,6492000000.0,3816000000.0,0.0,12929000000.0,
Issuance Of Capital Stock,-43000000.0,33000000.0,29000000.0,29000000.0,
Capital Expenditure,-4586000000.0,-3778000000.0,-2571000000.0,-2200000000.0,
End Cash Position,5429000000.0,5637000000.0,5983000000.0,6038000000.0,
Beginning Cash Position,5637000000.0,5983000000.0,6038000000.0,7546000000.0,
Effect Of Exchange Rate Changes,-93000000.0,-60000000.0,-80000000.0,-62000000.0,
Changes In Cash,-115000000.0,-286000000.0,25000000.0,-1446000000.0,
Financing Cash Flow,-3996000000.0,-6567000000.0,-6823000000.0,3649000000.0,
Net Other Financing Charges,-817000000.0,-886000000.0,-1047000000.0,-178000000.0,
Cash Dividends Paid,-4629000000.0,-4481000000.0,-4364000000.0,-3856000000.0,
Common Stock Dividend Paid,-4629000000.0,-4481000000.0,-4364000000.0,-3856000000.0,
Net Common Stock Issuance,-43000000.0,33000000.0,29000000.0,29000000.0,
Common Stock Issuance,-43000000.0,33000000.0,29000000.0,29000000.0,
Net Issuance Payments Of Debt,1809000000.0,-965000000.0,-1197000000.0,7894000000.0,
Net Short Term Debt Issuance,-31000000.0,161000000.0,74000000.0,-276000000.0,
Net Long Term Debt Issuance,1840000000.0,-1126000000.0,-1271000000.0,8170000000.0,
Long Term Debt Payments,-4652000000.0,-4942000000.0,-1271000000.0,-4759000000.0,
Long Term Debt Issuance,6492000000.0,3816000000.0,0.0,12929000000.0,
Investing Cash Flow,-7980000000.0,-4064000000.0,-2960000000.0,-11058000000.0,
Net Other Investing Changes,,190000000.0,,20000000.0,40000000.0
Interest Received Cfi,343000000.0,287000000.0,60000000.0,34000000.0,
Net Investment Purchase And Sale,12000000.0,-7000000.0,-117000000.0,-79000000.0,
Sale Of Investment,108000000.0,129000000.0,42000000.0,105000000.0,
Purchase Of Investment,-96000000.0,-136000000.0,-159000000.0,-184000000.0,
Net Business Purchase And Sale,-3927000000.0,-1179000000.0,-1061000000.0,-9433000000.0,
Sale Of Business,13000000.0,0.0,0.0,776000000.0,
Purchase Of Business,-3940000000.0,-1179000000.0,-1061000000.0,-10209000000.0,
Net Intangibles Purchase And Sale,-2539000000.0,-2126000000.0,-1033000000.0,-522000000.0,
Sale Of Intangibles,123000000.0,291000000.0,447000000.0,587000000.0,
Purchase Of Intangibles,-2662000000.0,-2417000000.0,-1480000000.0,-1109000000.0,
Net PPE Purchase And Sale,-1869000000.0,-1229000000.0,-809000000.0,-1078000000.0,
Sale Of PPE,55000000.0,132000000.0,282000000.0,13000000.0,
Purchase Of PPE,-1924000000.0,-1361000000.0,-1091000000.0,-1091000000.0,
Operating Cash Flow,11861000000.0,10345000000.0,9808000000.0,5963000000.0,
Taxes Refund Paid,-2750000000.0,-2366000000.0,-1623000000.0,-1743000000.0,
Interest Paid Cfo,-1313000000.0,-1081000000.0,-849000000.0,-721000000.0,
Change In Working Capital,-893000000.0,300000000.0,3757000000.0,2021000000.0,
Change In Payable,862000000.0,2394000000.0,1165000000.0,1405000000.0,
Change In Inventory,-131000000.0,-669000000.0,3941000000.0,1577000000.0,
Change In Receivables,-1624000000.0,-1425000000.0,-1349000000.0,-961000000.0,
Other Non Cash Items,1527000000.0,1451000000.0,639000000.0,1342000000.0,
Depreciation And Amortization,5065000000.0,4934000000.0,5254000000.0,4102000000.0,
Amortization Cash Flow,3923000000.0,3926000000.0,4156000000.0,3143000000.0,
Depreciation,1142000000.0,1008000000.0,1098000000.0,959000000.0,
Gain Loss On Investment Securities,-95000000.0,-40000000.0,-14000000.0,4000000.0,
Net Foreign Currency Exchange Gain Loss,42000000.0,34000000.0,16000000.0,20000000.0,
Gain Loss On Sale Of PPE,-64000000.0,-251000000.0,-104000000.0,-513000000.0,
Gain Loss On Sale Of Business,,0.0,0.0,-776000000.0,0.0
Net Income From Continuing Operations,8691000000.0,6899000000.0,2501000000.0,-265000000.0,
