,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-29047290.300311,-66485287.722858,-140790000.0,226290000.0,
Tax Rate For Calcs,0.189852,0.135962,0.19,0.19,
Normalized EBITDA,15591000000.0,13911000000.0,9826000000.0,3922000000.0,
Total Unusual Items,-153000000.0,-489000000.0,-741000000.0,1191000000.0,
Total Unusual Items Excluding Goodwill,-153000000.0,-489000000.0,-741000000.0,1191000000.0,
Net Income From Continuing Operation Net Minority Interest,7035000000.0,5955000000.0,3288000000.0,112000000.0,
Reconciled Depreciation,5065000000.0,4934000000.0,5254000000.0,4102000000.0,
Reconciled Cost Of Revenue,10207000000.0,8268000000.0,12391000000.0,12437000000.0,
EBITDA,15438000000.0,13422000000.0,9085000000.0,5113000000.0,
EBIT,10373000000.0,8488000000.0,3831000000.0,1011000000.0,
Net Interest Income,-1337000000.0,-1288000000.0,-1249000000.0,-1233000000.0,
Interest Expense,1682000000.0,1589000000.0,1330000000.0,1276000000.0,
Interest Income,345000000.0,301000000.0,81000000.0,43000000.0,
Normalized Income,7158952709.699689,6377514712.277142,3888210000.0,-852710000.0,
Net Income From Continuing And Discontinued Operation,7035000000.0,5955000000.0,3288000000.0,112000000.0,
Total Expenses,43822000000.0,37089000000.0,39839000000.0,37556000000.0,
Rent Expense Supplemental,377000000.0,301000000.0,268000000.0,262000000.0,
Total Operating Income As Reported,10003000000.0,8193000000.0,3757000000.0,1056000000.0,
Diluted Average Shares,3126000000.0,3124000000.0,3120000000.0,2854000000.0,
Basic Average Shares,3100000000.0,3098000000.0,3096000000.0,2836000000.0,
Diluted EPS,2.25,1.905,1.055,0.04,
Basic EPS,2.27,1.92,1.06,0.04,
Diluted NI Availto Com Stockholders,7035000000.0,5955000000.0,3288000000.0,112000000.0,
Net Income Common Stockholders,7035000000.0,5955000000.0,3288000000.0,112000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,7035000000.0,5955000000.0,3288000000.0,112000000.0,
Minority Interests,-6000000.0,-6000000.0,-5000000.0,-3000000.0,
Net Income Including Noncontrolling Interests,7041000000.0,5961000000.0,3293000000.0,115000000.0,
Net Income Continuous Operations,7041000000.0,5961000000.0,3293000000.0,115000000.0,
Tax Provision,1650000000.0,938000000.0,-792000000.0,-380000000.0,
Pretax Income,8691000000.0,6899000000.0,2501000000.0,-265000000.0,
Special Income Charges,-248000000.0,-529000000.0,-755000000.0,1195000000.0,
Other Special Charges,-12000000.0,9000000.0,573000000.0,-1237000000.0,
Impairment Of Capital Assets,,,0.0,0.0,12000000.0
Restructuring And Mergern Acquisition,260000000.0,520000000.0,182000000.0,42000000.0,
Net Non Operating Interest Income Expense,-1337000000.0,-1288000000.0,-1249000000.0,-1233000000.0,
Total Other Finance Cost,,,,,-6000000.0
Interest Expense Non Operating,1682000000.0,1589000000.0,1330000000.0,1276000000.0,
Interest Income Non Operating,345000000.0,301000000.0,81000000.0,43000000.0,
Operating Income,10251000000.0,8722000000.0,4512000000.0,-139000000.0,
Operating Expense,33615000000.0,28821000000.0,27448000000.0,25119000000.0,
Other Operating Expenses,121000000.0,164000000.0,200000000.0,308000000.0,
Depreciation And Amortization In Income Statement,,,,1000000.0,2000000.0
Amortization,,,,1000000.0,2000000.0
Depreciation Income Statement,,,,0.0,0.0
Research And Development,13583000000.0,10935000000.0,9762000000.0,9736000000.0,
Selling General And Administration,20224000000.0,18222000000.0,17984000000.0,15590000000.0,
Selling And Marketing Expense,555000000.0,539000000.0,536000000.0,446000000.0,
General And Administrative Expense,19669000000.0,17683000000.0,17448000000.0,15144000000.0,
Gross Profit,43866000000.0,37543000000.0,31960000000.0,24980000000.0,
Cost Of Revenue,10207000000.0,8268000000.0,12391000000.0,12437000000.0,
Total Revenue,54073000000.0,45811000000.0,44351000000.0,37417000000.0,
Operating Revenue,54073000000.0,45811000000.0,44351000000.0,37417000000.0,
