,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,19000000.0,19000000.0,0.0,0.0,
Ordinary Shares Number,14400599565.0,15135554000.0,15871000000.0,16752000000.0,
Share Issued,14419599565.0,15154554000.0,15871000000.0,16752000000.0,
Total Debt,185746000000.0,176551000000.0,183366000000.0,166590000000.0,
Tangible Book Value,63546000000.0,63410000000.0,60053000000.0,60991000000.0,
Invested Capital,256362000000.0,246784000000.0,250442000000.0,234325000000.0,
Net Tangible Assets,63546000000.0,63410000000.0,60053000000.0,60991000000.0,
Common Stock Equity,71821000000.0,71204000000.0,68292000000.0,69052000000.0,
Total Capitalization,256362000000.0,246784000000.0,250442000000.0,234325000000.0,
Total Equity Gross Minority Interest,72481000000.0,71864000000.0,69260000000.0,70041000000.0,
Minority Interest,660000000.0,660000000.0,968000000.0,989000000.0,
Stockholders Equity,71821000000.0,71204000000.0,68292000000.0,69052000000.0,
Other Equity Interest,12075000000.0,13259000000.0,13284000000.0,12259000000.0,
Retained Earnings,56028000000.0,53734000000.0,52827000000.0,50487000000.0,
Additional Paid In Capital,581000000.0,499000000.0,405000000.0,348000000.0,
Capital Stock,3605000000.0,3789000000.0,3968000000.0,4188000000.0,
Common Stock,3605000000.0,3789000000.0,3968000000.0,4188000000.0,
Total Liabilities Net Minority Interest,1445721000000.0,1405623000000.0,1444439000000.0,1314244000000.0,
Derivative Product Liabilities,279415000000.0,250044000000.0,289620000000.0,256883000000.0,
Long Term Debt And Capital Lease Obligation,185746000000.0,176551000000.0,183366000000.0,166590000000.0,
Payables,5394000000.0,7167000000.0,8450000000.0,5482000000.0,
Other Payable,4828000000.0,6638000000.0,7870000000.0,4793000000.0,
Total Tax Payable,566000000.0,529000000.0,580000000.0,689000000.0,
Total Assets,1518202000000.0,1477487000000.0,1513699000000.0,1384285000000.0,
Defined Pension Benefit,3263000000.0,3667000000.0,4743000000.0,3879000000.0,
Investments And Advances,597283000000.0,557362000000.0,543702000000.0,499903000000.0,
Investmentin Financial Assets,596392000000.0,556483000000.0,542780000000.0,498904000000.0,
Available For Sale Securities,142986000000.0,127814000000.0,110327000000.0,93531000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,6893000000.0,9881000000.0,9458000000.0,8291000000.0,
Trading Securities,152983000000.0,161952000000.0,120615000000.0,134510000000.0,
Long Term Equity Investment,891000000.0,879000000.0,922000000.0,999000000.0,
Investmentsin Joint Venturesat Cost,199000000.0,209000000.0,227000000.0,277000000.0,
Investmentsin Associatesat Cost,692000000.0,670000000.0,695000000.0,722000000.0,
Investment Properties,9000000.0,2000000.0,5000000.0,7000000.0,
Goodwill And Other Intangible Assets,8275000000.0,7794000000.0,8239000000.0,8061000000.0,
Other Intangible Assets,3825000000.0,3617000000.0,4327000000.0,4168000000.0,
Goodwill,4450000000.0,4177000000.0,3912000000.0,3893000000.0,
Net PPE,3595000000.0,3415000000.0,3611000000.0,3548000000.0,
Accumulated Depreciation,-4493000000.0,-4512000000.0,-4942000000.0,-5713000000.0,
Gross PPE,8088000000.0,7927000000.0,8553000000.0,9261000000.0,
Other Properties,2245000000.0,2347000000.0,3018000000.0,3210000000.0,
Buildings And Improvements,5843000000.0,5580000000.0,5535000000.0,6051000000.0,
Properties,,,,,5936000000.0
Taxes Receivable,155000000.0,121000000.0,385000000.0,261000000.0,
Cash And Cash Equivalents,210184000000.0,224634000000.0,256351000000.0,238574000000.0,
Cash Financial,,,,,191127000000.0
Cash Cash Equivalents And Federal Funds Sold,356691000000.0,376359000000.0,421808000000.0,386815000000.0,
