,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,5539000000.0,-2645000000.0,28485000000.0,47199000000.0,
Repurchase Of Capital Stock,-5034000000.0,-5249000000.0,-4133000000.0,-1674000000.0,
Repayment Of Debt,-7619000000.0,-8491000000.0,-9014000000.0,-8282000000.0,
Issuance Of Debt,14014000000.0,11359000000.0,12616000000.0,10305000000.0,
Issuance Of Capital Stock,1684000000.0,3251000000.0,3205000000.0,1118000000.0,
Capital Expenditure,-1574000000.0,-1718000000.0,-1746000000.0,-1720000000.0,
End Cash Position,235611000000.0,248007000000.0,278790000000.0,259206000000.0,
Beginning Cash Position,248007000000.0,278790000000.0,259206000000.0,210142000000.0,
Effect Of Exchange Rate Changes,-2407000000.0,-5053000000.0,10330000000.0,-4232000000.0,
Changes In Cash,-9989000000.0,-25730000000.0,9254000000.0,53296000000.0,
Financing Cash Flow,784000000.0,-1389000000.0,696000000.0,107000000.0,
Cash Dividends Paid,-2261000000.0,-2259000000.0,-1978000000.0,-1360000000.0,
Common Stock Dividend Paid,-2261000000.0,-2259000000.0,-1978000000.0,-1360000000.0,
Net Common Stock Issuance,-3350000000.0,-1998000000.0,-928000000.0,-556000000.0,
Common Stock Payments,-5034000000.0,-5249000000.0,-4133000000.0,-1674000000.0,
Common Stock Issuance,1684000000.0,3251000000.0,3205000000.0,1118000000.0,
Net Issuance Payments Of Debt,6395000000.0,2868000000.0,3602000000.0,2023000000.0,
Net Long Term Debt Issuance,6395000000.0,2868000000.0,3602000000.0,2023000000.0,
Long Term Debt Payments,-7619000000.0,-8491000000.0,-9014000000.0,-8282000000.0,
Long Term Debt Issuance,14014000000.0,11359000000.0,12616000000.0,10305000000.0,
Investing Cash Flow,-17886000000.0,-23414000000.0,-21673000000.0,4270000000.0,
Net Other Investing Changes,2749000000.0,23000000.0,86000000.0,7000000.0,
Net Investment Purchase And Sale,-18601000000.0,-19304000000.0,-20013000000.0,4926000000.0,
Sale Of Investment,91324000000.0,67088000000.0,77098000000.0,93099000000.0,
Purchase Of Investment,-109925000000.0,-86392000000.0,-97111000000.0,-88173000000.0,
Net Business Purchase And Sale,-460000000.0,-2415000000.0,0.0,1057000000.0,
Sale Of Business,,,0.0,1057000000.0,0.0
Purchase Of Business,-460000000.0,-2415000000.0,0.0,,
Net PPE Purchase And Sale,-1574000000.0,-1718000000.0,-1746000000.0,-1720000000.0,
Sale Of PPE,,,,0.0,0.0
Purchase Of PPE,-1574000000.0,-1718000000.0,-1746000000.0,-1720000000.0,
Operating Cash Flow,7113000000.0,-927000000.0,30231000000.0,48919000000.0,
Taxes Refund Paid,-1283000000.0,-836000000.0,-688000000.0,-1335000000.0,
Change In Working Capital,-6332000000.0,-21898000000.0,32421000000.0,37037000000.0,
Change In Other Current Liabilities,-2295000000.0,-2362000000.0,1051000000.0,1252000000.0,
Change In Other Current Assets,-11360000000.0,38431000000.0,-12368000000.0,-17676000000.0,
Other Non Cash Items,2384000000.0,10729000000.0,-13298000000.0,3093000000.0,
Provisionand Write Offof Assets,2514000000.0,2732000000.0,2998000000.0,232000000.0,
Depreciation And Amortization,1700000000.0,1784000000.0,1723000000.0,1673000000.0,
Depreciation,1700000000.0,1784000000.0,1723000000.0,1673000000.0,
Gain Loss On Investment Securities,20000000.0,11000000.0,54000000.0,39000000.0,
Net Income From Continuing Operations,8108000000.0,6557000000.0,7012000000.0,8194000000.0,
