,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-91584000.0,-356824000.0,-255596000.0,-152344000.0,
Tax Rate For Calcs,0.216,0.188,0.148,0.139,
Total Unusual Items,-424000000.0,-1898000000.0,-1727000000.0,-1096000000.0,
Total Unusual Items Excluding Goodwill,-424000000.0,-1898000000.0,-1727000000.0,-1096000000.0,
Net Income From Continuing Operation Net Minority Interest,6307000000.0,5259000000.0,5928000000.0,7009000000.0,
Reconciled Depreciation,1700000000.0,1784000000.0,1723000000.0,1673000000.0,
Net Interest Income,12936000000.0,12709000000.0,10572000000.0,8073000000.0,
Interest Expense,25390000000.0,22366000000.0,8524000000.0,3167000000.0,
Interest Income,38326000000.0,35075000000.0,19096000000.0,11240000000.0,
Normalized Income,6639416000.0,6800176000.0,7399404000.0,7952656000.0,
Net Income From Continuing And Discontinued Operation,6307000000.0,5259000000.0,5928000000.0,7009000000.0,
Diluted Average Shares,15271000000.0,15895000000.0,16867000000.0,17420000000.0,
Basic Average Shares,14755000000.0,15445000000.0,16333000000.0,16985000000.0,
Diluted EPS,0.348,0.269,0.298,0.366,
Basic EPS,0.36,0.277,0.308,0.375,
Diluted NI Availto Com Stockholders,5316000000.0,4274000000.0,5023000000.0,6205000000.0,
Net Income Common Stockholders,5316000000.0,4274000000.0,5023000000.0,6205000000.0,
Otherunder Preferred Stock Dividend,991000000.0,985000000.0,905000000.0,804000000.0,
Net Income,6307000000.0,5259000000.0,5928000000.0,7009000000.0,
Minority Interests,-49000000.0,-64000000.0,-45000000.0,-47000000.0,
Net Income Including Noncontrolling Interests,6356000000.0,5323000000.0,5973000000.0,7056000000.0,
Net Income Extraordinary,,,,-804000000.0,-857000000.0
Net Income Continuous Operations,6356000000.0,5323000000.0,5973000000.0,7056000000.0,
Tax Provision,1752000000.0,1234000000.0,1039000000.0,1138000000.0,
Pretax Income,8108000000.0,6557000000.0,7012000000.0,8194000000.0,
Special Income Charges,-424000000.0,-1898000000.0,-1727000000.0,-1096000000.0,
Other Special Charges,502000000.0,1083000000.0,1671000000.0,397000000.0,
Write Off,,,,,2000000.0
Impairment Of Capital Assets,34000000.0,363000000.0,63000000.0,403000000.0,
Restructuring And Mergern Acquisition,-112000000.0,452000000.0,-7000000.0,296000000.0,
Gain On Sale Of Security,433000000.0,61000000.0,-391000000.0,291000000.0,
Operating Expense,15964000000.0,15033000000.0,15077000000.0,13563000000.0,
Other Operating Expenses,38000000.0,-866000000.0,176000000.0,170000000.0,
Depreciation And Amortization In Income Statement,1700000000.0,1784000000.0,1723000000.0,1673000000.0,
Depreciation Income Statement,1700000000.0,1784000000.0,1723000000.0,1673000000.0,
Selling General And Administration,2770000000.0,2602000000.0,2270000000.0,1967000000.0,
Selling And Marketing Expense,649000000.0,585000000.0,500000000.0,399000000.0,
General And Administrative Expense,2121000000.0,2017000000.0,1770000000.0,1568000000.0,
Rent And Landing Fees,1815000000.0,1948000000.0,1649000000.0,1538000000.0,
Total Revenue,26230000000.0,25384000000.0,25021000000.0,21954000000.0,
Operating Revenue,26230000000.0,25384000000.0,25021000000.0,21954000000.0,
