,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,139218185.0,226485834.0,226920830.0,168200176.0,
Ordinary Shares Number,2203607119.0,2230456075.0,2229946590.0,2288417612.0,
Share Issued,2342825304.0,2456941909.0,2456867420.0,2456617788.0,
Net Debt,,36869000000.0,40911000000.0,37732000000.0,41687000000.0
Total Debt,36950000000.0,39730000000.0,43139000000.0,39658000000.0,
Tangible Book Value,-44633000000.0,-42996000000.0,-53707000000.0,-48524000000.0,
Invested Capital,49643000000.0,91798000000.0,117990000000.0,106313000000.0,
Working Capital,-4449000000.0,-1487000000.0,-2444000000.0,-2337000000.0,
Net Tangible Assets,-44633000000.0,-42996000000.0,-53707000000.0,-48524000000.0,
Capital Lease Obligations,,498000000.0,517000000.0,446000000.0,475000000.0
Common Stock Equity,49643000000.0,52566000000.0,75368000000.0,67101000000.0,
Total Capitalization,49643000000.0,87605000000.0,113719000000.0,102447000000.0,
Total Equity Gross Minority Interest,49995000000.0,52934000000.0,75710000000.0,67401000000.0,
Minority Interest,352000000.0,368000000.0,342000000.0,300000000.0,
Stockholders Equity,49643000000.0,52566000000.0,75368000000.0,67101000000.0,
Other Equity Interest,1685000000.0,1685000000.0,1390000000.0,1685000000.0,
Fixed Assets Revaluation Reserve,,179000000.0,179000000.0,179000000.0,179000000.0
Treasury Stock,,7096000000.0,7116000000.0,5122000000.0,5150000000.0
Retained Earnings,21610000000.0,31627000000.0,51197000000.0,49334000000.0,
Additional Paid In Capital,26665000000.0,216000000.0,214000000.0,208000000.0,
Capital Stock,585000000.0,614000000.0,614000000.0,614000000.0,
Common Stock,585000000.0,614000000.0,614000000.0,614000000.0,
Total Liabilities Net Minority Interest,68904000000.0,65782000000.0,77836000000.0,69964000000.0,
Total Non Current Liabilities Net Minority Interest,50161000000.0,50109000000.0,59983000000.0,54820000000.0,
Derivative Product Liabilities,268000000.0,206000000.0,502000000.0,79000000.0,
Non Current Pension And Other Postretirement Benefit Plans,820000000.0,881000000.0,949000000.0,1239000000.0,
Tradeand Other Payables Non Current,685000000.0,893000000.0,944000000.0,982000000.0,
Non Current Deferred Taxes Liabilities,11679000000.0,12192000000.0,18428000000.0,16462000000.0,
Long Term Debt And Capital Lease Obligation,32638000000.0,35406000000.0,38726000000.0,35666000000.0,
Long Term Capital Lease Obligation,,367000000.0,375000000.0,320000000.0,338000000.0
Long Term Debt,,35039000000.0,38351000000.0,35346000000.0,39589000000.0
Long Term Provisions,4071000000.0,531000000.0,434000000.0,392000000.0,
Current Liabilities,18743000000.0,15673000000.0,17853000000.0,15144000000.0,
Current Debt And Capital Lease Obligation,4312000000.0,4324000000.0,4413000000.0,3992000000.0,
Current Capital Lease Obligation,,131000000.0,142000000.0,126000000.0,137000000.0
Current Debt,,4193000000.0,4271000000.0,3866000000.0,3904000000.0
Current Provisions,3044000000.0,468000000.0,1087000000.0,461000000.0,
Payables,11231000000.0,10692000000.0,11498000000.0,10456000000.0,
Total Tax Payable,1681000000.0,992000000.0,1049000000.0,879000000.0,
Accounts Payable,9550000000.0,9700000000.0,10449000000.0,9577000000.0,
Total Assets,118899000000.0,118716000000.0,153546000000.0,137365000000.0,
Total Non Current Assets,104605000000.0,104530000000.0,138137000000.0,124558000000.0,
Defined Pension Benefit,937000000.0,956000000.0,1000000000.0,918000000.0,
Non Current Deferred Taxes Assets,2573000000.0,911000000.0,682000000.0,611000000.0,
Financial Assets,110000000.0,109000000.0,131000000.0,243000000.0,
Other Investments,146000000.0,,,,22000000.0
Investmentin Financial Assets,,118000000.0,121000000.0,50000000.0,22000000.0
Available For Sale Securities,,67000000.0,60000000.0,,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,51000000.0,61000000.0,50000000.0,22000000.0
Long Term Equity Investment,1902000000.0,1970000000.0,2020000000.0,1948000000.0,
Goodwill And Other Intangible Assets,94276000000.0,95562000000.0,129075000000.0,115625000000.0,
Other Intangible Assets,,54471000000.0,81119000000.0,72431000000.0,72024000000.0
Goodwill,,41091000000.0,47956000000.0,43194000000.0,43319000000.0
Net PPE,4379000000.0,4583000000.0,4867000000.0,4953000000.0,
Accumulated Depreciation,,-4461000000.0,-4639000000.0,-4018000000.0,-4044000000.0
Gross PPE,,9044000000.0,9506000000.0,8971000000.0,9104000000.0
Construction In Progress,,654000000.0,767000000.0,706000000.0,764000000.0
Other Properties,,1418000000.0,1475000000.0,1421000000.0,1518000000.0
Machinery Furniture Equipment,,6077000000.0,6324000000.0,5997000000.0,6024000000.0
Buildings And Improvements,,895000000.0,940000000.0,847000000.0,798000000.0
Properties,,0.0,0.0,0.0,0.0
Current Assets,14294000000.0,14186000000.0,15409000000.0,12807000000.0,
Hedging Assets Current,186000000.0,181000000.0,430000000.0,182000000.0,
