,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,-962136000.0,-110922000.0,-215339000.0,
Tax Rate For Calcs,0.100904,0.168,0.266,0.239,
Normalized EBITDA,7737000000.0,9939000000.0,12709000000.0,12517000000.0,
Total Unusual Items,,-1113000000.0,-417000000.0,-844000000.0,-88000000.0
Total Unusual Items Excluding Goodwill,,-5727000000.0,-417000000.0,-901000000.0,-297000000.0
Net Income From Continuing Operation Net Minority Interest,3068000000.0,-14367000000.0,6666000000.0,6801000000.0,
Reconciled Depreciation,3101000000.0,24000000000.0,1305000000.0,1019000000.0,
Reconciled Cost Of Revenue,4436000000.0,4641000000.0,4554000000.0,4382000000.0,
EBITDA,7737000000.0,8826000000.0,12292000000.0,11673000000.0,
EBIT,4636000000.0,-15174000000.0,10987000000.0,10654000000.0,
Net Interest Income,-1098000000.0,-1720000000.0,-1592000000.0,-1489000000.0,
Interest Expense,1098000000.0,1887000000.0,1663000000.0,1491000000.0,
Interest Income,,186000000.0,92000000.0,35000000.0,50000000.0
Normalized Income,3068000000.0,-4988136000.0,6972078000.0,7543661000.0,
Net Income From Continuing And Discontinued Operation,3068000000.0,-14367000000.0,6666000000.0,6801000000.0,
Total Expenses,23121000000.0,37914000000.0,16148000000.0,14806000000.0,
Rent Expense Supplemental,,14000000.0,12000000.0,9000000.0,11000000.0
Total Operating Income As Reported,2736000000.0,-15751000000.0,10523000000.0,10234000000.0,
Diluted Average Shares,2225000000.0,2229000000.0,2267000000.0,2297000000.0,
Basic Average Shares,2214000000.0,2229000000.0,2256000000.0,2287000000.0,
Diluted EPS,1.36,-6.466,2.919,2.956,
Basic EPS,1.367,-6.466,2.933,2.969,
Diluted NI Availto Com Stockholders,3026000000.0,-14412000000.0,6617000000.0,6789000000.0,
Net Income Common Stockholders,3026000000.0,-14412000000.0,6617000000.0,6789000000.0,
Otherunder Preferred Stock Dividend,42000000.0,45000000.0,49000000.0,12000000.0,
Net Income,3068000000.0,-14367000000.0,6666000000.0,6801000000.0,
Minority Interests,-113000000.0,-178000000.0,-180000000.0,-173000000.0,
Net Income Including Noncontrolling Interests,3181000000.0,-14189000000.0,6846000000.0,6974000000.0,
Net Income Continuous Operations,3181000000.0,-14189000000.0,6846000000.0,6974000000.0,
Tax Provision,357000000.0,-2872000000.0,2478000000.0,2189000000.0,
Pretax Income,3538000000.0,-17061000000.0,9324000000.0,9163000000.0,
Other Non Operating Income Expenses,-10000000.0,-9000000.0,-5000000.0,-3000000.0,
Special Income Charges,,-5144000000.0,-856000000.0,-630000000.0,-517000000.0
Other Special Charges,,280000000.0,606000000.0,358000000.0,-1000000.0
Write Off,,250000000.0,250000000.0,215000000.0,309000000.0
Restructuring And Mergern Acquisition,,,612000000.0,0.0,0.0
Net Non Operating Interest Income Expense,-1098000000.0,-1720000000.0,-1592000000.0,-1489000000.0,
Total Other Finance Cost,,19000000.0,21000000.0,33000000.0,23000000.0
Interest Expense Non Operating,1098000000.0,1887000000.0,1663000000.0,1491000000.0,
Interest Income Non Operating,,186000000.0,92000000.0,35000000.0,50000000.0
Operating Income,2746000000.0,-10631000000.0,11507000000.0,10878000000.0,
Operating Expense,18685000000.0,33273000000.0,11594000000.0,10424000000.0,
Other Operating Expenses,13093000000.0,5565000000.0,6700000000.0,5465000000.0,
Depreciation And Amortization In Income Statement,3101000000.0,24000000000.0,1305000000.0,1019000000.0,
Amortization,,23357000000.0,459000000.0,462000000.0,489000000.0
Depreciation Income Statement,3101000000.0,643000000.0,846000000.0,557000000.0,
Research And Development,,181000000.0,138000000.0,141000000.0,121000000.0
Selling General And Administration,,1181000000.0,1189000000.0,1269000000.0,1124000000.0
Selling And Marketing Expense,,1152000000.0,1160000000.0,1242000000.0,1096000000.0
General And Administrative Expense,,29000000.0,29000000.0,27000000.0,28000000.0
Rent And Landing Fees,,14000000.0,12000000.0,9000000.0,11000000.0
Gross Profit,21431000000.0,22642000000.0,23101000000.0,21302000000.0,
Cost Of Revenue,4436000000.0,4641000000.0,4554000000.0,4382000000.0,
Total Revenue,25867000000.0,27283000000.0,27655000000.0,25684000000.0,
Operating Revenue,25867000000.0,27283000000.0,27655000000.0,25684000000.0,
