,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,811983840.0,1077078898.0,940571000.0,1037201000.0
Preferred Shares Number,12706000.0,12706000.0,12706000.0,12706000.0
Ordinary Shares Number,15850481411.0,16823721587.0,18157212000.0,19740880000.0
Share Issued,16662465251.0,17900800485.0,19097783000.0,20778081000.0
Net Debt,25187000000.0,24206000000.0,23615000000.0,35235000000.0
Total Debt,71547000000.0,63075000000.0,55493000000.0,69787000000.0
Tangible Book Value,39129000000.0,52127000000.0,49585000000.0,60907000000.0
Invested Capital,118772000000.0,122216000000.0,114476000000.0,136618000000.0
Working Capital,20593000000.0,18068000000.0,8670000000.0,12303000000.0
Net Tangible Assets,39150000000.0,52148000000.0,49606000000.0,60928000000.0
Capital Lease Obligations,12000000000.0,11121000000.0,8549000000.0,8611000000.0
Common Stock Equity,59225000000.0,70262000000.0,67532000000.0,75442000000.0
Preferred Stock Equity,21000000.0,21000000.0,21000000.0,21000000.0
Total Capitalization,114319000000.0,118953000000.0,111299000000.0,131082000000.0
Total Equity Gross Minority Interest,78318000000.0,85493000000.0,82990000000.0,90439000000.0
Minority Interest,19072000000.0,15210000000.0,15437000000.0,14976000000.0
Stockholders Equity,59246000000.0,70283000000.0,67553000000.0,75463000000.0
Treasury Stock,9030000000.0,11323000000.0,12153000000.0,12624000000.0
Retained Earnings,22531000000.0,35339000000.0,34732000000.0,51815000000.0
Additional Paid In Capital,16837000000.0,16311000000.0,15872000000.0,14450000000.0
Capital Stock,4186000000.0,4496000000.0,4795000000.0,5215000000.0
Common Stock,4165000000.0,4475000000.0,4774000000.0,5194000000.0
Preferred Stock,21000000.0,21000000.0,21000000.0,21000000.0
Total Liabilities Net Minority Interest,203910000000.0,194801000000.0,205130000000.0,196833000000.0
Total Non Current Liabilities Net Minority Interest,121669000000.0,108723000000.0,106112000000.0,116546000000.0
Derivative Product Liabilities,18532000000.0,10402000000.0,13537000000.0,6356000000.0
Non Current Pension And Other Postretirement Benefit Plans,4873000000.0,5456000000.0,5244000000.0,7820000000.0
Non Current Accrued Expenses,1326000000.0,1310000000.0,1233000000.0,968000000.0
Tradeand Other Payables Non Current,9409000000.0,10076000000.0,10387000000.0,10567000000.0
Non Current Deferred Taxes Liabilities,8428000000.0,9617000000.0,10526000000.0,8780000000.0
Long Term Debt And Capital Lease Obligation,64413000000.0,57141000000.0,50193000000.0,62483000000.0
Long Term Capital Lease Obligation,9340000000.0,8471000000.0,6447000000.0,6864000000.0
Long Term Debt,55073000000.0,48670000000.0,43746000000.0,55619000000.0
Long Term Provisions,14688000000.0,14721000000.0,14992000000.0,19572000000.0
Current Liabilities,82241000000.0,86078000000.0,99018000000.0,80287000000.0
Current Debt And Capital Lease Obligation,7134000000.0,5934000000.0,5300000000.0,7304000000.0
Current Capital Lease Obligation,2660000000.0,2650000000.0,2102000000.0,1747000000.0
Current Debt,4474000000.0,3284000000.0,3198000000.0,5557000000.0
Current Provisions,3600000000.0,4418000000.0,6332000000.0,5256000000.0
Payables,59984000000.0,63887000000.0,68049000000.0,54165000000.0
Other Payable,17654000000.0,16485000000.0,14413000000.0,12576000000.0
Total Tax Payable,3694000000.0,4996000000.0,6426000000.0,4262000000.0
Accounts Payable,38636000000.0,42406000000.0,47210000000.0,37327000000.0
Total Assets,282228000000.0,280294000000.0,288120000000.0,287272000000.0
Total Non Current Assets,179394000000.0,176148000000.0,180432000000.0,194682000000.0
Defined Pension Benefit,7457000000.0,7948000000.0,9269000000.0,11919000000.0
Non Current Prepaid Assets,548000000.0,623000000.0,576000000.0,479000000.0
Non Current Deferred Taxes Assets,5403000000.0,4268000000.0,3908000000.0,6410000000.0
Financial Assets,16114000000.0,9980000000.0,12841000000.0,7006000000.0
Other Investments,61000000.0,73000000.0,108000000.0,147000000.0
Investmentin Financial Assets,1231000000.0,2116000000.0,2562000000.0,2397000000.0
Available For Sale Securities,1095000000.0,1177000000.0,1040000000.0,717000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,136000000.0,939000000.0,1522000000.0,1680000000.0
Long Term Equity Investment,20032000000.0,20249000000.0,20601000000.0,30983000000.0
Investmentsin Joint Venturesat Cost,12291000000.0,12435000000.0,12400000000.0,9982000000.0
Investmentsin Associatesat Cost,7741000000.0,7814000000.0,8201000000.0,21001000000.0
Goodwill And Other Intangible Assets,20096000000.0,18135000000.0,17947000000.0,14535000000.0
Other Intangible Assets,5208000000.0,5663000000.0,5987000000.0,2162000000.0
Goodwill,14888000000.0,12472000000.0,11960000000.0,12373000000.0
Net PPE,104676000000.0,109047000000.0,110257000000.0,117191000000.0
Accumulated Depreciation,-175241000000.0,-169590000000.0,-153817000000.0,-177736000000.0
Gross PPE,279917000000.0,278637000000.0,264074000000.0,294927000000.0
Other Properties,1431000000.0,916000000.0,926000000.0,617000000.0
Machinery Furniture Equipment,56332000000.0,55099000000.0,52280000000.0,51829000000.0
Buildings And Improvements,2780000000.0,2235000000.0,2107000000.0,2576000000.0
Land And Improvements,4060000000.0,3924000000.0,3513000000.0,3713000000.0
Properties,215314000000.0,216463000000.0,205248000000.0,236192000000.0
Current Assets,102834000000.0,104146000000.0,107688000000.0,92590000000.0
Hedging Assets Current,5112000000.0,12583000000.0,11554000000.0,5744000000.0
Assets Held For Sale Current,4081000000.0,151000000.0,1242000000.0,1652000000.0
Restricted Cash,4844000000.0,5282000000.0,5866000000.0,4740000000.0
Prepaid Assets,2594000000.0,2520000000.0,2092000000.0,2486000000.0
Inventory,23232000000.0,22819000000.0,28081000000.0,23711000000.0
Other Inventories,2127000000.0,464000000.0,436000000.0,290000000.0
Finished Goods,19159000000.0,20900000000.0,26357000000.0,21896000000.0
Raw Materials,1946000000.0,1455000000.0,1288000000.0,1525000000.0
Other Receivables,4526000000.0,5160000000.0,5059000000.0,4056000000.0
