,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,12000000000.0,17754000000.0,28863000000.0,12725000000.0,
Repurchase Of Capital Stock,-7127000000.0,-7918000000.0,-9996000000.0,-3151000000.0,
Repayment Of Debt,-2970000000.0,-3902000000.0,-11697000000.0,-16804000000.0,
Issuance Of Debt,10656000000.0,7568000000.0,2013000000.0,6987000000.0,
Capital Expenditure,-15297000000.0,-14285000000.0,-12069000000.0,-10887000000.0,
End Cash Position,39269000000.0,33030000000.0,29195000000.0,30681000000.0,
Beginning Cash Position,33030000000.0,29195000000.0,30681000000.0,31111000000.0,
Effect Of Exchange Rate Changes,-511000000.0,27000000.0,-684000000.0,-269000000.0,
Changes In Cash,6750000000.0,3808000000.0,-802000000.0,-161000000.0,
Financing Cash Flow,-7297000000.0,-13359000000.0,-28021000000.0,-18079000000.0,
Net Other Financing Charges,3321000000.0,-474000000.0,-336000000.0,509000000.0,
Cash Dividends Paid,-5003000000.0,-4809000000.0,-4358000000.0,-4304000000.0,
Preferred Stock Dividend Paid,-1000000.0,-1000000.0,-1000000.0,-2000000.0,
Common Stock Dividend Paid,-5002000000.0,-4808000000.0,-4357000000.0,-4302000000.0,
Net Common Stock Issuance,-7127000000.0,-7918000000.0,-9996000000.0,-3151000000.0,
Common Stock Payments,-7127000000.0,-7918000000.0,-9996000000.0,-3151000000.0,
Net Issuance Payments Of Debt,4720000000.0,2805000000.0,-11076000000.0,-8740000000.0,
Net Short Term Debt Issuance,-2966000000.0,-861000000.0,-1392000000.0,1077000000.0,
Net Long Term Debt Issuance,7686000000.0,3666000000.0,-9684000000.0,-9817000000.0,
Long Term Debt Payments,-2970000000.0,-3902000000.0,-11697000000.0,-16804000000.0,
Long Term Debt Issuance,10656000000.0,7568000000.0,2013000000.0,6987000000.0,
Investing Cash Flow,-13250000000.0,-14872000000.0,-13713000000.0,-5694000000.0,
Net Business Purchase And Sale,1638000000.0,-775000000.0,-2420000000.0,3851000000.0,
Sale Of Business,2631000000.0,1193000000.0,1841000000.0,5812000000.0,
Purchase Of Business,-993000000.0,-1968000000.0,-4261000000.0,-1961000000.0,
Net PPE Purchase And Sale,328000000.0,133000000.0,709000000.0,1145000000.0,
Sale Of PPE,328000000.0,133000000.0,709000000.0,1145000000.0,
Purchase Of PPE,,,,-10887000000.0,-12306000000.0
Capital Expenditure Reported,-15297000000.0,-14285000000.0,-12069000000.0,-10887000000.0,
Operating Cash Flow,27297000000.0,32039000000.0,40932000000.0,23612000000.0,
Taxes Refund Paid,-8761000000.0,-10173000000.0,-10106000000.0,-4179000000.0,
Interest Received Cfo,1450000000.0,1119000000.0,414000000.0,320000000.0,
Interest Paid Cfo,-2811000000.0,-2950000000.0,-2208000000.0,-2474000000.0,
Dividend Received Cfo,2023000000.0,2092000000.0,1700000000.0,1842000000.0,
Change In Working Capital,3975000000.0,-3338000000.0,-6270000000.0,-626000000.0,
Change In Other Current Liabilities,-188000000.0,-13592000000.0,17806000000.0,20095000000.0,
Change In Other Current Assets,3355000000.0,4620000000.0,-18584000000.0,-13263000000.0,
Change In Inventory,808000000.0,5634000000.0,-5492000000.0,-7458000000.0,
Other Non Cash Items,3003000000.0,2334000000.0,2190000000.0,2620000000.0,
Stock Based Compensation,1174000000.0,616000000.0,795000000.0,627000000.0,
Provisionand Write Offof Assets,-152000000.0,-2481000000.0,440000000.0,2934000000.0,
Depreciation And Amortization,16622000000.0,15928000000.0,14318000000.0,14805000000.0,
Depreciation,16622000000.0,15928000000.0,14318000000.0,14805000000.0,
Pension And Employee Benefit Expense,-182000000.0,-193000000.0,-257000000.0,-655000000.0,
Gain Loss On Investment Securities,,-35000000.0,43000000.0,145000000.0,
Net Income From Continuing Operations,6782000000.0,23749000000.0,15405000000.0,15227000000.0,
