,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1771000000.0,-2073390000.0,-5144820000.0,500650000.0,
Tax Rate For Calcs,0.25,0.33,0.19,0.19,
Normalized EBITDA,35067000000.0,49786000000.0,59424000000.0,29914000000.0,
Total Unusual Items,-7084000000.0,-6283000000.0,-27078000000.0,2635000000.0,
Total Unusual Items Excluding Goodwill,-7084000000.0,-6283000000.0,-27078000000.0,2635000000.0,
Net Income From Continuing Operation Net Minority Interest,381000000.0,15239000000.0,-2487000000.0,7565000000.0,
Reconciled Depreciation,16622000000.0,15928000000.0,14318000000.0,14805000000.0,
Reconciled Cost Of Revenue,158946000000.0,162058000000.0,186296000000.0,134879000000.0,
EBITDA,27983000000.0,43503000000.0,32346000000.0,32549000000.0,
EBIT,11361000000.0,27575000000.0,18028000000.0,17744000000.0,
Net Interest Income,-1742000000.0,-1915000000.0,-1494000000.0,-2079000000.0,
Interest Expense,4579000000.0,3826000000.0,2623000000.0,2517000000.0,
Interest Income,2773000000.0,1635000000.0,1103000000.0,581000000.0,
Normalized Income,5694000000.0,19448610000.0,19446180000.0,5430650000.0,
Net Income From Continuing And Discontinued Operation,381000000.0,15239000000.0,-2487000000.0,7565000000.0,
Total Expenses,175570000000.0,179081000000.0,199945000000.0,147067000000.0,
Diluted Average Shares,2802777333.0,2958346333.0,3164656000.0,3376731333.0,
Basic Average Shares,2730922500.0,2893381333.0,3164656000.0,3354810333.0,
Diluted EPS,0.1392,5.151,-0.786,2.2398,
Basic EPS,0.1428,5.2668,-0.786,2.2542,
Diluted NI Availto Com Stockholders,390000000.0,15238000000.0,-2488000000.0,7563000000.0,
Net Income Common Stockholders,390000000.0,15238000000.0,-2488000000.0,7563000000.0,
Otherunder Preferred Stock Dividend,-10000000.0,0.0,0.0,0.0,
Preferred Stock Dividends,1000000.0,1000000.0,1000000.0,2000000.0,
Net Income,381000000.0,15239000000.0,-2487000000.0,7565000000.0,
Minority Interests,-848000000.0,-641000000.0,-1130000000.0,-922000000.0,
Net Income Including Noncontrolling Interests,1229000000.0,15880000000.0,-1357000000.0,8487000000.0,
Net Income Continuous Operations,1229000000.0,15880000000.0,-1357000000.0,8487000000.0,
Tax Provision,5553000000.0,7869000000.0,16762000000.0,6740000000.0,
Pretax Income,6782000000.0,23749000000.0,15405000000.0,15227000000.0,
Special Income Charges,-7084000000.0,-6283000000.0,-27078000000.0,2635000000.0,
Other Special Charges,1128000000.0,-164000000.0,8352000000.0,-1451000000.0,
Impairment Of Capital Assets,5956000000.0,6447000000.0,18726000000.0,-1184000000.0,
Net Non Operating Interest Income Expense,-1742000000.0,-1915000000.0,-1494000000.0,-2079000000.0,
Total Other Finance Cost,-64000000.0,-276000000.0,-26000000.0,143000000.0,
Interest Expense Non Operating,4579000000.0,3826000000.0,2623000000.0,2517000000.0,
Interest Income Non Operating,2773000000.0,1635000000.0,1103000000.0,581000000.0,
Operating Income,13615000000.0,31049000000.0,41447000000.0,10672000000.0,
Operating Expense,16624000000.0,17023000000.0,13649000000.0,12188000000.0,
Other Operating Expenses,207000000.0,251000000.0,200000000.0,257000000.0,
Selling General And Administration,16417000000.0,16772000000.0,13449000000.0,11931000000.0,
Selling And Marketing Expense,,,,11931000000.0,10397000000.0
General And Administrative Expense,16417000000.0,16772000000.0,13449000000.0,11931000000.0,
Gross Profit,30239000000.0,48072000000.0,55096000000.0,22860000000.0,
Cost Of Revenue,158946000000.0,162058000000.0,186296000000.0,134879000000.0,
Total Revenue,189185000000.0,210130000000.0,241392000000.0,157739000000.0,
Operating Revenue,189185000000.0,210130000000.0,241392000000.0,157739000000.0,
