,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,2234000000.0,1828000000.0,1269681742.043551,1058044765.498073,
Repurchase Of Capital Stock,-577000000.0,-1148000000.0,-474595198.213289,-4028089.208749,
Repayment Of Debt,-1592000000.0,-543000000.0,-331658291.457286,-9398874.820414,
Issuance Of Debt,1381000000.0,1000000.0,756002233.389168,0.0,
Issuance Of Capital Stock,0.0,-19000000.0,-6700167.504188,0.0,
Capital Expenditure,-901000000.0,-708000000.0,-512562814.070352,-514252722.316957,
End Cash Position,553000000.0,830000000.0,1934115019.542155,2223505243.229453,
Other Cash Adjustment Outside Changein Cash,-40000000.0,,,2685392.805833,-1286372.173197
Beginning Cash Position,830000000.0,1934000000.0,1849246231.155779,1862319910.844959,
Effect Of Exchange Rate Changes,59000000.0,169000000.0,52484645.44947,-33567410.072908,
Changes In Cash,-296000000.0,-1273000000.0,32384142.936907,392067349.65157,
Financing Cash Flow,-1942000000.0,-2580000000.0,-773869346.733668,-204089853.243283,
Net Other Financing Charges,46000000.0,147000000.0,-77051926.298157,14769660.43208,
Cash Dividends Paid,-963000000.0,-796000000.0,-466778336.12507,,-549280917.955183
Common Stock Dividend Paid,-963000000.0,-796000000.0,-466778336.12507,0.0,
Net Common Stock Issuance,-577000000.0,-1167000000.0,-481295365.717476,-4028089.208749,
Common Stock Payments,-577000000.0,-1148000000.0,-474595198.213289,-4028089.208749,
Common Stock Issuance,0.0,-19000000.0,-6700167.504188,0.0,
Net Issuance Payments Of Debt,-211000000.0,-542000000.0,424343941.931882,-9398874.820414,
Net Long Term Debt Issuance,-211000000.0,-542000000.0,424343941.931882,-9398874.820414,
Long Term Debt Payments,-1592000000.0,-543000000.0,-331658291.457286,-9398874.820414,
Long Term Debt Issuance,1381000000.0,1000000.0,756002233.389168,0.0,
Investing Cash Flow,-1489000000.0,-1229000000.0,-975991066.443328,-976140284.920177,
Net Other Investing Changes,-508000000.0,-380000000.0,-243439419.318816,-310162869.073674,
Interest Received Cfi,39000000.0,61000000.0,11166945.840313,6713482.014582,
Dividends Received Cfi,65000000.0,60000000.0,56951423.785595,37595499.281657,
Net Investment Purchase And Sale,328000000.0,0.0,-43551088.777219,-22825838.849578,
Sale Of Investment,330000000.0,4000000.0,3350083.752094,4028089.208749,
Purchase Of Investment,-2000000.0,-4000000.0,-46901172.529313,-26853928.058327,
Net Business Purchase And Sale,-568000000.0,-340000000.0,-285873813.512004,-232286477.704526,
Sale Of Business,225000000.0,58000000.0,39084310.441094,,37304793.022717
Purchase Of Business,-793000000.0,-398000000.0,-324958123.953099,-232286477.704526,
Net Intangibles Purchase And Sale,-329000000.0,-263000000.0,-197654941.373534,-208117942.452032,
Purchase Of Intangibles,-329000000.0,-263000000.0,-197654941.373534,-208117942.452032,
Net PPE Purchase And Sale,-491000000.0,-367000000.0,-273590173.087661,-247056138.136606,
Sale Of PPE,81000000.0,78000000.0,41317699.609157,59078641.728319,
Purchase Of PPE,-572000000.0,-445000000.0,-314907872.696817,-306134779.864925,
Operating Cash Flow,3135000000.0,2536000000.0,1782244556.113903,1572297487.81503,
Taxes Refund Paid,-693000000.0,-539000000.0,-370742601.898381,-268539280.583267,
Interest Paid Cfo,-267000000.0,-208000000.0,-107202680.067002,-162466264.752877,
Change In Working Capital,186000000.0,-120000000.0,-177554438.860972,221544906.481196,
Change In Other Current Assets,,,,,-87473307.777406
Change In Payable,892000000.0,679000000.0,936906756.002233,955999838.876432,
Change In Inventory,-36000000.0,-119000000.0,-136236739.251815,-67134820.145817,
Change In Receivables,-670000000.0,-680000000.0,-978224455.61139,-667320112.249419,
Other Non Cash Items,797000000.0,624000000.0,386376326.074819,661949326.637754,
Stock Based Compensation,68000000.0,54000000.0,37967615.857063,26853928.058327,
Provisionand Write Offof Assets,7000000.0,-50000000.0,-85985482.970408,-244370745.330773,
Depreciation And Amortization,744000000.0,670000000.0,576214405.360134,651207755.414423,
Amortization Cash Flow,150000000.0,134000000.0,111669458.403127,106073015.830391,
Depreciation,594000000.0,536000000.0,464544946.957007,545134739.584033,
Pension And Employee Benefit Expense,15000000.0,-13000000.0,-7816862.088219,-8056178.417498,
Gain Loss On Sale Of PPE,-5000000.0,-4000000.0,0.0,46994374.102072,
Net Income From Continuing Operations,2540000000.0,2245000000.0,1624790619.765494,690145951.098997,
