,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Tax Effect Of Unusual Items,-228072000.0,-85362000.0,-20051869.247597,-99949096.469624
Tax Rate For Calcs,0.312,0.246,0.268007,0.310163
Normalized EBITDA,4142000000.0,3657000000.0,2667783361.250698,2026128872.000752
Total Unusual Items,-731000000.0,-347000000.0,-74818537.130095,-322247136.699921
Total Unusual Items Excluding Goodwill,-731000000.0,-347000000.0,-74818537.130095,-322247136.699921
Net Income From Continuing Operation Net Minority Interest,1404000000.0,1607000000.0,1242881072.026801,479342615.841132
Reconciled Depreciation,744000000.0,670000000.0,576214405.360134,651207755.414423
Reconciled Cost Of Revenue,28076000000.0,25567000000.0,19225013958.6823,16460115203.35137
EBITDA,3411000000.0,3310000000.0,2592964824.120603,1703881735.300831
EBIT,2361000000.0,2358000000.0,1777777777.777778,784134699.303141
Net Interest Income,-277000000.0,-175000000.0,-125069793.411502,-151724693.529546
Interest Expense,305000000.0,221000000.0,137353433.835846,161123568.34996
Interest Income,30000000.0,53000000.0,10050251.256281,8056178.417498
Normalized Income,1906928000.0,1868638000.0,1297647739.909299,701640656.071429
Net Income From Continuing And Discontinued Operation,1404000000.0,1607000000.0,1242881072.026801,479342615.841132
Total Expenses,39010000000.0,35339000000.0,26721384701.2842,22989647810.733517
Rent Expense Supplemental,192000000.0,182000000.0,136236739.251815,116814587.053721
Total Operating Income As Reported,2540000000.0,2245000000.0,1675041876.046901,731769539.589403
Diluted Average Shares,1707000000.0,1745000000.0,1779000000.0,1785000000.0
Basic Average Shares,1705000000.0,1743000000.0,1779000000.0,1784000000.0
Diluted EPS,0.822,0.921,0.699051,0.268539
Basic EPS,0.823,0.922,0.699051,0.268539
Diluted NI Availto Com Stockholders,1404000000.0,1607000000.0,1242881072.026801,479342615.841132
Net Income Common Stockholders,1404000000.0,1607000000.0,1242881072.026801,479342615.841132
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1404000000.0,1607000000.0,1242881072.026801,479342615.841132
Minority Interests,-10000000.0,-5000000.0,-4466778.336125,0.0
Net Income Including Noncontrolling Interests,1414000000.0,1612000000.0,1247347850.362926,479342615.841132
Net Income Continuous Operations,1414000000.0,1612000000.0,1247347850.362926,479342615.841132
Tax Provision,642000000.0,525000000.0,393076493.579006,143668515.112048
Pretax Income,2056000000.0,2137000000.0,1640424343.941932,623011130.95318
Special Income Charges,-664000000.0,-299000000.0,-150753768.844221,-351786457.56408
Other Special Charges,203000000.0,-24000000.0,3350083.752094,197376371.228701
Write Off,57000000.0,77000000.0,32384142.936907,-30882017.267076
Impairment Of Capital Assets,146000000.0,60000000.0,12283640.424344,49679766.907904
Restructuring And Mergern Acquisition,258000000.0,186000000.0,102735901.730877,135612336.69455
Net Non Operating Interest Income Expense,-277000000.0,-175000000.0,-125069793.411502,-151724693.529546
Total Other Finance Cost,2000000.0,7000000.0,-2233389.168063,-1342696.402916
Interest Expense Non Operating,305000000.0,221000000.0,137353433.835846,161123568.34996
Interest Income Non Operating,30000000.0,53000000.0,10050251.256281,8056178.417498
Operating Income,2992000000.0,2568000000.0,1767727526.521496,1055359372.692241
Operating Expense,10934000000.0,9772000000.0,7496370742.601898,6529532607.382145
Other Operating Expenses,6677000000.0,6001000000.0,4439977666.108319,3390308417.36375
Depreciation And Amortization In Income Statement,1050000000.0,952000000.0,815187046.342825,919747035.997691
Amortization,456000000.0,416000000.0,350642099.385818,374612296.413658
Depreciation Income Statement,594000000.0,536000000.0,464544946.957007,545134739.584033
Selling General And Administration,11000000.0,10000000.0,7816862.088219,9398874.820414
General And Administrative Expense,11000000.0,10000000.0,7816862.088219,9398874.820414
Rent And Landing Fees,192000000.0,182000000.0,136236739.251815,116814587.053721
Gross Profit,13926000000.0,12340000000.0,9264098269.123396,7584891980.074385
Cost Of Revenue,28076000000.0,25567000000.0,19225013958.6823,16460115203.35137
Total Revenue,42002000000.0,37907000000.0,28489112227.805695,24045007183.425755
Operating Revenue,42002000000.0,37907000000.0,28489112227.805695,24045007183.425755
