Metric,Value
quoteType,MUTUALFUND
symbol,DGE
language,en-US
region,US
typeDisp,Fund
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,NONE
corporateActions,[]
regularMarketTime,1561759658
marketState,CLOSED
regularMarketChangePercent,0.0
regularMarketPrice,0.0
priceHint,4
regularMarketChange,0.0
regularMarketDayHigh,0.0
regularMarketDayRange,0.0 - 0.0
regularMarketDayLow,0.0
regularMarketVolume,0
regularMarketPreviousClose,0.0
bid,0.0
ask,0.0
bidSize,0
askSize,0
fullExchangeName,YHD
regularMarketOpen,0.0
averageDailyVolume3Month,10245
averageDailyVolume10Day,0
exchange,YHD
messageBoardId,finmb_INDEXDGE
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
fiftyTwoWeekLowChange,0.0
fiftyTwoWeekRange,0.0 - 1084.74
fiftyTwoWeekHighChange,-1084.74
fiftyTwoWeekHighChangePercent,-1.0
fiftyTwoWeekLow,0.0
fiftyTwoWeekHigh,1084.74
fiftyTwoWeekChangePercent,6.483495
fiftyDayAverage,1044.6051
fiftyDayAverageChange,-1044.6051
fiftyDayAverageChangePercent,-1.0
twoHundredDayAverage,966.3162
twoHundredDayAverageChange,-966.3162
twoHundredDayAverageChangePercent,-1.0
sourceInterval,15
exchangeDataDelayedBy,0
tradeable,False
cryptoTradeable,False
hasPrePostMarketData,False
firstTradeDateMilliseconds,1077892200000
trailingPegRatio,
