,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,1354000000.0,1107000000.0,1090000000.0,1289000000.0,
Repurchase Of Capital Stock,-199000000.0,-120000000.0,-194000000.0,-173000000.0,
Repayment Of Debt,-621000000.0,-7000000.0,-1000000.0,-583000000.0,
Issuance Of Debt,1321000000.0,0.0,84000000.0,571000000.0,
Issuance Of Capital Stock,15000000.0,16000000.0,-119000000.0,16000000.0,
Capital Expenditure,-651000000.0,-640000000.0,-627000000.0,-508000000.0,
End Cash Position,366000000.0,300000000.0,198000000.0,176000000.0,
Beginning Cash Position,300000000.0,198000000.0,176000000.0,170000000.0,
Effect Of Exchange Rate Changes,-30000000.0,5000000.0,-25000000.0,14000000.0,
Changes In Cash,96000000.0,97000000.0,47000000.0,-8000000.0,
Financing Cash Flow,-62000000.0,-551000000.0,-722000000.0,-687000000.0,
Net Other Financing Charges,15000000.0,9000000.0,-61000000.0,-15000000.0,
Cash Dividends Paid,-548000000.0,-510000000.0,-483000000.0,-446000000.0,
Common Stock Dividend Paid,-548000000.0,-510000000.0,-483000000.0,-446000000.0,
Net Common Stock Issuance,-184000000.0,-104000000.0,-313000000.0,-157000000.0,
Common Stock Payments,-199000000.0,-120000000.0,-194000000.0,-173000000.0,
Common Stock Issuance,15000000.0,16000000.0,-119000000.0,16000000.0,
Net Issuance Payments Of Debt,696000000.0,102000000.0,192000000.0,-12000000.0,
Net Short Term Debt Issuance,-4000000.0,109000000.0,109000000.0,,
Net Long Term Debt Issuance,700000000.0,-7000000.0,83000000.0,-12000000.0,
Long Term Debt Payments,-621000000.0,-7000000.0,-1000000.0,-583000000.0,
Long Term Debt Issuance,1321000000.0,0.0,84000000.0,571000000.0,
Investing Cash Flow,-1847000000.0,-1099000000.0,-948000000.0,-1118000000.0,
Net Other Investing Changes,,2000000.0,,,
Dividends Received Cfi,,,0.0,2000000.0,0.0
Net Investment Purchase And Sale,-39000000.0,-6000000.0,-12000000.0,-20000000.0,
Sale Of Investment,30000000.0,5000000.0,3000000.0,12000000.0,
Purchase Of Investment,-69000000.0,-11000000.0,-15000000.0,-32000000.0,
Net Business Purchase And Sale,-1158000000.0,-456000000.0,-309000000.0,-725000000.0,
Sale Of Business,0.0,6000000.0,1000000.0,12000000.0,
Purchase Of Business,-1158000000.0,-462000000.0,-310000000.0,-737000000.0,
Net Intangibles Purchase And Sale,-603000000.0,-600000000.0,-563000000.0,-445000000.0,
Purchase Of Intangibles,-603000000.0,-600000000.0,-563000000.0,-445000000.0,
Net PPE Purchase And Sale,-47000000.0,-39000000.0,-64000000.0,-40000000.0,
Sale Of PPE,1000000.0,1000000.0,0.0,23000000.0,
Purchase Of PPE,-48000000.0,-40000000.0,-64000000.0,-63000000.0,
Operating Cash Flow,2005000000.0,1747000000.0,1717000000.0,1797000000.0,
Taxes Refund Paid,-447000000.0,-544000000.0,-525000000.0,-366000000.0,
Interest Received Cfo,14000000.0,11000000.0,8000000.0,6000000.0,
Interest Paid Cfo,-179000000.0,-160000000.0,-126000000.0,-127000000.0,
Dividend Received Cfo,,0.0,2000000.0,13000000.0,17000000.0
Change In Working Capital,-54000000.0,-32000000.0,30000000.0,58000000.0,
Change In Payable,9000000.0,123000000.0,201000000.0,201000000.0,
Change In Receivables,-63000000.0,-155000000.0,-171000000.0,-143000000.0,
Other Non Cash Items,244000000.0,89000000.0,154000000.0,-19000000.0,
Stock Based Compensation,127000000.0,132000000.0,129000000.0,149000000.0,
Depreciation And Amortization,758000000.0,714000000.0,674000000.0,658000000.0,
Amortization Cash Flow,661000000.0,608000000.0,560000000.0,,
Depreciation,97000000.0,106000000.0,114000000.0,658000000.0,
Gain Loss On Sale Of PPE,0.0,-1000000.0,0.0,-4000000.0,
Gain Loss On Sale Of Business,4000000.0,-5000000.0,0.0,-47000000.0,
Net Income From Continuing Operations,1549000000.0,1551000000.0,1174000000.0,1447000000.0,
