,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,2450000.0,0.0,17100000.0,44280000.0,
Tax Rate For Calcs,0.245,0.224371,0.342,0.205,
Normalized EBITDA,2475000000.0,2422000000.0,1935000000.0,2014000000.0,
Total Unusual Items,10000000.0,0.0,50000000.0,216000000.0,
Total Unusual Items Excluding Goodwill,10000000.0,0.0,50000000.0,216000000.0,
Net Income From Continuing Operation Net Minority Interest,1166000000.0,1199000000.0,770000000.0,1149000000.0,
Reconciled Depreciation,758000000.0,714000000.0,674000000.0,658000000.0,
Reconciled Cost Of Revenue,3924000000.0,3682000000.0,3451000000.0,3313000000.0,
EBITDA,2485000000.0,2422000000.0,1985000000.0,2230000000.0,
EBIT,1727000000.0,1708000000.0,1311000000.0,1572000000.0,
Net Interest Income,-246000000.0,-142000000.0,-124000000.0,-110000000.0,
Interest Expense,178000000.0,157000000.0,137000000.0,125000000.0,
Interest Income,21000000.0,18000000.0,13000000.0,15000000.0,
Normalized Income,1158450000.0,1199000000.0,737100000.0,977280000.0,
Net Income From Continuing And Discontinued Operation,1166000000.0,1199000000.0,770000000.0,1165000000.0,
Total Expenses,5740000000.0,5403000000.0,5354000000.0,4919000000.0,
Total Operating Income As Reported,1793000000.0,1694000000.0,1265000000.0,1416000000.0,
Diluted Average Shares,922000000.0,921000000.0,921000000.0,921000000.0,
Basic Average Shares,914000000.0,913000000.0,914000000.0,914000000.0,
Diluted EPS,1.265,1.302,0.836,1.265,
Basic EPS,1.276,1.313,0.842,1.275,
Diluted NI Availto Com Stockholders,1166000000.0,1199000000.0,770000000.0,1165000000.0,
Net Income Common Stockholders,1166000000.0,1199000000.0,770000000.0,1165000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1166000000.0,1199000000.0,770000000.0,1165000000.0,
Minority Interests,-4000000.0,-4000000.0,-3000000.0,-2000000.0,
Net Income Including Noncontrolling Interests,1170000000.0,1203000000.0,773000000.0,1167000000.0,
Net Income Discontinuous Operations,,,0.0,16000000.0,0.0
Net Income Continuous Operations,1170000000.0,1203000000.0,773000000.0,1151000000.0,
Tax Provision,379000000.0,348000000.0,401000000.0,296000000.0,
Pretax Income,1549000000.0,1551000000.0,1174000000.0,1447000000.0,
Special Income Charges,10000000.0,0.0,0.0,47000000.0,
Other Special Charges,-11000000.0,-4000000.0,,-47000000.0,-120000000.0
Restructuring And Mergern Acquisition,1000000.0,4000000.0,,,
Net Non Operating Interest Income Expense,-246000000.0,-142000000.0,-124000000.0,-110000000.0,
Total Other Finance Cost,89000000.0,3000000.0,,,6000000.0
Interest Expense Non Operating,178000000.0,157000000.0,137000000.0,125000000.0,
Interest Income Non Operating,21000000.0,18000000.0,13000000.0,15000000.0,
Operating Income,1783000000.0,1694000000.0,1265000000.0,1369000000.0,
Operating Expense,1816000000.0,1721000000.0,1903000000.0,1606000000.0,
Other Operating Expenses,522000000.0,468000000.0,659000000.0,445000000.0,
Depreciation And Amortization In Income Statement,758000000.0,714000000.0,674000000.0,658000000.0,
Amortization,661000000.0,608000000.0,192000000.0,174000000.0,
Depreciation Income Statement,97000000.0,106000000.0,482000000.0,484000000.0,
Selling General And Administration,536000000.0,539000000.0,570000000.0,503000000.0,
Selling And Marketing Expense,536000000.0,539000000.0,570000000.0,503000000.0,
Gross Profit,3599000000.0,3415000000.0,3168000000.0,2975000000.0,
Cost Of Revenue,3924000000.0,3682000000.0,3451000000.0,3313000000.0,
Total Revenue,7523000000.0,7097000000.0,6619000000.0,6288000000.0,
Operating Revenue,7523000000.0,7097000000.0,6619000000.0,6288000000.0,
