Metric,Value
address1,2 Cumberland Place
address2,Fenian Street
city,Dublin
zip,D02 HY05
country,Ireland
phone,353 1 846 9100
fax,353 1 846 9150
website,https://www.experianplc.com
industry,Consulting Services
industryKey,consulting-services
industryDisp,Consulting Services
sector,Industrials
sectorKey,industrials
sectorDisp,Industrials
longBusinessSummary,"Experian plc, together with its subsidiaries, operates as a data and technology company in North America, Latin America, the United Kingdom, Ireland, Europe, the Middle East, Africa, and the Asia Pacific. It operates through two segments, Business-to-Business and Consumer Services. The company collects, sorts, aggregates, and transforms data from various sources. It also owns, create, and develops analytics, predictive tools, sophisticated software, and platforms; credit risk, fraud prevention, identity management, customer service and engagement, account processing, and account management services; and data analysis, and research and development services. In addition, the company provides credit education, free access to Experian credit reports and scores, and online educational tools. It serves its customers in financial service, direct-to-consumer, health, retail, software and professional services, automotive, insurance, media and technology, telecommunications and utility, and other industries, and government and public sectors. The company was formerly known as Experian Group Limited and changed its name to Experian plc in July 2008. Experian plc was founded in 1826 and is headquartered in Dublin, Ireland."
fullTimeEmployees,23300
