,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1392745352.0,1376588292.0,1265697000.0,1390388000.0,
Ordinary Shares Number,12157254648.0,12173411708.0,12820503000.0,13195812000.0,
Share Issued,13550000000.0,13550000000.0,14086200000.0,14586200000.0,
Net Debt,34098000000.0,29057000000.0,25475000000.0,29782000000.0,
Total Debt,38107000000.0,32241000000.0,28777000000.0,34641000000.0,
Tangible Book Value,34591000000.0,37428000000.0,43100000000.0,33546000000.0,
Invested Capital,76934000000.0,74313000000.0,76808000000.0,72954000000.0,
Working Capital,9805000000.0,14564000000.0,15803000000.0,8317000000.0,
Net Tangible Assets,34591000000.0,37428000000.0,43100000000.0,33546000000.0,
Capital Lease Obligations,1842000000.0,1508000000.0,1379000000.0,1618000000.0,
Common Stock Equity,40669000000.0,43580000000.0,49410000000.0,39931000000.0,
Total Capitalization,64702000000.0,63894000000.0,67327000000.0,65649000000.0,
Total Equity Gross Minority Interest,35660000000.0,38237000000.0,45219000000.0,36917000000.0,
Minority Interest,-5009000000.0,-5343000000.0,-4191000000.0,-3014000000.0,
Stockholders Equity,40669000000.0,43580000000.0,49410000000.0,39931000000.0,
Other Equity Interest,,,-301000000.0,-460000000.0,-503000000.0
Treasury Stock,7584000000.0,7500000000.0,5861000000.0,5417000000.0,
Retained Earnings,27139000000.0,29607000000.0,25246000000.0,7914000000.0,
Additional Paid In Capital,26789000000.0,28369000000.0,36717000000.0,43679000000.0,
Capital Stock,136000000.0,136000000.0,141000000.0,146000000.0,
Common Stock,136000000.0,136000000.0,141000000.0,146000000.0,
Total Liabilities Net Minority Interest,94800000000.0,85632000000.0,87364000000.0,90593000000.0,
Total Non Current Liabilities Net Minority Interest,45091000000.0,36154000000.0,33944000000.0,41134000000.0,
Other Non Current Liabilities,,,,49000000.0,206000000.0
Derivative Product Liabilities,2033000000.0,1710000000.0,2041000000.0,623000000.0,
Non Current Pension And Other Postretirement Benefit Plans,764000000.0,800000000.0,677000000.0,939000000.0,
Non Current Deferred Revenue,1109000000.0,1294000000.0,1547000000.0,2088000000.0,
Non Current Deferred Taxes Liabilities,5207000000.0,2970000000.0,3651000000.0,4469000000.0,
Long Term Debt And Capital Lease Obligation,25264000000.0,21275000000.0,18851000000.0,26811000000.0,
Long Term Capital Lease Obligation,1231000000.0,961000000.0,934000000.0,1093000000.0,
Long Term Debt,24033000000.0,20314000000.0,17917000000.0,25718000000.0,
Long Term Provisions,10714000000.0,8105000000.0,7163000000.0,6117000000.0,
Current Liabilities,49709000000.0,49478000000.0,53420000000.0,49459000000.0,
Current Debt And Capital Lease Obligation,12843000000.0,10966000000.0,9926000000.0,7830000000.0,
Current Capital Lease Obligation,611000000.0,547000000.0,445000000.0,525000000.0,
Current Debt,12232000000.0,10419000000.0,9481000000.0,7305000000.0,
Current Provisions,1326000000.0,1108000000.0,1425000000.0,2093000000.0,
Payables,30919000000.0,31139000000.0,34092000000.0,30639000000.0,
Other Payable,3541000000.0,3689000000.0,3982000000.0,4202000000.0,
Total Tax Payable,2506000000.0,2358000000.0,4987000000.0,2234000000.0,
Accounts Payable,24872000000.0,25092000000.0,25123000000.0,24203000000.0,
Total Assets,130460000000.0,123869000000.0,132583000000.0,127510000000.0,
Total Non Current Assets,70946000000.0,59827000000.0,63360000000.0,69734000000.0,
Other Non Current Assets,517000000.0,623000000.0,605000000.0,662000000.0,
Defined Pension Benefit,381000000.0,189000000.0,148000000.0,125000000.0,
Non Current Prepaid Assets,1636000000.0,1810000000.0,1519000000.0,1673000000.0,
Non Current Deferred Assets,32000000.0,60000000.0,245000000.0,135000000.0,
Non Current Deferred Taxes Assets,1208000000.0,1390000000.0,1837000000.0,1779000000.0,
Financial Assets,467000000.0,491000000.0,250000000.0,458000000.0,
Investmentin Financial Assets,468000000.0,513000000.0,456000000.0,1620000000.0,
Available For Sale Securities,350000000.0,387000000.0,419000000.0,1620000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,118000000.0,126000000.0,37000000.0,,86000000.0
Long Term Equity Investment,9304000000.0,8823000000.0,11878000000.0,12294000000.0,
Investmentsin Joint Venturesat Cost,4035000000.0,3542000000.0,7072000000.0,6727000000.0,
Investmentsin Associatesat Cost,5269000000.0,5281000000.0,4806000000.0,5567000000.0,
Goodwill And Other Intangible Assets,6078000000.0,6152000000.0,6310000000.0,6385000000.0,
Other Intangible Assets,1078000000.0,1152000000.0,1310000000.0,1385000000.0,
Goodwill,5000000000.0,5000000000.0,5000000000.0,5000000000.0,
Net PPE,50206000000.0,39233000000.0,39564000000.0,43159000000.0,
Accumulated Depreciation,-71264000000.0,-64164000000.0,-58750000000.0,-57559000000.0,
Gross PPE,121470000000.0,103397000000.0,98314000000.0,100718000000.0,
Other Properties,4203000000.0,3510000000.0,3198000000.0,3048000000.0,
Machinery Furniture Equipment,54968000000.0,47785000000.0,45850000000.0,44580000000.0,
Land And Improvements,,6619000000.0,6504000000.0,6854000000.0,6576000000.0
Properties,62299000000.0,52102000000.0,42762000000.0,46236000000.0,
Current Assets,59514000000.0,64042000000.0,69223000000.0,57776000000.0,
Hedging Assets Current,4888000000.0,5730000000.0,6629000000.0,4636000000.0,
Assets Held For Sale Current,3592000000.0,5430000000.0,2440000000.0,1321000000.0,
Current Deferred Assets,35000000.0,73000000.0,461000000.0,0.0,
Restricted Cash,3614000000.0,3285000000.0,8111000000.0,5914000000.0,
Prepaid Assets,641000000.0,941000000.0,548000000.0,1163000000.0,
Inventory,29580000000.0,31569000000.0,33460000000.0,28434000000.0,
Other Inventories,13816000000.0,14441000000.0,15608000000.0,16073000000.0,
Finished Goods,5639000000.0,6346000000.0,6355000000.0,2383000000.0,
Work In Process,5046000000.0,4955000000.0,5527000000.0,4901000000.0,
Raw Materials,5079000000.0,5827000000.0,5970000000.0,5077000000.0,
Other Receivables,1083000000.0,1410000000.0,1119000000.0,894000000.0,
Taxes Receivable,3036000000.0,3281000000.0,1904000000.0,1786000000.0,
Accounts Receivable,10878000000.0,10510000000.0,12628000000.0,10210000000.0,
Allowance For Doubtful Accounts Receivable,,,,-24000000.0,-13000000.0
Gross Accounts Receivable,10878000000.0,10510000000.0,12628000000.0,10210000000.0,
Cash Cash Equivalents And Short Term Investments,2167000000.0,1813000000.0,1923000000.0,3416000000.0,
Other Short Term Investments,,137000000.0,128000000.0,175000000.0,
Cash And Cash Equivalents,2167000000.0,1676000000.0,1923000000.0,3241000000.0,
Cash Equivalents,,510000000.0,478000000.0,838000000.0,
Cash Financial,,1415000000.0,1445000000.0,2403000000.0,
