,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,4444000000.0,6552000000.0,9482000000.0,5242000000.0,
Repurchase Of Capital Stock,-230000000.0,-3672000000.0,-2503000000.0,-746000000.0,
Repayment Of Debt,-3130000000.0,-3473000000.0,-6996000000.0,-7685000000.0,
Issuance Of Debt,8708000000.0,5904000000.0,3736000000.0,5783000000.0,
Issuance Of Capital Stock,,0.0,238000000.0,0.0,0.0
Capital Expenditure,-5611000000.0,-4484000000.0,-4177000000.0,-3618000000.0,
End Cash Position,2389000000.0,1987000000.0,1998000000.0,3308000000.0,
Beginning Cash Position,1987000000.0,1998000000.0,3308000000.0,1498000000.0,
Effect Of Exchange Rate Changes,-70000000.0,-6000000.0,-50000000.0,11000000.0,
Changes In Cash,472000000.0,-5000000.0,-1260000000.0,1799000000.0,
Financing Cash Flow,2142000000.0,-7486000000.0,-13200000000.0,-6520000000.0,
Net Other Financing Charges,-698000000.0,829000000.0,-1824000000.0,-960000000.0,
Cash Dividends Paid,-1580000000.0,-6450000000.0,-4832000000.0,-2115000000.0,
Common Stock Dividend Paid,-1580000000.0,-6450000000.0,-4832000000.0,-2115000000.0,
Net Common Stock Issuance,-230000000.0,-3672000000.0,-2265000000.0,-746000000.0,
Common Stock Payments,-230000000.0,-3672000000.0,-2503000000.0,-746000000.0,
Common Stock Issuance,,0.0,238000000.0,0.0,0.0
Net Issuance Payments Of Debt,5578000000.0,2431000000.0,-3260000000.0,-1902000000.0,
Net Short Term Debt Issuance,1729000000.0,1141000000.0,-664000000.0,-3585000000.0,
Short Term Debt Payments,-187000000.0,,-3970000000.0,-4260000000.0,-870000000.0
Short Term Debt Issuance,1916000000.0,1141000000.0,3306000000.0,675000000.0,
Net Long Term Debt Issuance,3849000000.0,1290000000.0,-2596000000.0,1683000000.0,
Long Term Debt Payments,-2943000000.0,-3473000000.0,-3026000000.0,-3425000000.0,
Long Term Debt Issuance,6792000000.0,4763000000.0,430000000.0,5108000000.0,
Investing Cash Flow,-11725000000.0,-3555000000.0,-1719000000.0,-541000000.0,
Dividends Received Cfi,812000000.0,1328000000.0,1691000000.0,2375000000.0,
Net Investment Purchase And Sale,-23000000.0,-890000000.0,128000000.0,108000000.0,
Sale Of Investment,192000000.0,56000000.0,604000000.0,194000000.0,
Purchase Of Investment,-215000000.0,-946000000.0,-476000000.0,-86000000.0,
Net Business Purchase And Sale,-6971000000.0,344000000.0,776000000.0,252000000.0,
Sale Of Business,,838000000.0,776000000.0,252000000.0,
Purchase Of Business,-6971000000.0,-494000000.0,,0.0,-222000000.0
Net PPE Purchase And Sale,-5468000000.0,-4337000000.0,-4114000000.0,-3276000000.0,
Sale Of PPE,143000000.0,147000000.0,63000000.0,342000000.0,
Purchase Of PPE,-5611000000.0,-4484000000.0,-4177000000.0,-3618000000.0,
Operating Cash Flow,10055000000.0,11036000000.0,13659000000.0,8860000000.0,
Taxes Refund Paid,-1660000000.0,-6503000000.0,-4881000000.0,-1837000000.0,
Interest Received Cfo,533000000.0,552000000.0,234000000.0,100000000.0,
Interest Paid Cfo,-2059000000.0,-1882000000.0,-1340000000.0,-1003000000.0,
Change In Working Capital,2061000000.0,3752000000.0,-13269000000.0,-5125000000.0,
Change In Payable,-629000000.0,-5770000000.0,-3292000000.0,6423000000.0,
Change In Inventory,2770000000.0,1978000000.0,-5035000000.0,-5660000000.0,
Change In Receivables,-80000000.0,7544000000.0,-4942000000.0,-5888000000.0,
Other Non Cash Items,3500000000.0,2381000000.0,681000000.0,2589000000.0,
Stock Based Compensation,564000000.0,742000000.0,1134000000.0,476000000.0,
Provisionand Write Offof Assets,,,,,-205000000.0
Depreciation And Amortization,6598000000.0,5981000000.0,6987000000.0,6335000000.0,
Amortization Cash Flow,157000000.0,124000000.0,159000000.0,,
Depreciation,6441000000.0,5857000000.0,6828000000.0,6335000000.0,
Gain Loss On Investment Securities,-163000000.0,100000000.0,35000000.0,-64000000.0,
Net Foreign Currency Exchange Gain Loss,445000000.0,-46000000.0,349000000.0,187000000.0,
Gain Loss On Sale Of PPE,-87000000.0,-20000000.0,115000000.0,,45000000.0
Gain Loss On Sale Of Business,472000000.0,-585000000.0,-302000000.0,607000000.0,
Net Income From Continuing Operations,-998000000.0,5417000000.0,22879000000.0,7375000000.0,
