,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-330480000.0,-208080000.0,-794668000.0,-626761400.0,
Tax Rate For Calcs,0.085,0.085,0.281,0.1493,
Normalized EBITDA,12409000000.0,16361000000.0,34465000000.0,19256000000.0,
Total Unusual Items,-3888000000.0,-2448000000.0,-2828000000.0,-4198000000.0,
Total Unusual Items Excluding Goodwill,-3888000000.0,-2448000000.0,-2828000000.0,-4198000000.0,
Net Income From Continuing Operation Net Minority Interest,-1634000000.0,4280000000.0,17320000000.0,4974000000.0,
Reconciled Depreciation,6598000000.0,5981000000.0,6987000000.0,6335000000.0,
Reconciled Cost Of Revenue,224294000000.0,207046000000.0,228467000000.0,191370000000.0,
EBITDA,8521000000.0,13913000000.0,31637000000.0,15058000000.0,
EBIT,1923000000.0,7932000000.0,24650000000.0,8723000000.0,
Net Interest Income,-2334000000.0,-1900000000.0,-1336000000.0,-1140000000.0,
Interest Expense,2921000000.0,2515000000.0,1771000000.0,1348000000.0,
Interest Income,587000000.0,615000000.0,435000000.0,208000000.0,
Normalized Income,1923520000.0,6519920000.0,19353332000.0,8545238600.0,
Net Income From Continuing And Discontinued Operation,-1634000000.0,4280000000.0,17320000000.0,4974000000.0,
Total Expenses,226503000000.0,209130000000.0,231153000000.0,193363000000.0,
Diluted Average Shares,12272062000.0,12537936000.0,13140758000.0,13336604000.0,
Basic Average Shares,12152042000.0,12425821000.0,13042304000.0,13204101000.0,
Diluted EPS,-0.13,0.34,1.32,0.37,
Basic EPS,-0.13,0.34,1.33,0.38,
Diluted NI Availto Com Stockholders,-1634000000.0,4280000000.0,17320000000.0,4974000000.0,
Net Income Common Stockholders,-1634000000.0,4280000000.0,17320000000.0,4974000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-1634000000.0,4280000000.0,17320000000.0,4974000000.0,
Minority Interests,1060000000.0,1070000000.0,809000000.0,625000000.0,
Net Income Including Noncontrolling Interests,-2694000000.0,3210000000.0,16511000000.0,4349000000.0,
Net Income Continuous Operations,-2694000000.0,3210000000.0,16511000000.0,4349000000.0,
Tax Provision,1696000000.0,2207000000.0,6368000000.0,3026000000.0,
Pretax Income,-998000000.0,5417000000.0,22879000000.0,7375000000.0,
Other Non Operating Income Expenses,-196000000.0,-323000000.0,216000000.0,-129000000.0,
Special Income Charges,-4051000000.0,-2590000000.0,-2793000000.0,-4360000000.0,
Other Special Charges,680000000.0,-437000000.0,115000000.0,2345000000.0,
Write Off,324000000.0,381000000.0,1353000000.0,386000000.0,
Impairment Of Capital Assets,1942000000.0,2103000000.0,1984000000.0,1452000000.0,
Restructuring And Mergern Acquisition,1105000000.0,543000000.0,-659000000.0,177000000.0,
Net Non Operating Interest Income Expense,-2334000000.0,-1900000000.0,-1336000000.0,-1140000000.0,
Total Other Finance Cost,,,,96000000.0,189000000.0
Interest Expense Non Operating,2921000000.0,2515000000.0,1771000000.0,1348000000.0,
Interest Income Non Operating,587000000.0,615000000.0,435000000.0,208000000.0,
Operating Income,4441000000.0,8699000000.0,24831000000.0,10388000000.0,
Operating Expense,2209000000.0,2084000000.0,2686000000.0,1993000000.0,
Other Operating Expenses,186000000.0,-21000000.0,256000000.0,-122000000.0,
Selling General And Administration,2023000000.0,2105000000.0,2430000000.0,2115000000.0,
Selling And Marketing Expense,2023000000.0,2105000000.0,2430000000.0,2115000000.0,
General And Administrative Expense,,2105000000.0,2430000000.0,2115000000.0,1681000000.0
Gross Profit,6650000000.0,10783000000.0,27517000000.0,12381000000.0,
Cost Of Revenue,224294000000.0,207046000000.0,228467000000.0,191370000000.0,
Total Revenue,230944000000.0,217829000000.0,255984000000.0,203751000000.0,
Operating Revenue,230944000000.0,217829000000.0,255984000000.0,203751000000.0,
