,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,233485461.0,255885366.0,217124760.0,284164760.0,
Ordinary Shares Number,4080818273.0,4056260617.0,4094218581.0,4025447287.0,
Share Issued,4314303734.0,4312145983.0,4311343341.0,4309612047.0,
Net Debt,12191000000.0,14065000000.0,16456000000.0,19084000000.0,
Total Debt,16986000000.0,18018000000.0,20987000000.0,24173000000.0,
Tangible Book Value,-8826000000.0,-8232000000.0,-10766000000.0,-25576000000.0,
Invested Capital,29555000000.0,30158000000.0,30577000000.0,38213000000.0,
Working Capital,-4700000000.0,-2424000000.0,-2041000000.0,-4996000000.0,
Net Tangible Assets,-8826000000.0,-8232000000.0,-10766000000.0,-25576000000.0,
Capital Lease Obligations,1102000000.0,1207000000.0,1008000000.0,1015000000.0,
Common Stock Equity,13671000000.0,13347000000.0,10598000000.0,15055000000.0,
Total Capitalization,27374000000.0,27501000000.0,26792000000.0,34815000000.0,
Total Equity Gross Minority Interest,13086000000.0,12795000000.0,10096000000.0,21342000000.0,
Minority Interest,-585000000.0,-552000000.0,-502000000.0,6287000000.0,
Stockholders Equity,13671000000.0,13347000000.0,10598000000.0,15055000000.0,
Other Equity Interest,-397000000.0,-288000000.0,-353000000.0,-28000000.0,
Retained Earnings,7796000000.0,7239000000.0,4363000000.0,7944000000.0,
Additional Paid In Capital,3473000000.0,3451000000.0,3440000000.0,3301000000.0,
Capital Stock,1348000000.0,1348000000.0,1347000000.0,1347000000.0,
Common Stock,1348000000.0,1348000000.0,1347000000.0,1347000000.0,
Total Liabilities Net Minority Interest,46377000000.0,46210000000.0,50050000000.0,57761000000.0,
Total Non Current Liabilities Net Minority Interest,24680000000.0,25142000000.0,27240000000.0,34091000000.0,
Other Non Current Liabilities,6108000000.0,5609000000.0,5779000000.0,5118000000.0,
Derivative Product Liabilities,,,0.0,1000000.0,10000000.0
Non Current Pension And Other Postretirement Benefit Plans,1864000000.0,2340000000.0,2579000000.0,3113000000.0,
Non Current Accrued Expenses,6000000.0,4000000.0,11000000.0,13000000.0,
Tradeand Other Payables Non Current,929000000.0,924000000.0,932000000.0,1003000000.0,
Non Current Deferred Revenue,165000000.0,254000000.0,83000000.0,85000000.0,
Non Current Deferred Taxes Liabilities,382000000.0,311000000.0,289000000.0,3556000000.0,
Long Term Debt And Capital Lease Obligation,14637000000.0,15205000000.0,17035000000.0,20572000000.0,
Long Term Capital Lease Obligation,934000000.0,1051000000.0,841000000.0,812000000.0,
Long Term Debt,13703000000.0,14154000000.0,16194000000.0,19760000000.0,
Long Term Provisions,589000000.0,495000000.0,532000000.0,630000000.0,
Current Liabilities,21697000000.0,21068000000.0,22810000000.0,23670000000.0,
Other Current Liabilities,1172000000.0,1053000000.0,1289000000.0,958000000.0,
Current Debt And Capital Lease Obligation,2349000000.0,2813000000.0,3952000000.0,3601000000.0,
Current Capital Lease Obligation,168000000.0,156000000.0,167000000.0,203000000.0,
Current Debt,2181000000.0,2657000000.0,3785000000.0,3398000000.0,
Pensionand Other Post Retirement Benefit Plans Current,125000000.0,126000000.0,126000000.0,152000000.0,
Current Provisions,1946000000.0,744000000.0,652000000.0,841000000.0,
Payables,4585000000.0,4563000000.0,4755000000.0,5542000000.0,
Other Payable,420000000.0,346000000.0,418000000.0,518000000.0,
Total Tax Payable,703000000.0,500000000.0,471000000.0,489000000.0,
Accounts Payable,3462000000.0,3717000000.0,3866000000.0,4535000000.0,
Total Assets,59463000000.0,59005000000.0,60146000000.0,79103000000.0,
Total Non Current Assets,42466000000.0,40361000000.0,39377000000.0,60429000000.0,
Defined Pension Benefit,898000000.0,634000000.0,229000000.0,741000000.0,
Non Current Deferred Taxes Assets,6757000000.0,6049000000.0,5658000000.0,5218000000.0,
Financial Assets,1000000.0,0.0,0.0,18000000.0,
Investmentin Financial Assets,1136000000.0,1164000000.0,1501000000.0,2126000000.0,
Available For Sale Securities,848000000.0,940000000.0,1174000000.0,1927000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,288000000.0,224000000.0,327000000.0,199000000.0,
Long Term Equity Investment,96000000.0,55000000.0,74000000.0,88000000.0,
Investmentsin Joint Venturesat Cost,0.0,0.0,10000000.0,12000000.0,
Investmentsin Associatesat Cost,96000000.0,55000000.0,64000000.0,76000000.0,
Goodwill And Other Intangible Assets,22497000000.0,21579000000.0,21364000000.0,40631000000.0,
Other Intangible Assets,15515000000.0,14768000000.0,14318000000.0,30079000000.0,
Goodwill,6982000000.0,6811000000.0,7046000000.0,10552000000.0,
Net PPE,10073000000.0,9957000000.0,9620000000.0,10672000000.0,
Accumulated Depreciation,-10483000000.0,-10259000000.0,-10518000000.0,-10846000000.0,
Gross PPE,20556000000.0,20216000000.0,20138000000.0,21518000000.0,
Construction In Progress,2320000000.0,2120000000.0,1850000000.0,1750000000.0,
Other Properties,8000000.0,4000000.0,6000000.0,9000000.0,
Machinery Furniture Equipment,11217000000.0,10886000000.0,11073000000.0,11914000000.0,
Buildings And Improvements,636000000.0,751000000.0,561000000.0,633000000.0,
Land And Improvements,6375000000.0,6455000000.0,6648000000.0,7212000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,16997000000.0,18644000000.0,20769000000.0,18674000000.0,
Hedging Assets Current,109000000.0,130000000.0,190000000.0,188000000.0,
Assets Held For Sale Current,3000000.0,76000000.0,98000000.0,22000000.0,
Restricted Cash,177000000.0,190000000.0,200000000.0,200000000.0,
Prepaid Assets,390000000.0,355000000.0,343000000.0,315000000.0,
Inventory,5669000000.0,5498000000.0,5146000000.0,5783000000.0,
Finished Goods,1625000000.0,1455000000.0,1284000000.0,2122000000.0,
Work In Process,2683000000.0,2449000000.0,2286000000.0,1889000000.0,
Raw Materials,1361000000.0,1594000000.0,1576000000.0,1772000000.0,
Other Receivables,436000000.0,560000000.0,766000000.0,1299000000.0,
Taxes Receivable,936000000.0,938000000.0,897000000.0,486000000.0,
Accounts Receivable,5563000000.0,5905000000.0,5452000000.0,6246000000.0,
Allowance For Doubtful Accounts Receivable,-99000000.0,-85000000.0,-91000000.0,-150000000.0,
Gross Accounts Receivable,5662000000.0,5990000000.0,5543000000.0,6396000000.0,
Cash Cash Equivalents And Short Term Investments,3714000000.0,4992000000.0,7677000000.0,4135000000.0,
Other Short Term Investments,21000000.0,2246000000.0,4154000000.0,61000000.0,
Cash And Cash Equivalents,3693000000.0,2746000000.0,3523000000.0,4074000000.0,
