,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3572000000.0,4424000000.0,5145000000.0,5298000000.0,
Repayment Of Debt,-2507000000.0,-2593000000.0,-6668000000.0,-2304000000.0,
Issuance Of Debt,1341000000.0,223000000.0,2046000000.0,301000000.0,
Issuance Of Capital Stock,20000000.0,10000000.0,25000000.0,21000000.0,
Capital Expenditure,-2982000000.0,-2344000000.0,-2258000000.0,-2654000000.0,
End Cash Position,3403000000.0,2858000000.0,3425000000.0,3819000000.0,
Beginning Cash Position,2858000000.0,3425000000.0,3819000000.0,5262000000.0,
Effect Of Exchange Rate Changes,-54000000.0,-99000000.0,152000000.0,-29000000.0,
Changes In Cash,599000000.0,-468000000.0,-546000000.0,-1414000000.0,
Financing Cash Flow,-4726000000.0,-5641000000.0,823000000.0,-7589000000.0,
Net Other Financing Charges,138000000.0,341000000.0,10458000000.0,-416000000.0,
Interest Paid Cff,-632000000.0,-766000000.0,-848000000.0,-772000000.0,
Cash Dividends Paid,-2444000000.0,-2247000000.0,-3467000000.0,-3999000000.0,
Common Stock Dividend Paid,-2444000000.0,-2247000000.0,-3467000000.0,-3999000000.0,
Net Common Stock Issuance,20000000.0,10000000.0,25000000.0,21000000.0,
Common Stock Issuance,20000000.0,10000000.0,25000000.0,21000000.0,
Net Issuance Payments Of Debt,-1166000000.0,-2370000000.0,-4622000000.0,-2003000000.0,
Net Short Term Debt Issuance,-626000000.0,-333000000.0,1021000000.0,-2003000000.0,
Short Term Debt Payments,-892000000.0,-333000000.0,0.0,-2304000000.0,
Short Term Debt Issuance,266000000.0,0.0,1021000000.0,301000000.0,
Net Long Term Debt Issuance,-540000000.0,-2037000000.0,-5643000000.0,0.0,
Long Term Debt Payments,-1615000000.0,-2260000000.0,-6668000000.0,0.0,
Long Term Debt Issuance,1075000000.0,223000000.0,1025000000.0,0.0,
Investing Cash Flow,-1229000000.0,-1595000000.0,-8772000000.0,-1777000000.0,
Net Other Investing Changes,-1000000.0,,-3791000000.0,-122000000.0,806000000.0
Interest Received Cfi,138000000.0,115000000.0,64000000.0,14000000.0,
Dividends Received Cfi,31000000.0,231000000.0,6000000.0,9000000.0,
Net Investment Purchase And Sale,21000000.0,72000000.0,1000000.0,18000000.0,
Sale Of Investment,21000000.0,72000000.0,1000000.0,18000000.0,
Purchase Of Investment,,,,,-1000000.0
Net Business Purchase And Sale,1368000000.0,291000000.0,-3136000000.0,185000000.0,
Sale Of Business,2356000000.0,1882000000.0,238000000.0,479000000.0,
Purchase Of Business,-988000000.0,-1591000000.0,-3374000000.0,-294000000.0,
Net Intangibles Purchase And Sale,-1452000000.0,-1018000000.0,-919000000.0,-1063000000.0,
Sale Of Intangibles,131000000.0,12000000.0,196000000.0,641000000.0,
Purchase Of Intangibles,-1583000000.0,-1030000000.0,-1115000000.0,-1704000000.0,
Net PPE Purchase And Sale,-1334000000.0,-1286000000.0,-997000000.0,-818000000.0,
Sale Of PPE,65000000.0,28000000.0,146000000.0,132000000.0,
Purchase Of PPE,-1399000000.0,-1314000000.0,-1143000000.0,-950000000.0,
Operating Cash Flow,6554000000.0,6768000000.0,7403000000.0,7952000000.0,
Taxes Refund Paid,-1307000000.0,-1328000000.0,-1310000000.0,-972000000.0,
Change In Working Capital,2090000000.0,-364000000.0,270000000.0,1387000000.0,
Change In Other Current Liabilities,1834000000.0,492000000.0,1628000000.0,1063000000.0,
Change In Other Current Assets,999000000.0,-457000000.0,-962000000.0,-299000000.0,
Change In Payable,-789000000.0,674000000.0,489000000.0,1734000000.0,
Change In Inventory,-294000000.0,-424000000.0,-269000000.0,51000000.0,
Change In Receivables,340000000.0,-649000000.0,-616000000.0,-1162000000.0,
Other Non Cash Items,398000000.0,470000000.0,350000000.0,602000000.0,
Stock Based Compensation,344000000.0,307000000.0,346000000.0,343000000.0,
Deferred Tax,526000000.0,756000000.0,707000000.0,83000000.0,
Depreciation And Amortization,2551000000.0,2294000000.0,2147000000.0,2122000000.0,
Amortization Cash Flow,1454000000.0,1212000000.0,1086000000.0,1088000000.0,
Depreciation,1097000000.0,1082000000.0,1061000000.0,1034000000.0,
Gain Loss On Investment Securities,-10000000.0,,-1000000.0,-8000000.0,-69000000.0
Gain Loss On Sale Of PPE,-170000000.0,-12000000.0,-185000000.0,-539000000.0,
Gain Loss On Sale Of Business,5000000.0,-1000000.0,-36000000.0,-11000000.0,
Net Income From Continuing Operations,2951000000.0,5308000000.0,4921000000.0,3516000000.0,
