,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-220309000.0,-67625000.0,-34398000.0,-12811000.0
Tax Rate For Calcs,0.151,0.125,0.126,0.023
Normalized EBITDA,8127000000.0,9624000000.0,8874000000.0,7042000000.0
Total Unusual Items,-1459000000.0,-541000000.0,-273000000.0,-557000000.0
Total Unusual Items Excluding Goodwill,-1459000000.0,-541000000.0,-273000000.0,-557000000.0
Net Income From Continuing Operation Net Minority Interest,2575000000.0,4928000000.0,4256000000.0,2805000000.0
Reconciled Depreciation,2551000000.0,2294000000.0,2147000000.0,2122000000.0
Reconciled Cost Of Revenue,9048000000.0,8565000000.0,9554000000.0,8163000000.0
EBITDA,6668000000.0,9083000000.0,8601000000.0,6485000000.0
EBIT,4117000000.0,6789000000.0,6454000000.0,4363000000.0
Net Interest Income,-603000000.0,-735000000.0,-826000000.0,-755000000.0
Interest Expense,640000000.0,725000000.0,826000000.0,764000000.0
Interest Income,60000000.0,48000000.0,31000000.0,11000000.0
Normalized Income,3813691000.0,5401375000.0,4494602000.0,3349189000.0
Net Income From Continuing And Discontinued Operation,2575000000.0,4928000000.0,14956000000.0,4385000000.0
Total Expenses,25834000000.0,22983000000.0,22595000000.0,19818000000.0
Rent Expense Supplemental,30000000.0,27000000.0,17000000.0,20000000.0
Total Operating Income As Reported,4021000000.0,6745000000.0,6433000000.0,4357000000.0
Diluted Average Shares,2071000000.0,2055500000.0,2042000000.0,2026000000.0
Basic Average Shares,2038500000.0,2026000000.0,2013000000.0,2001200000.0
Diluted EPS,1.244,2.398,7.324,2.165
Basic EPS,1.264,2.432,7.428,2.19
Diluted NI Availto Com Stockholders,2575000000.0,4928000000.0,14956000000.0,4385000000.0
Net Income Common Stockholders,2575000000.0,4928000000.0,14956000000.0,4385000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2575000000.0,4928000000.0,14956000000.0,4385000000.0
Minority Interests,-376000000.0,-380000000.0,-665000000.0,-711000000.0
Net Income Including Noncontrolling Interests,2951000000.0,5308000000.0,15621000000.0,5096000000.0
Net Income Discontinuous Operations,0.0,0.0,10700000000.0,1580000000.0
Net Income Continuous Operations,2951000000.0,5308000000.0,4921000000.0,3516000000.0
Tax Provision,526000000.0,756000000.0,707000000.0,83000000.0
Pretax Income,3477000000.0,6064000000.0,5628000000.0,3599000000.0
Special Income Charges,-1233000000.0,-704000000.0,-1231000000.0,23000000.0
Other Special Charges,-518000000.0,-87000000.0,-376000000.0,-1081000000.0
Restructuring And Mergern Acquisition,1751000000.0,791000000.0,1607000000.0,1058000000.0
Net Non Operating Interest Income Expense,-603000000.0,-735000000.0,-826000000.0,-755000000.0
Total Other Finance Cost,23000000.0,58000000.0,31000000.0,2000000.0
Interest Expense Non Operating,640000000.0,725000000.0,826000000.0,764000000.0
Interest Income Non Operating,60000000.0,48000000.0,31000000.0,11000000.0
Operating Income,5542000000.0,7345000000.0,6729000000.0,4878000000.0
Operating Expense,16786000000.0,14418000000.0,13041000000.0,11655000000.0
Other Operating Expenses,9000000.0,,,
Research And Development,6401000000.0,6223000000.0,5488000000.0,5019000000.0
Selling General And Administration,11015000000.0,9385000000.0,8372000000.0,7070000000.0
General And Administrative Expense,11015000000.0,9385000000.0,8372000000.0,7070000000.0
Gross Profit,22328000000.0,21763000000.0,19770000000.0,16533000000.0
Cost Of Revenue,9048000000.0,8565000000.0,9554000000.0,8163000000.0
Total Revenue,31376000000.0,30328000000.0,29324000000.0,24696000000.0
Operating Revenue,31376000000.0,30328000000.0,29324000000.0,24696000000.0
