,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,9305925.0,20902218.0,325273407.0,325273407.0,
Preferred Shares Number,,,,,1450000.0
Ordinary Shares Number,17935716398.0,19241825975.0,19968334003.0,20632000000.0,
Share Issued,17945022323.0,19262728193.0,20293607410.0,20957273407.0,
Total Debt,242347000000.0,235159000000.0,204239000000.0,223644000000.0,
Tangible Book Value,172589000000.0,172842000000.0,166414000000.0,177628000000.0,
Invested Capital,424861000000.0,417675000000.0,379305000000.0,418308000000.0,
Net Tangible Assets,172589000000.0,172842000000.0,166414000000.0,177628000000.0,
Common Stock Equity,184973000000.0,185329000000.0,177833000000.0,198250000000.0,
Total Capitalization,424861000000.0,417675000000.0,379305000000.0,418308000000.0,
Total Equity Gross Minority Interest,192273000000.0,192610000000.0,185197000000.0,206777000000.0,
Minority Interest,7300000000.0,7281000000.0,7364000000.0,8527000000.0,
Stockholders Equity,184973000000.0,185329000000.0,177833000000.0,198250000000.0,
Other Equity Interest,19070000000.0,17719000000.0,19746000000.0,22414000000.0,
Retained Earnings,152402000000.0,152148000000.0,142409000000.0,144458000000.0,
Additional Paid In Capital,14810000000.0,14738000000.0,14664000000.0,14602000000.0,
Capital Stock,8973000000.0,9631000000.0,10147000000.0,10316000000.0,
Common Stock,8973000000.0,9631000000.0,10147000000.0,10316000000.0,
Total Liabilities Net Minority Interest,2824775000000.0,2846067000000.0,2764089000000.0,2751162000000.0,
Preferred Securities Outside Stock Equity,878000000.0,1805000000.0,1743000000.0,1847000000.0,
Derivative Product Liabilities,264448000000.0,234772000000.0,285762000000.0,191064000000.0,
Long Term Debt And Capital Lease Obligation,242347000000.0,235159000000.0,204239000000.0,223644000000.0,
Payables,1729000000.0,2777000000.0,1135000000.0,698000000.0,
Other Payable,,,,50226000000.0,65557000000.0
Total Tax Payable,1729000000.0,2777000000.0,1135000000.0,698000000.0,
Total Assets,3017048000000.0,3038677000000.0,2949286000000.0,2957939000000.0,
Defined Pension Benefit,7548000000.0,7750000000.0,7282000000.0,10269000000.0,
Investments And Advances,1226194000000.0,1100826000000.0,1007621000000.0,983508000000.0,
Investmentin Financial Assets,1197285000000.0,1073482000000.0,978367000000.0,953899000000.0,
Available For Sale Securities,535459000000.0,484787000000.0,408513000000.0,488852000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,108698000000.0,104777000000.0,96646000000.0,45497000000.0,
Trading Securities,284491000000.0,254204000000.0,189049000000.0,222668000000.0,
Long Term Equity Investment,28909000000.0,27344000000.0,29254000000.0,29609000000.0,
Investmentsin Joint Venturesat Cost,132000000.0,144000000.0,127000000.0,94000000.0,
Investmentsin Associatesat Cost,28777000000.0,27200000000.0,29127000000.0,29515000000.0,
Goodwill And Other Intangible Assets,12384000000.0,12487000000.0,11419000000.0,20622000000.0,
Other Intangible Assets,8266000000.0,8164000000.0,7263000000.0,15589000000.0,
Goodwill,4118000000.0,4323000000.0,4156000000.0,5033000000.0,
Net PPE,11612000000.0,12934000000.0,12584000000.0,13240000000.0,
Gross PPE,11612000000.0,12934000000.0,12584000000.0,13240000000.0,
Other Properties,11612000000.0,12934000000.0,12584000000.0,13240000000.0,
Prepaid Assets,13781000000.0,13854000000.0,10279000000.0,8233000000.0,
Receivables,,,,,10278000000.0
Taxes Receivable,1313000000.0,1536000000.0,1230000000.0,970000000.0,
Cash And Cash Equivalents,284515000000.0,299569000000.0,350051000000.0,422437000000.0,
Cash Equivalents,16841000000.0,13701000000.0,15752000000.0,15283000000.0,
Cash Financial,267674000000.0,285868000000.0,327002000000.0,403018000000.0,
Cash Cash Equivalents And Federal Funds Sold,537064000000.0,551786000000.0,603805000000.0,664085000000.0,
