,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,61419000000.0,35416000000.0,14946000000.0,100747000000.0,
Repurchase Of Capital Stock,-15322000000.0,-10429000000.0,-4642000000.0,-5543000000.0,
Repayment Of Debt,-2000000000.0,-2147000000.0,-1777000000.0,-864000000.0,
Issuance Of Debt,4361000000.0,5237000000.0,7300000000.0,0.0,
Issuance Of Capital Stock,3602000000.0,1996000000.0,0.0,1996000000.0,
Capital Expenditure,-3886000000.0,-3695000000.0,-4409000000.0,-3565000000.0,
End Cash Position,434940000000.0,490933000000.0,521671000000.0,574032000000.0,
Beginning Cash Position,490933000000.0,521671000000.0,574032000000.0,468323000000.0,
Effect Of Exchange Rate Changes,-18275000000.0,10621000000.0,-38029000000.0,-15345000000.0,
Changes In Cash,-37718000000.0,-41359000000.0,-14332000000.0,121054000000.0,
Financing Cash Flow,-26459000000.0,-17558000000.0,-6286000000.0,-10794000000.0,
Net Other Financing Charges,,-19000000.0,-197000000.0,,
Cash Dividends Paid,-17100000000.0,-12196000000.0,-6970000000.0,-6383000000.0,
Common Stock Dividend Paid,-17100000000.0,-12196000000.0,-6970000000.0,-6383000000.0,
Net Preferred Stock Issuance,-3433000000.0,-4003000000.0,-2266000000.0,-3450000000.0,
Preferred Stock Payments,-3433000000.0,-4003000000.0,-2266000000.0,-3450000000.0,
Net Common Stock Issuance,-8287000000.0,-4430000000.0,-2376000000.0,-97000000.0,
Common Stock Payments,-11889000000.0,-6426000000.0,-2376000000.0,-2093000000.0,
Common Stock Issuance,3602000000.0,1996000000.0,0.0,1996000000.0,
Net Issuance Payments Of Debt,2361000000.0,3090000000.0,5523000000.0,-864000000.0,
Net Long Term Debt Issuance,2361000000.0,3090000000.0,5523000000.0,-864000000.0,
Long Term Debt Payments,-2000000000.0,-2147000000.0,-1777000000.0,-864000000.0,
Long Term Debt Issuance,4361000000.0,5237000000.0,7300000000.0,0.0,
Investing Cash Flow,-76564000000.0,-62912000000.0,-27401000000.0,27536000000.0,
Net Investment Purchase And Sale,-69952000000.0,-59387000000.0,-18473000000.0,28148000000.0,
Sale Of Investment,453502000000.0,504174000000.0,492624000000.0,521190000000.0,
Purchase Of Investment,-523454000000.0,-563561000000.0,-511097000000.0,-493042000000.0,
Net Business Purchase And Sale,-2726000000.0,-453000000.0,-989000000.0,-106000000.0,
Sale Of Business,9891000000.0,1239000000.0,0.0,,
Purchase Of Business,-12617000000.0,-1692000000.0,-989000000.0,,
Net Intangibles Purchase And Sale,-2542000000.0,-2550000000.0,-3125000000.0,-2479000000.0,
Purchase Of Intangibles,,,,-2479000000.0,-2064000000.0
Net PPE Purchase And Sale,-1344000000.0,-1145000000.0,-1284000000.0,-1086000000.0,
Purchase Of PPE,,,-1285000000.0,-1086000000.0,-1446000000.0
Operating Cash Flow,65305000000.0,39111000000.0,19355000000.0,104312000000.0,
Taxes Refund Paid,-6611000000.0,-4117000000.0,-2776000000.0,-3077000000.0,
Dividend Received Cfo,1062000000.0,1067000000.0,944000000.0,808000000.0,
Change In Working Capital,9714000000.0,19436000000.0,-52249000000.0,67133000000.0,
Change In Other Current Liabilities,-1603000000.0,8742000000.0,6021000000.0,-10935000000.0,
Change In Other Current Assets,7685000000.0,-10254000000.0,-12858000000.0,19899000000.0,
Other Non Cash Items,-5290000000.0,-4299000000.0,-774000000.0,510000000.0,
Stock Based Compensation,529000000.0,482000000.0,400000000.0,467000000.0,
Provisionand Write Offof Assets,3973000000.0,6983000000.0,4536000000.0,544000000.0,
Depreciation And Amortization,4080000000.0,3466000000.0,3850000000.0,4286000000.0,
Depreciation,4080000000.0,3466000000.0,3850000000.0,4286000000.0,
Gain Loss On Investment Securities,180000000.0,1213000000.0,11000000.0,-647000000.0,
Net Foreign Currency Exchange Gain Loss,26734000000.0,-10678000000.0,48718000000.0,18937000000.0,
Gain Loss On Sale Of PPE,0.0,0.0,0.0,0.0,
Gain Loss On Sale Of Business,1704000000.0,-1775000000.0,2554000000.0,0.0,
Net Income From Continuing Operations,32309000000.0,30348000000.0,17058000000.0,18906000000.0,
