,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-373578000.0,-289174000.0,-294549000.0,-714492000.0,
Tax Rate For Calcs,0.226,0.191,0.047,0.223,
Total Unusual Items,-1653000000.0,-1514000000.0,-6267000000.0,-3204000000.0,
Total Unusual Items Excluding Goodwill,-1653000000.0,-1514000000.0,-6267000000.0,-3204000000.0,
Net Income From Continuing Operation Net Minority Interest,23979000000.0,23533000000.0,15559000000.0,13917000000.0,
Reconciled Depreciation,4080000000.0,3466000000.0,3850000000.0,4286000000.0,
Net Interest Income,32733000000.0,35796000000.0,30377000000.0,26489000000.0,
Interest Expense,75898000000.0,65072000000.0,22449000000.0,9699000000.0,
Interest Income,108631000000.0,100868000000.0,52826000000.0,36188000000.0,
Normalized Income,25335422000.0,24472826000.0,21678451000.0,16993508000.0,
Net Income From Continuing And Discontinued Operation,23979000000.0,23533000000.0,15559000000.0,13917000000.0,
Diluted Average Shares,18485000000.0,19600000000.0,19986000000.0,20302000000.0,
Basic Average Shares,18357000000.0,19478000000.0,19849000000.0,20197000000.0,
Diluted EPS,1.24,1.14,0.74,0.62,
Basic EPS,1.25,1.15,0.75,0.62,
Diluted NI Availto Com Stockholders,22917000000.0,22432000000.0,14346000000.0,12607000000.0,
Net Income Common Stockholders,22917000000.0,22432000000.0,14346000000.0,12607000000.0,
Otherunder Preferred Stock Dividend,1062000000.0,1101000000.0,1213000000.0,1303000000.0,
Preferred Stock Dividends,,,,7000000.0,90000000.0
Net Income,23979000000.0,23533000000.0,15559000000.0,13917000000.0,
Minority Interests,-1020000000.0,-1026000000.0,-690000000.0,-776000000.0,
Net Income Including Noncontrolling Interests,24999000000.0,24559000000.0,16249000000.0,14693000000.0,
Net Income Continuous Operations,24999000000.0,24559000000.0,16249000000.0,14693000000.0,
Tax Provision,7310000000.0,5789000000.0,809000000.0,4213000000.0,
Pretax Income,32309000000.0,30348000000.0,17058000000.0,18906000000.0,
Special Income Charges,-1653000000.0,-1514000000.0,-6267000000.0,-3204000000.0,
Other Special Charges,1542000000.0,526000000.0,2991000000.0,-113000000.0,
Write Off,0.0,3000000000.0,0.0,587000000.0,
Impairment Of Capital Assets,,,-4000000.0,,1049000000.0
Restructuring And Mergern Acquisition,34000000.0,-1727000000.0,3129000000.0,2143000000.0,
Gain On Sale Of Security,-2070000000.0,-3730000000.0,7906000000.0,1076000000.0,
Operating Expense,32932000000.0,31938000000.0,29533000000.0,46111000000.0,
Other Operating Expenses,-111000000.0,-132000000.0,-3168000000.0,-2310000000.0,
Depreciation And Amortization In Income Statement,4080000000.0,3467000000.0,3850000000.0,3699000000.0,
Amortization,2235000000.0,1827000000.0,1701000000.0,1438000000.0,
Depreciation Income Statement,1845000000.0,1640000000.0,2149000000.0,2261000000.0,
Selling General And Administration,10498000000.0,10383000000.0,10848000000.0,11592000000.0,
General And Administrative Expense,10498000000.0,10383000000.0,10848000000.0,11592000000.0,
Insurance And Claims,0.0,0.0,0.0,14388000000.0,
Total Revenue,67396000000.0,64440000000.0,53719000000.0,64247000000.0,
Operating Revenue,67396000000.0,64440000000.0,53719000000.0,64247000000.0,
