,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1116000.0,819000.0,1172000.0,506000.0,
Ordinary Shares Number,48542000.0,48653000.0,48300000.0,48856000.0,
Share Issued,49658000.0,49472000.0,49472000.0,49362000.0,
Net Debt,36100000.0,56539000.0,48129000.0,26269000.0,
Total Debt,64919000.0,87051000.0,85972000.0,79791000.0,
Tangible Book Value,5433000.0,-7765000.0,-8921000.0,-4807000.0,
Invested Capital,155461000.0,181257000.0,179147000.0,172183000.0,
Working Capital,52861000.0,66570000.0,64290000.0,59272000.0,
Net Tangible Assets,5433000.0,-7765000.0,-8921000.0,-4807000.0,
Capital Lease Obligations,5744000.0,7876000.0,7256000.0,6001000.0,
Common Stock Equity,96286000.0,102082000.0,100431000.0,98393000.0,
Total Capitalization,155461000.0,181257000.0,174847000.0,167883000.0,
Total Equity Gross Minority Interest,96286000.0,102082000.0,100431000.0,98393000.0,
Stockholders Equity,96286000.0,102082000.0,100431000.0,98393000.0,
Gains Losses Not Affecting Retained Earnings,-10053000.0,-8989000.0,-9677000.0,-6940000.0,
Treasury Stock,3996000.0,3959000.0,7487000.0,3871000.0,
Retained Earnings,-99864000.0,-102703000.0,-108747000.0,-128473000.0,
Additional Paid In Capital,210149000.0,217684000.0,226293000.0,237628000.0,
Capital Stock,50000.0,49000.0,49000.0,49000.0,
Common Stock,50000.0,49000.0,49000.0,49000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,108229000.0,145263000.0,142597000.0,138401000.0,
Total Non Current Liabilities Net Minority Interest,69809000.0,98989000.0,91406000.0,81563000.0,
Other Non Current Liabilities,5468000.0,12143000.0,9742000.0,5768000.0,
Non Current Deferred Liabilities,1750000.0,2384000.0,2391000.0,2824000.0,
Non Current Deferred Taxes Liabilities,1750000.0,2384000.0,2391000.0,2824000.0,
Long Term Debt And Capital Lease Obligation,62591000.0,84462000.0,79273000.0,72971000.0,
Long Term Capital Lease Obligation,3416000.0,5287000.0,4857000.0,3481000.0,
Long Term Debt,59175000.0,79175000.0,74416000.0,69490000.0,
Current Liabilities,38420000.0,46274000.0,51191000.0,56838000.0,
Other Current Liabilities,3956000.0,2422000.0,5090000.0,7957000.0,
Current Deferred Liabilities,10058000.0,9521000.0,7058000.0,7049000.0,
Current Deferred Revenue,10058000.0,9521000.0,7058000.0,7049000.0,
Current Debt And Capital Lease Obligation,2328000.0,2589000.0,6699000.0,6820000.0,
Current Capital Lease Obligation,2328000.0,2589000.0,2399000.0,2520000.0,
Current Debt,,,4300000.0,4300000.0,4300000.0
Other Current Borrowings,,,4300000.0,4300000.0,4300000.0
Payables And Accrued Expenses,22078000.0,31742000.0,32344000.0,35012000.0,
Current Accrued Expenses,12270000.0,19739000.0,14657000.0,10919000.0,
Payables,9808000.0,12003000.0,17687000.0,24093000.0,
Total Tax Payable,616000.0,701000.0,1762000.0,7931000.0,
Income Tax Payable,616000.0,701000.0,1762000.0,7931000.0,
Accounts Payable,9192000.0,11302000.0,15925000.0,16162000.0,
Total Assets,204515000.0,247345000.0,243028000.0,236794000.0,
Total Non Current Assets,113234000.0,134501000.0,127547000.0,120684000.0,
Other Non Current Assets,3752000.0,5960000.0,2668000.0,4701000.0,
Non Current Deferred Assets,6997000.0,4775000.0,2818000.0,2197000.0,
Non Current Deferred Taxes Assets,6997000.0,4775000.0,2818000.0,2197000.0,
Goodwill And Other Intangible Assets,90853000.0,109847000.0,109352000.0,103200000.0,
Other Intangible Assets,3560000.0,12615000.0,14380000.0,12410000.0,
Goodwill,87293000.0,97232000.0,94972000.0,90790000.0,
Net PPE,11632000.0,13919000.0,12709000.0,10586000.0,
Accumulated Depreciation,-15559000.0,-13305000.0,-11519000.0,-14749000.0,
Gross PPE,27191000.0,27224000.0,24228000.0,25335000.0,
Other Properties,5437000.0,7473000.0,6780000.0,5293000.0,
Machinery Furniture Equipment,21754000.0,19751000.0,17448000.0,20042000.0,
Current Assets,91281000.0,112844000.0,115481000.0,116110000.0,
Other Current Assets,9384000.0,8091000.0,4724000.0,4245000.0,
Prepaid Assets,,,,4245000.0,3412000.0
Receivables,58822000.0,82117000.0,80170000.0,64344000.0,
Other Receivables,18335000.0,30176000.0,32249000.0,18639000.0,
Duefrom Related Parties Current,9000.0,183000.0,310000.0,174000.0,
Accounts Receivable,40478000.0,51758000.0,47611000.0,45531000.0,
Allowance For Doubtful Accounts Receivable,-5047000.0,-5288000.0,,,
Gross Accounts Receivable,45525000.0,57046000.0,,,
Cash Cash Equivalents And Short Term Investments,23075000.0,22636000.0,30587000.0,47521000.0,
Cash And Cash Equivalents,23075000.0,22636000.0,30587000.0,47521000.0,
Cash Equivalents,,,,,17000.0
Cash Financial,,,,,43713000.0
