,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,17035000.0,8839000.0,7723000.0,39622000.0,
Repurchase Of Capital Stock,-5572000.0,-3497000.0,-12070000.0,-16331000.0,
Repayment Of Debt,-48000000.0,-84175000.0,-4300000.0,-4300000.0,
Issuance Of Debt,28000000.0,84175000.0,9000000.0,0.0,
Capital Expenditure,-2830000.0,-3433000.0,-3423000.0,-2320000.0,
Interest Paid Supplemental Data,5732000.0,5263000.0,2397000.0,1875000.0,
Income Tax Paid Supplemental Data,1718000.0,8239000.0,12516000.0,3582000.0,
End Cash Position,23158000.0,22809000.0,30670000.0,47609000.0,
Beginning Cash Position,22809000.0,30670000.0,47609000.0,43825000.0,
Effect Of Exchange Rate Changes,-602000.0,498000.0,-2271000.0,-1713000.0,
Changes In Cash,951000.0,-8359000.0,-14668000.0,5497000.0,
Financing Cash Flow,-37906000.0,-16198000.0,-18941000.0,-34125000.0,
Cash Flow From Continuing Financing Activities,-37906000.0,-16198000.0,-18941000.0,-34125000.0,
Net Other Financing Charges,-3735000.0,-4944000.0,-5054000.0,-9667000.0,
Proceeds From Stock Option Exercised,794000.0,930000.0,944000.0,610000.0,
Cash Dividends Paid,-9393000.0,-8687000.0,-7461000.0,-4437000.0,
Common Stock Dividend Paid,-9393000.0,-8687000.0,-7461000.0,-4437000.0,
Net Common Stock Issuance,-5572000.0,-3497000.0,-12070000.0,-16331000.0,
Common Stock Payments,-5572000.0,-3497000.0,-12070000.0,-16331000.0,
Net Issuance Payments Of Debt,-20000000.0,0.0,4700000.0,-4300000.0,
Net Long Term Debt Issuance,-20000000.0,0.0,4700000.0,-4300000.0,
Long Term Debt Payments,-48000000.0,-84175000.0,-4300000.0,-4300000.0,
Long Term Debt Issuance,28000000.0,84175000.0,9000000.0,0.0,
Investing Cash Flow,18992000.0,-4433000.0,-6873000.0,-2320000.0,
Cash Flow From Continuing Investing Activities,18992000.0,-4433000.0,-6873000.0,-2320000.0,
Net Business Purchase And Sale,21822000.0,-1000000.0,-3450000.0,0.0,
Sale Of Business,21822000.0,0.0,,,
Purchase Of Business,0.0,-1000000.0,-3450000.0,0.0,
Net PPE Purchase And Sale,-2830000.0,-3433000.0,-3423000.0,-2320000.0,
Purchase Of PPE,-2830000.0,-3433000.0,-3423000.0,-2320000.0,
Operating Cash Flow,19865000.0,12272000.0,11146000.0,41942000.0,
Cash Flow From Continuing Operating Activities,19865000.0,12272000.0,11146000.0,41942000.0,
Change In Working Capital,9880000.0,-13220000.0,-22955000.0,14357000.0,
Change In Other Working Capital,713000.0,1101000.0,-76000.0,1928000.0,
Change In Payables And Accrued Expense,-2936000.0,-1188000.0,-7942000.0,10024000.0,
Change In Accrued Expense,-1385000.0,3774000.0,-7243000.0,5521000.0,
Change In Payable,-1551000.0,-4962000.0,-699000.0,4503000.0,
Change In Account Payable,-1551000.0,-4962000.0,-699000.0,4503000.0,
Change In Prepaid Assets,5034000.0,-6471000.0,-948000.0,-243000.0,
Change In Receivables,7069000.0,-6662000.0,-13989000.0,2648000.0,
Other Non Cash Items,-2090000.0,342000.0,1760000.0,455000.0,
Stock Based Compensation,8046000.0,9132000.0,7460000.0,6467000.0,
Provisionand Write Offof Assets,1163000.0,5434000.0,320000.0,-138000.0,
Asset Impairment Charge,0.0,379000.0,0.0,0.0,
Deferred Tax,-1329000.0,-2207000.0,-533000.0,-59000.0,
Deferred Income Tax,-1329000.0,-2207000.0,-533000.0,-59000.0,
Depreciation Amortization Depletion,5888000.0,6258000.0,5368000.0,5331000.0,
Depreciation And Amortization,5888000.0,6258000.0,5368000.0,5331000.0,
Amortization Cash Flow,2606000.0,3164000.0,2323000.0,2643000.0,
Amortization Of Intangibles,2606000.0,3164000.0,2323000.0,2643000.0,
Depreciation,3282000.0,3094000.0,3045000.0,2688000.0,
Operating Gains Losses,-4532000.0,,,,
Gain Loss On Sale Of PPE,,,,,0.0
Gain Loss On Sale Of Business,-4532000.0,0.0,,,
Net Income From Continuing Operations,2839000.0,6154000.0,19726000.0,15529000.0,
