,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,950250.0,-47084.0,44370.0,14432.0
Tax Rate For Calcs,0.21,0.298,0.261,0.328
Normalized EBITDA,12427000.0,21367000.0,35037000.0,30740000.0
Total Unusual Items,4525000.0,-158000.0,170000.0,44000.0
Total Unusual Items Excluding Goodwill,4525000.0,-158000.0,170000.0,44000.0
Net Income From Continuing Operation Net Minority Interest,2839000.0,6154000.0,19726000.0,15529000.0
Reconciled Depreciation,5888000.0,6258000.0,5368000.0,5331000.0
Reconciled Cost Of Revenue,150306000.0,178913000.0,169650000.0,168475000.0
EBITDA,16952000.0,21209000.0,35207000.0,30784000.0
EBIT,11064000.0,14951000.0,29839000.0,25453000.0
Net Interest Income,-5055000.0,-5693000.0,-2968000.0,-2200000.0
Interest Expense,5837000.0,6190000.0,3157000.0,2342000.0
Interest Income,782000.0,497000.0,189000.0,142000.0
Normalized Income,-735750.0,6264916.0,19600370.0,15499432.0
Net Income From Continuing And Discontinued Operation,2839000.0,6154000.0,19726000.0,15529000.0
Total Expenses,241828000.0,276442000.0,256787000.0,252565000.0
Total Operating Income As Reported,5757000.0,14612000.0,29480000.0,25267000.0
Diluted Average Shares,50049000.0,50175000.0,50420000.0,51756000.0
Basic Average Shares,48785000.0,48609000.0,48175000.0,48638000.0
Diluted EPS,0.06,0.12,0.39,0.3
Basic EPS,0.06,0.13,0.41,0.32
Diluted NI Availto Com Stockholders,2839000.0,6154000.0,19726000.0,15529000.0
Net Income Common Stockholders,2839000.0,6154000.0,19726000.0,15529000.0
Net Income,2839000.0,6154000.0,19726000.0,15529000.0
Net Income Including Noncontrolling Interests,2839000.0,6154000.0,19726000.0,15529000.0
Net Income Continuous Operations,2839000.0,6154000.0,19726000.0,15529000.0
Tax Provision,2388000.0,2607000.0,6956000.0,7582000.0
Pretax Income,5227000.0,8761000.0,26682000.0,23111000.0
Other Income Expense,4525000.0,-158000.0,170000.0,44000.0
Special Income Charges,4532000.0,0.0,,
Gain On Sale Of Business,4532000.0,0.0,,
Gain On Sale Of Security,-7000.0,-158000.0,170000.0,44000.0
Net Non Operating Interest Income Expense,-5055000.0,-5693000.0,-2968000.0,-2200000.0
Interest Expense Non Operating,5837000.0,6190000.0,3157000.0,2342000.0
Interest Income Non Operating,782000.0,497000.0,189000.0,142000.0
Operating Income,5757000.0,14612000.0,29480000.0,25267000.0
Operating Expense,91522000.0,97529000.0,87137000.0,84090000.0
Depreciation Amortization Depletion Income Statement,5888000.0,6258000.0,5368000.0,5331000.0
Depreciation And Amortization In Income Statement,5888000.0,6258000.0,5368000.0,5331000.0
Selling General And Administration,85634000.0,91271000.0,81769000.0,78759000.0
Gross Profit,97279000.0,112141000.0,116617000.0,109357000.0
Cost Of Revenue,150306000.0,178913000.0,169650000.0,168475000.0
Total Revenue,247585000.0,291054000.0,286267000.0,277832000.0
Operating Revenue,247585000.0,291054000.0,286267000.0,277832000.0
