,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,125952303.0,61016318.0,0.0,0.0,
Ordinary Shares Number,60491060668.0,63508209344.0,67287852204.0,71022593135.0,
Share Issued,60617012971.0,63569225662.0,67287852204.0,71022593135.0,
Net Debt,24556000000.0,13926000000.0,,13802000000.0,33530000000.0
Total Debt,88522000000.0,93668000000.0,91835000000.0,91844000000.0,
Tangible Book Value,37528000000.0,38858000000.0,36052000000.0,46401000000.0,
Invested Capital,132977000000.0,139200000000.0,134185000000.0,143286000000.0,
Net Tangible Assets,37528000000.0,38858000000.0,36052000000.0,46401000000.0,
Common Stock Equity,45716000000.0,47164000000.0,43667000000.0,52917000000.0,
Total Capitalization,132977000000.0,139200000000.0,134185000000.0,143286000000.0,
Total Equity Gross Minority Interest,45888000000.0,47365000000.0,43911000000.0,53152000000.0,
Minority Interest,172000000.0,201000000.0,244000000.0,235000000.0,
Stockholders Equity,45716000000.0,47164000000.0,43667000000.0,52917000000.0,
Other Equity Interest,6195000000.0,6940000000.0,5297000000.0,5906000000.0,
Retained Earnings,5912000000.0,6790000000.0,6550000000.0,10241000000.0,
Additional Paid In Capital,24471000000.0,23938000000.0,23436000000.0,22958000000.0,
Capital Stock,6062000000.0,6358000000.0,6729000000.0,7102000000.0,
Common Stock,6062000000.0,6358000000.0,6729000000.0,7102000000.0,
Total Liabilities Net Minority Interest,860809000000.0,834088000000.0,829483000000.0,833373000000.0,
Preferred Securities Outside Stock Equity,413000000.0,466000000.0,470000000.0,2149000000.0,
Derivative Product Liabilities,21676000000.0,20149000000.0,24042000000.0,18060000000.0,
Long Term Debt And Capital Lease Obligation,88522000000.0,93668000000.0,91835000000.0,91844000000.0,
Payables,8728000000.0,6915000000.0,5526000000.0,5549000000.0,
Other Payable,8683000000.0,6876000000.0,5518000000.0,5543000000.0,
Total Tax Payable,45000000.0,39000000.0,8000000.0,6000000.0,
Total Assets,906697000000.0,881453000000.0,873394000000.0,886525000000.0,
Defined Pension Benefit,3028000000.0,3624000000.0,3823000000.0,4531000000.0,
Investments And Advances,242937000000.0,227153000000.0,238987000000.0,222237000000.0,
Investmentin Financial Assets,242395000000.0,226752000000.0,238602000000.0,221885000000.0,
Available For Sale Securities,45234000000.0,42947000000.0,33080000000.0,34972000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,168733000000.0,157247000000.0,180769000000.0,158023000000.0,
Trading Securities,4363000000.0,4202000000.0,2434000000.0,6839000000.0,
Long Term Equity Investment,542000000.0,401000000.0,385000000.0,352000000.0,
Investmentsin Joint Venturesat Cost,,,335000000.0,322000000.0,
Investmentsin Associatesat Cost,,,50000000.0,30000000.0,
Investment Properties,3281000000.0,2862000000.0,2532000000.0,3612000000.0,
Goodwill And Other Intangible Assets,8188000000.0,8306000000.0,7615000000.0,6516000000.0,
Other Intangible Assets,5440000000.0,5508000000.0,4960000000.0,4196000000.0,
Goodwill,2748000000.0,2798000000.0,2655000000.0,2320000000.0,
Net PPE,10116000000.0,9668000000.0,8128000000.0,7965000000.0,
Accumulated Depreciation,,,,,-5848000000.0
Gross PPE,10116000000.0,9668000000.0,8128000000.0,7965000000.0,
Other Properties,9016000000.0,8748000000.0,7257000000.0,7148000000.0,
Machinery Furniture Equipment,,,,,5107000000.0
Land And Improvements,1100000000.0,920000000.0,871000000.0,,983000000.0
Properties,,,871000000.0,817000000.0,885000000.0
Prepaid Assets,1634000000.0,1455000000.0,1224000000.0,1022000000.0,
Taxes Receivable,526000000.0,1183000000.0,612000000.0,363000000.0,
Cash And Cash Equivalents,62705000000.0,78110000000.0,92046000000.0,76567000000.0,
Cash Financial,62705000000.0,78110000000.0,91388000000.0,76420000000.0,
Cash Cash Equivalents And Federal Funds Sold,132647000000.0,134294000000.0,136911000000.0,131320000000.0,
