,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-10016000000.0,1355000000.0,18156000000.0,3530000000.0,
Repurchase Of Capital Stock,-2011000000.0,-1993000000.0,-2013000000.0,0.0,
Repayment Of Debt,-819000000.0,-1745000000.0,-2216000000.0,-1056000000.0,
Issuance Of Debt,812000000.0,1417000000.0,838000000.0,499000000.0,
Issuance Of Capital Stock,187000000.0,86000000.0,31000000.0,25000000.0,
Capital Expenditure,-5623000000.0,-5455000000.0,-3855000000.0,-3228000000.0,
End Cash Position,70816000000.0,88838000000.0,95829000000.0,79194000000.0,
Beginning Cash Position,88838000000.0,95829000000.0,79194000000.0,78145000000.0,
Effect Of Exchange Rate Changes,-7000000.0,-480000000.0,727000000.0,70000000.0,
Changes In Cash,-18015000000.0,-6511000000.0,15908000000.0,979000000.0,
Financing Cash Flow,-5931000000.0,-3500000000.0,-6613000000.0,-3234000000.0,
Net Other Financing Charges,-1567000000.0,1110000000.0,-1083000000.0,-429000000.0,
Interest Paid Cff,-622000000.0,-623000000.0,-603000000.0,-1303000000.0,
Cash Dividends Paid,-1828000000.0,-1651000000.0,-1475000000.0,-877000000.0,
Common Stock Dividend Paid,-1828000000.0,-1651000000.0,-1475000000.0,-877000000.0,
Net Common Stock Issuance,-1824000000.0,-1907000000.0,-1982000000.0,25000000.0,
Common Stock Payments,-2011000000.0,-1993000000.0,-2013000000.0,0.0,
Common Stock Issuance,187000000.0,86000000.0,31000000.0,25000000.0,
Net Issuance Payments Of Debt,-7000000.0,-328000000.0,-1378000000.0,-557000000.0,
Net Long Term Debt Issuance,-7000000.0,-328000000.0,-1378000000.0,-557000000.0,
Long Term Debt Payments,-819000000.0,-1745000000.0,-2216000000.0,-1056000000.0,
Long Term Debt Issuance,812000000.0,1417000000.0,838000000.0,499000000.0,
Investing Cash Flow,-7691000000.0,-9821000000.0,510000000.0,-2545000000.0,
Net Investment Purchase And Sale,-3456000000.0,-5013000000.0,3188000000.0,-697000000.0,
Sale Of Investment,7062000000.0,5298000000.0,11172000000.0,8287000000.0,
Purchase Of Investment,-10518000000.0,-10311000000.0,-7984000000.0,-8984000000.0,
Net Business Purchase And Sale,-179000000.0,-380000000.0,-373000000.0,-57000000.0,
Sale Of Business,0.0,0.0,36000000.0,0.0,
Purchase Of Business,-179000000.0,-380000000.0,-409000000.0,-57000000.0,
Net Intangibles Purchase And Sale,-1197000000.0,-1494000000.0,-1423000000.0,,
Sale Of Intangibles,62000000.0,0.0,0.0,,
Purchase Of Intangibles,-1259000000.0,-1494000000.0,-1423000000.0,,
Net PPE Purchase And Sale,-2859000000.0,-2934000000.0,-882000000.0,-1791000000.0,
Sale Of PPE,1505000000.0,1027000000.0,1550000000.0,1437000000.0,
Purchase Of PPE,-4364000000.0,-3961000000.0,-2432000000.0,-3228000000.0,
Capital Expenditure Reported,,,,,-2901000000.0
Operating Cash Flow,-4393000000.0,6810000000.0,22011000000.0,6758000000.0,
Taxes Refund Paid,-335000000.0,-1437000000.0,-743000000.0,-796000000.0,
Change In Working Capital,-16019000000.0,-4878000000.0,18216000000.0,1917000000.0,
Change In Other Current Liabilities,10958000000.0,5114000000.0,-2278000000.0,6156000000.0,
Change In Other Current Assets,-2621000000.0,9158000000.0,-15042000000.0,8775000000.0,
Other Non Cash Items,3403000000.0,4096000000.0,1327000000.0,403000000.0,
Provisionand Write Offof Assets,107000000.0,-155000000.0,916000000.0,-1079000000.0,
Depreciation And Amortization,3426000000.0,2905000000.0,2396000000.0,2825000000.0,
Depreciation,3426000000.0,2905000000.0,2396000000.0,2825000000.0,
Pension And Employee Benefit Expense,-11000000.0,-79000000.0,125000000.0,236000000.0,
Gain Loss On Investment Securities,-345000000.0,106000000.0,-1452000000.0,-1354000000.0,
Net Foreign Currency Exchange Gain Loss,1000000.0,502000000.0,-286000000.0,140000000.0,
Gain Loss On Sale Of PPE,-36000000.0,-61000000.0,-121000000.0,-268000000.0,
Net Income From Continuing Operations,5971000000.0,7503000000.0,4782000000.0,6902000000.0,
