,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-87573270.80891,-214558843.129415,-186278335.424509,3683714.865256,
Tax Rate For Calcs,0.250209,0.264561,0.179632,0.147349,
Total Unusual Items,-350000000.0,-811000000.0,-1037000000.0,25000000.0,
Total Unusual Items Excluding Goodwill,-350000000.0,-811000000.0,-1037000000.0,25000000.0,
Net Income From Continuing Operation Net Minority Interest,4421000000.0,5460000000.0,3827000000.0,5784000000.0,
Reconciled Depreciation,3426000000.0,2905000000.0,2396000000.0,2825000000.0,
Net Interest Income,12277000000.0,13298000000.0,12922000000.0,10872000000.0,
Interest Expense,19011000000.0,14753000000.0,4723000000.0,2386000000.0,
Interest Income,31288000000.0,28051000000.0,17645000000.0,13258000000.0,
Normalized Income,4683426729.19109,6056441156.870585,4677721664.575491,5762683714.865256,
Net Income From Continuing And Discontinued Operation,4421000000.0,5460000000.0,3827000000.0,5784000000.0,
Diluted Average Shares,63074000000.0,65760000000.0,69682000000.0,71785000000.0,
Basic Average Shares,62413000000.0,64953000000.0,68847000000.0,70937000000.0,
Diluted EPS,0.062,0.075,0.049,0.075,
Basic EPS,0.063,0.076,0.049,0.075,
Diluted NI Availto Com Stockholders,3923000000.0,4933000000.0,3389000000.0,5355000000.0,
Net Income Common Stockholders,3923000000.0,4933000000.0,3389000000.0,5355000000.0,
Otherunder Preferred Stock Dividend,498000000.0,527000000.0,438000000.0,429000000.0,
Net Income,4421000000.0,5460000000.0,3827000000.0,5784000000.0,
Minority Interests,-56000000.0,-58000000.0,-96000000.0,-101000000.0,
Net Income Including Noncontrolling Interests,4477000000.0,5518000000.0,3923000000.0,5885000000.0,
Net Income Continuous Operations,4477000000.0,5518000000.0,3923000000.0,5885000000.0,
Tax Provision,1494000000.0,1985000000.0,859000000.0,1017000000.0,
Pretax Income,5971000000.0,7503000000.0,4782000000.0,6902000000.0,
Special Income Charges,-417000000.0,-724000000.0,-526000000.0,-550000000.0,
Other Special Charges,59000000.0,93000000.0,197000000.0,249000000.0,
Write Off,-9000000.0,-10000000.0,22000000.0,2000000.0,
Restructuring And Mergern Acquisition,367000000.0,641000000.0,307000000.0,299000000.0,
Gain On Sale Of Security,16767000000.0,16434000000.0,-17272000000.0,15876000000.0,
Operating Expense,11766000000.0,10658000000.0,9255000000.0,10252000000.0,
Other Operating Expenses,3600000000.0,3391000000.0,2959000000.0,3829000000.0,
Depreciation And Amortization In Income Statement,3426000000.0,2905000000.0,2396000000.0,2825000000.0,
Amortization,1322000000.0,1128000000.0,925000000.0,986000000.0,
Depreciation Income Statement,2104000000.0,1777000000.0,1471000000.0,1839000000.0,
Selling General And Administration,,,435000000.0,371000000.0,376000000.0
Selling And Marketing Expense,,,170000000.0,161000000.0,187000000.0
General And Administrative Expense,,,265000000.0,210000000.0,189000000.0
Insurance And Claims,,,,21120000000.0,14041000000.0
Rent And Landing Fees,395000000.0,356000000.0,135000000.0,12000000.0,
Total Revenue,18603000000.0,19199000000.0,16050000000.0,16324000000.0,
Operating Revenue,18603000000.0,19199000000.0,16050000000.0,16324000000.0,
