,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,13301063.0,8811690.0,3797344.0,,0.0
Ordinary Shares Number,530272903.0,540030026.0,554446680.0,557360850.0,
Share Issued,543573966.0,548841716.0,558244024.0,557360850.0,
Net Debt,7198000000.0,6812000000.0,6161000000.0,6250000000.0,
Total Debt,9965000000.0,9699000000.0,8823000000.0,8369000000.0,
Tangible Book Value,-9957000000.0,-9340000000.0,-9070000000.0,-8084000000.0,
Invested Capital,32344000000.0,32870000000.0,34147000000.0,31294000000.0,
Working Capital,1507000000.0,1061000000.0,1322000000.0,2130000000.0,
Net Tangible Assets,-9957000000.0,-9340000000.0,-9070000000.0,-8084000000.0,
Capital Lease Obligations,634000000.0,636000000.0,672000000.0,715000000.0,
Common Stock Equity,23013000000.0,23807000000.0,25996000000.0,23640000000.0,
Total Capitalization,30892000000.0,30822000000.0,32852000000.0,31294000000.0,
Total Equity Gross Minority Interest,25153000000.0,25944000000.0,28151000000.0,25519000000.0,
Minority Interest,2140000000.0,2137000000.0,2155000000.0,1879000000.0,
Stockholders Equity,23013000000.0,23807000000.0,25996000000.0,23640000000.0,
Retained Earnings,1879000000.0,2917000000.0,3840000000.0,3816000000.0,
Additional Paid In Capital,978000000.0,978000000.0,978000000.0,978000000.0,
Capital Stock,38000000.0,38000000.0,39000000.0,39000000.0,
Common Stock,38000000.0,38000000.0,39000000.0,39000000.0,
Total Liabilities Net Minority Interest,707666000000.0,779066000000.0,807005000000.0,761590000000.0,
Total Non Current Liabilities Net Minority Interest,11131000000.0,10488000000.0,10536000000.0,10823000000.0,
Other Non Current Liabilities,7000000.0,21000000.0,38000000.0,,
Derivative Product Liabilities,63000000.0,22000000.0,87000000.0,45000000.0,
Non Current Pension And Other Postretirement Benefit Plans,64000000.0,79000000.0,64000000.0,85000000.0,
Tradeand Other Payables Non Current,517000000.0,580000000.0,649000000.0,512000000.0,
Non Current Deferred Revenue,68000000.0,72000000.0,89000000.0,101000000.0,
Non Current Deferred Taxes Liabilities,1995000000.0,2140000000.0,2200000000.0,1835000000.0,
Long Term Debt And Capital Lease Obligation,8373000000.0,7533000000.0,7389000000.0,8201000000.0,
Long Term Capital Lease Obligation,494000000.0,518000000.0,533000000.0,547000000.0,
Long Term Debt,7879000000.0,7015000000.0,6856000000.0,7654000000.0,
Long Term Provisions,44000000.0,41000000.0,58000000.0,44000000.0,
Current Liabilities,696535000000.0,768578000000.0,796469000000.0,750767000000.0,
Current Debt And Capital Lease Obligation,1592000000.0,2166000000.0,1434000000.0,168000000.0,
Current Capital Lease Obligation,140000000.0,118000000.0,139000000.0,168000000.0,
Current Debt,1452000000.0,2048000000.0,1295000000.0,0.0,
Current Provisions,17000000.0,18000000.0,29000000.0,16000000.0,
Payables,98940000000.0,112444000000.0,130324000000.0,102299000000.0,
Other Payable,98379000000.0,111907000000.0,129693000000.0,101853000000.0,
Total Tax Payable,238000000.0,279000000.0,218000000.0,187000000.0,
Accounts Payable,323000000.0,258000000.0,413000000.0,259000000.0,
Total Assets,732819000000.0,805010000000.0,835156000000.0,787109000000.0,
Total Non Current Assets,34777000000.0,35371000000.0,37365000000.0,34212000000.0,
Defined Pension Benefit,162000000.0,172000000.0,231000000.0,568000000.0,
Non Current Deferred Taxes Assets,659000000.0,664000000.0,622000000.0,508000000.0,
Financial Assets,63000000.0,94000000.0,12000000.0,2000000.0,
Investmentin Financial Assets,58000000.0,372000000.0,394000000.0,351000000.0,
Available For Sale Securities,58000000.0,372000000.0,394000000.0,351000000.0,
Long Term Equity Investment,9000000.0,28000000.0,34000000.0,25000000.0,
Investmentsin Associatesat Cost,9000000.0,28000000.0,34000000.0,25000000.0,
Investmentsin Subsidiariesat Cost,,,0.0,0.0,0.0
Goodwill And Other Intangible Assets,32970000000.0,33147000000.0,35066000000.0,31724000000.0,
Other Intangible Assets,13302000000.0,13901000000.0,15237000000.0,14238000000.0,
Goodwill,19668000000.0,19246000000.0,19829000000.0,17486000000.0,
Net PPE,681000000.0,716000000.0,797000000.0,832000000.0,
Accumulated Depreciation,-1141000000.0,-998000000.0,-747000000.0,-493000000.0,
Gross PPE,1822000000.0,1714000000.0,1544000000.0,1325000000.0,
Machinery Furniture Equipment,972000000.0,836000000.0,694000000.0,562000000.0,
Buildings And Improvements,836000000.0,861000000.0,797000000.0,708000000.0,
Land And Improvements,14000000.0,17000000.0,53000000.0,55000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,698042000000.0,769639000000.0,797791000000.0,752897000000.0,
Hedging Assets Current,50000000.0,11000000.0,36000000.0,25000000.0,
Assets Held For Sale Current,,,0.0,16000000.0,0.0
Restricted Cash,693822000000.0,764864000000.0,793879000000.0,750087000000.0,
Prepaid Assets,218000000.0,230000000.0,214000000.0,141000000.0,
Other Receivables,212000000.0,640000000.0,118000000.0,95000000.0,
Taxes Receivable,372000000.0,462000000.0,522000000.0,398000000.0,
Accounts Receivable,1231000000.0,1172000000.0,1020000000.0,720000000.0,
Allowance For Doubtful Accounts Receivable,-20000000.0,-13000000.0,-9000000.0,-7000000.0,
Gross Accounts Receivable,1251000000.0,1185000000.0,1029000000.0,727000000.0,
Cash Cash Equivalents And Short Term Investments,2133000000.0,2251000000.0,1990000000.0,1404000000.0,
Other Short Term Investments,,,,,92000000.0
Cash And Cash Equivalents,2133000000.0,2251000000.0,1990000000.0,1404000000.0,
