,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2388000000.0,1858000000.0,1771000000.0,1970000000.0,
Repurchase Of Capital Stock,-1052000000.0,-1235000000.0,-383000000.0,-55000000.0,
Repayment Of Debt,,-1261000000.0,-209000000.0,-11614000000.0,-228000000.0
Issuance Of Debt,1700000000.0,2389000000.0,0.0,6944000000.0,
Issuance Of Capital Stock,,,,,10000000.0
Capital Expenditure,-1008000000.0,-1084000000.0,-966000000.0,-632000000.0,
End Cash Position,3475000000.0,3580000000.0,3209000000.0,2665000000.0,
Other Cash Adjustment Outside Changein Cash,-1340000000.0,-599000000.0,,,
Beginning Cash Position,3580000000.0,3209000000.0,2665000000.0,1785000000.0,
Effect Of Exchange Rate Changes,-58000000.0,-116000000.0,184000000.0,-60000000.0,
Changes In Cash,1293000000.0,1086000000.0,360000000.0,940000000.0,
Financing Cash Flow,-824000000.0,-487000000.0,-1468000000.0,-5346000000.0,
Net Other Financing Charges,-599000000.0,-794000000.0,-77000000.0,18000000.0,
Cash Dividends Paid,-642000000.0,-611000000.0,-567000000.0,-426000000.0,
Common Stock Dividend Paid,-642000000.0,-611000000.0,-567000000.0,-426000000.0,
Net Common Stock Issuance,-1052000000.0,-1235000000.0,-383000000.0,-55000000.0,
Common Stock Payments,-1052000000.0,-1235000000.0,-383000000.0,-55000000.0,
Common Stock Issuance,,,,,10000000.0
Net Issuance Payments Of Debt,1700000000.0,2389000000.0,-209000000.0,-4670000000.0,
Net Short Term Debt Issuance,,,,,-224000000.0
Short Term Debt Payments,,,,,-228000000.0
Short Term Debt Issuance,,,,,4000000.0
Net Long Term Debt Issuance,1700000000.0,2389000000.0,-209000000.0,-4670000000.0,
Long Term Debt Payments,,-1261000000.0,-209000000.0,-11614000000.0,-228000000.0
Long Term Debt Issuance,1700000000.0,2389000000.0,0.0,6944000000.0,
Investing Cash Flow,-1279000000.0,-1369000000.0,-909000000.0,3684000000.0,
Net Other Investing Changes,,,-16000000.0,-32000000.0,5000000.0
Dividends Received Cfi,27000000.0,15000000.0,12000000.0,22000000.0,
Net Investment Purchase And Sale,360000000.0,223000000.0,-227000000.0,-28000000.0,
Sale Of Investment,,,,,2000000.0
Purchase Of Investment,-17000000.0,0.0,-227000000.0,-28000000.0,
Net Business Purchase And Sale,-658000000.0,-523000000.0,135000000.0,4354000000.0,
Sale Of Business,8000000.0,0.0,903000000.0,4354000000.0,
Purchase Of Business,-666000000.0,-523000000.0,-768000000.0,-163000000.0,
Net Intangibles Purchase And Sale,-934000000.0,-962000000.0,-773000000.0,-542000000.0,
Purchase Of Intangibles,-934000000.0,-962000000.0,-773000000.0,-542000000.0,
Net PPE Purchase And Sale,-74000000.0,-122000000.0,-40000000.0,-90000000.0,
Sale Of PPE,,0.0,153000000.0,0.0,
Purchase Of PPE,-74000000.0,-122000000.0,-193000000.0,-90000000.0,
Operating Cash Flow,3396000000.0,2942000000.0,2737000000.0,2602000000.0,
Taxes Refund Paid,-395000000.0,-217000000.0,-351000000.0,-390000000.0,
Interest Received Cfo,145000000.0,148000000.0,29000000.0,14000000.0,
Interest Paid Cfo,-325000000.0,-212000000.0,-171000000.0,-152000000.0,
Change In Working Capital,272000000.0,-707000000.0,-200000000.0,140000000.0,
Change In Other Current Liabilities,,-5331000000.0,-383000000.0,72408000000.0,44329000000.0
Change In Other Current Assets,,5677000000.0,709000000.0,-72668000000.0,-44139000000.0
Change In Payable,-245000000.0,-1000000.0,-119000000.0,-347000000.0,
Change In Receivables,517000000.0,-706000000.0,-407000000.0,747000000.0,
Other Non Cash Items,204000000.0,91000000.0,208000000.0,255000000.0,
Stock Based Compensation,162000000.0,143000000.0,158000000.0,141000000.0,
Provisionand Write Offof Assets,,,,,-32000000.0
Deferred Tax,337000000.0,247000000.0,262000000.0,302000000.0,
Depreciation And Amortization,2449000000.0,2143000000.0,1893000000.0,1570000000.0,
Amortization Cash Flow,2167000000.0,1857000000.0,1603000000.0,1289000000.0,
Depreciation,282000000.0,286000000.0,290000000.0,281000000.0,
Gain Loss On Investment Securities,-27000000.0,-15000000.0,-12000000.0,-22000000.0,
Net Foreign Currency Exchange Gain Loss,,17000000.0,38000000.0,112000000.0,56000000.0
Gain Loss On Sale Of PPE,,0.0,-133000000.0,0.0,1000000.0
Gain Loss On Sale Of Business,-8000000.0,0.0,,,
Net Income From Continuing Operations,921000000.0,948000000.0,979000000.0,592000000.0,
