,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-50384000.0,-54980753.138075,-49163000.0,-112892000.0,
Tax Rate For Calcs,0.268,0.206695,0.211,0.338,
Normalized EBITDA,4267000000.0,3888000000.0,3552000000.0,2996000000.0,
Total Unusual Items,-188000000.0,-266000000.0,-233000000.0,-334000000.0,
Total Unusual Items Excluding Goodwill,-188000000.0,-266000000.0,-233000000.0,-334000000.0,
Net Income From Continuing Operation Net Minority Interest,685000000.0,761000000.0,791000000.0,458000000.0,
Reconciled Depreciation,2449000000.0,2143000000.0,1893000000.0,1570000000.0,
Reconciled Cost Of Revenue,1173000000.0,1143000000.0,1064000000.0,859000000.0,
EBITDA,4079000000.0,3622000000.0,3319000000.0,2662000000.0,
EBIT,1597000000.0,1479000000.0,1419000000.0,1092000000.0,
Net Interest Income,-205000000.0,-143000000.0,-176000000.0,-171000000.0,
Interest Expense,339000000.0,284000000.0,178000000.0,198000000.0,
Interest Income,150000000.0,156000000.0,41000000.0,46000000.0,
Normalized Income,822616000.0,972019246.861925,974837000.0,679108000.0,
Net Income From Continuing And Discontinued Operation,685000000.0,761000000.0,1303000000.0,3129000000.0,
Total Expenses,7256000000.0,6718000000.0,6103000000.0,5164000000.0,
Rent Expense Supplemental,9000000.0,13000000.0,13000000.0,43000000.0,
Total Operating Income As Reported,1463000000.0,1371000000.0,1417000000.0,1065000000.0,
Diluted Average Shares,535000000.0,551000000.0,560000000.0,541000000.0,
Basic Average Shares,532000000.0,548000000.0,557000000.0,538000000.0,
Diluted EPS,1.28,1.381,2.325,5.781,
Basic EPS,1.288,1.389,2.338,5.817,
Diluted NI Availto Com Stockholders,685000000.0,761000000.0,1303000000.0,3129000000.0,
Net Income Common Stockholders,685000000.0,761000000.0,1303000000.0,3129000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,685000000.0,761000000.0,1303000000.0,3129000000.0,
Minority Interests,-236000000.0,-187000000.0,-189000000.0,-134000000.0,
Net Income Including Noncontrolling Interests,921000000.0,948000000.0,1491000000.0,3263000000.0,
Net Income Discontinuous Operations,,0.0,512000000.0,2671000000.0,133000000.0
Net Income Continuous Operations,921000000.0,948000000.0,979000000.0,592000000.0,
Tax Provision,337000000.0,247000000.0,262000000.0,302000000.0,
Pretax Income,1258000000.0,1195000000.0,1241000000.0,894000000.0,
Other Non Operating Income Expenses,,,,31000000.0,1000000.0
Special Income Charges,-179000000.0,-332000000.0,-256000000.0,-334000000.0,
Other Special Charges,-32000000.0,,-133000000.0,,
Impairment Of Capital Assets,,,,35000000.0,33000000.0
Restructuring And Mergern Acquisition,211000000.0,332000000.0,389000000.0,334000000.0,
Net Non Operating Interest Income Expense,-205000000.0,-143000000.0,-176000000.0,-171000000.0,
Total Other Finance Cost,16000000.0,15000000.0,39000000.0,19000000.0,
Interest Expense Non Operating,339000000.0,284000000.0,178000000.0,198000000.0,
Interest Income Non Operating,150000000.0,156000000.0,41000000.0,46000000.0,
Operating Income,1602000000.0,1661000000.0,1640000000.0,1371000000.0,
Operating Expense,6083000000.0,5575000000.0,5039000000.0,4305000000.0,
Other Operating Expenses,1366000000.0,1334000000.0,810000000.0,699000000.0,
Depreciation And Amortization In Income Statement,2482000000.0,2143000000.0,1900000000.0,1570000000.0,
Amortization,,,,1299000000.0,
Depreciation Income Statement,2482000000.0,2143000000.0,1900000000.0,1570000000.0,
Selling General And Administration,,404000000.0,420000000.0,327000000.0,55000000.0
General And Administrative Expense,,404000000.0,420000000.0,327000000.0,55000000.0
Rent And Landing Fees,9000000.0,13000000.0,13000000.0,43000000.0,
Gross Profit,7685000000.0,7236000000.0,6679000000.0,5676000000.0,
Cost Of Revenue,1173000000.0,1143000000.0,1064000000.0,859000000.0,
Total Revenue,8858000000.0,8379000000.0,7743000000.0,6535000000.0,
Operating Revenue,8858000000.0,8379000000.0,7743000000.0,6535000000.0,
