,2024-11-30,2023-11-30,2022-11-30,2021-11-30,2020-11-30
Ordinary Shares Number,334567187.0,334246859.0,333800000.0,332400000.0,
Share Issued,334567187.0,334246859.0,333800000.0,332400000.0,
Net Debt,109298000.0,90999000.0,59803000.0,24599000.0,
Total Debt,152452000.0,137549000.0,124629000.0,116131000.0,
Tangible Book Value,-47416000.0,-8223000.0,29903000.0,78282000.0,
Invested Capital,104106000.0,128525000.0,153588000.0,194005000.0,
Working Capital,98268000.0,123313000.0,147939000.0,165068000.0,
Net Tangible Assets,-47416000.0,-8223000.0,29903000.0,78282000.0,
Capital Lease Obligations,930000.0,801000.0,944000.0,408000.0,
Common Stock Equity,-47416000.0,-8223000.0,29903000.0,78282000.0,
Total Capitalization,104106000.0,128525000.0,153588000.0,194005000.0,
Total Equity Gross Minority Interest,-47416000.0,-8223000.0,29903000.0,78282000.0,
Stockholders Equity,-47416000.0,-8223000.0,29903000.0,78282000.0,
Gains Losses Not Affecting Retained Earnings,-25106000.0,-24471000.0,-24417000.0,-23289000.0,
Other Equity Adjustments,-25106000.0,-24471000.0,-24417000.0,-23289000.0,
Retained Earnings,-2104932000.0,-2059311000.0,-2012508000.0,-1959165000.0,
Additional Paid In Capital,93377000.0,88621000.0,82866000.0,82216000.0,
Capital Stock,1989245000.0,1986938000.0,1983962000.0,1978520000.0,
Common Stock,1989245000.0,1986938000.0,1983962000.0,1978520000.0,
Total Liabilities Net Minority Interest,157169000.0,141513000.0,129286000.0,120570000.0,
Total Non Current Liabilities Net Minority Interest,152683000.0,137607000.0,124687000.0,116187000.0,
Non Current Deferred Liabilities,,,,,0.0
Non Current Deferred Taxes Liabilities,,,,,0.0
Long Term Debt And Capital Lease Obligation,152283000.0,137357000.0,124487000.0,115907000.0,
Long Term Capital Lease Obligation,761000.0,609000.0,802000.0,184000.0,
Long Term Debt,151522000.0,136748000.0,123685000.0,115723000.0,
Long Term Provisions,400000.0,250000.0,200000.0,280000.0,
Current Liabilities,4486000.0,3906000.0,4599000.0,4383000.0,
Other Current Liabilities,,,,,182000.0
Current Debt And Capital Lease Obligation,169000.0,192000.0,142000.0,224000.0,
Current Capital Lease Obligation,169000.0,192000.0,142000.0,224000.0,
Current Provisions,244000.0,212000.0,1156000.0,840000.0,
Payables And Accrued Expenses,4073000.0,3502000.0,3301000.0,3319000.0,
Current Accrued Expenses,2482000.0,2799000.0,2532000.0,2637000.0,
Payables,1591000.0,703000.0,769000.0,682000.0,
Total Tax Payable,220000.0,0.0,,0.0,5000.0
Income Tax Payable,220000.0,0.0,,0.0,5000.0
Accounts Payable,1371000.0,703000.0,769000.0,682000.0,
Total Assets,109753000.0,133290000.0,159189000.0,198852000.0,
Total Non Current Assets,6999000.0,6071000.0,6651000.0,29401000.0,
Non Current Note Receivables,,,0.0,23572000.0,23405000.0
Investments And Advances,5984000.0,5173000.0,5693000.0,5406000.0,
Investmentin Financial Assets,3387000.0,2102000.0,1845000.0,1830000.0,
Available For Sale Securities,3387000.0,2102000.0,1845000.0,1830000.0,
Trading Securities,,2102000.0,1845000.0,1830000.0,1402000.0
Long Term Equity Investment,2597000.0,3071000.0,3848000.0,3576000.0,
Investmentsin Associatesat Cost,,,,,2614000.0
Investmentsin Subsidiariesat Cost,2597000.0,3071000.0,3848000.0,3576000.0,
Net PPE,1015000.0,898000.0,958000.0,423000.0,
Gross PPE,1015000.0,898000.0,958000.0,423000.0,
Other Properties,896000.0,757000.0,939000.0,396000.0,
Machinery Furniture Equipment,119000.0,141000.0,19000.0,27000.0,
Current Assets,102754000.0,127219000.0,152538000.0,169451000.0,
Prepaid Assets,1207000.0,1125000.0,1298000.0,25000.0,
Receivables,323000.0,345000.0,25358000.0,302000.0,
Duefrom Related Parties Current,212000.0,203000.0,574000.0,0.0,
Accrued Interest Receivable,89000.0,99000.0,62000.0,,
Notes Receivable,,0.0,24421000.0,0.0,72611000.0
Accounts Receivable,22000.0,43000.0,301000.0,302000.0,
Cash Cash Equivalents And Short Term Investments,101224000.0,125749000.0,125882000.0,169124000.0,
Other Short Term Investments,59000000.0,80000000.0,62000000.0,78000000.0,
Cash And Cash Equivalents,42224000.0,45749000.0,63882000.0,91124000.0,
