,2024-11-30,2023-11-30,2022-11-30,2021-11-30,2020-11-30
Tax Effect Of Unusual Items,565950.0,164220.0,784.0,-177120.0,
Tax Rate For Calcs,0.21,0.21,0.001,0.27,
Normalized EBITDA,-32818000.0,-34483000.0,-46198000.0,-33821000.0,
Total Unusual Items,2695000.0,782000.0,784000.0,-656000.0,
Total Unusual Items Excluding Goodwill,2695000.0,782000.0,784000.0,-656000.0,
Net Income From Continuing Operation Net Minority Interest,-45621000.0,-46803000.0,-53343000.0,-40536000.0,
Reconciled Depreciation,,,,938000.0,0.0
Reconciled Cost Of Revenue,22000.0,10000.0,7000.0,7000.0,
EBITDA,-30123000.0,-33701000.0,-45414000.0,-34477000.0,
EBIT,-30123000.0,-33701000.0,-45414000.0,-34477000.0,
Net Interest Income,-9396000.0,-7272000.0,-6371000.0,-5464000.0,
Interest Expense,14774000.0,13063000.0,7962000.0,5922000.0,
Interest Income,5378000.0,5791000.0,1591000.0,458000.0,
Normalized Income,-47750050.0,-47420780.0,-54126216.0,-40057120.0,
Net Income From Continuing And Discontinued Operation,-45621000.0,-46803000.0,-53343000.0,-40536000.0,
Total Expenses,25275000.0,21745000.0,19626000.0,17654000.0,
Total Operating Income As Reported,-37857000.0,-40312000.0,-48272000.0,-36835000.0,
Diluted Average Shares,334458000.0,334057000.0,333236000.0,331546000.0,
Basic Average Shares,334458000.0,334057000.0,333236000.0,331546000.0,
Diluted EPS,-0.14,-0.14,-0.16,-0.12,
Basic EPS,-0.14,-0.14,-0.16,-0.12,
Diluted NI Availto Com Stockholders,-45621000.0,-46803000.0,-53343000.0,-40536000.0,
Net Income Common Stockholders,-45621000.0,-46803000.0,-53343000.0,-40536000.0,
Net Income,-45621000.0,-46803000.0,-53343000.0,-40536000.0,
Net Income Including Noncontrolling Interests,-45621000.0,-46803000.0,-53343000.0,-40536000.0,
Net Income Discontinuous Operations,,,,,0.0
Net Income Continuous Operations,-45621000.0,-46803000.0,-53343000.0,-40536000.0,
Tax Provision,724000.0,39000.0,-33000.0,137000.0,
Pretax Income,-44897000.0,-46764000.0,-53376000.0,-40399000.0,
Other Income Expense,-10226000.0,-17747000.0,-27379000.0,-17281000.0,
Other Non Operating Income Expenses,,,,200000.0,3337000.0
Special Income Charges,743000.0,556000.0,0.0,-738000.0,
Gain On Sale Of Ppe,743000.0,556000.0,0.0,200000.0,
Restructuring And Mergern Acquisition,,541000.0,366000.0,938000.0,0.0
Earnings From Equity Interest,-12921000.0,-18529000.0,-28163000.0,-16625000.0,
Gain On Sale Of Security,1952000.0,226000.0,784000.0,82000.0,
Net Non Operating Interest Income Expense,-9396000.0,-7272000.0,-6371000.0,-5464000.0,
Interest Expense Non Operating,14774000.0,13063000.0,7962000.0,5922000.0,
Interest Income Non Operating,5378000.0,5791000.0,1591000.0,458000.0,
Operating Income,-25275000.0,-21745000.0,-19626000.0,-17654000.0,
Operating Expense,25253000.0,21735000.0,19619000.0,17647000.0,
Other Operating Expenses,339000.0,-38000.0,-483000.0,-2556000.0,
Selling General And Administration,24914000.0,21773000.0,20102000.0,20203000.0,
General And Administrative Expense,24914000.0,21773000.0,20102000.0,20203000.0,
Other Gand A,9719000.0,6033000.0,5178000.0,5369000.0,
Salaries And Wages,15195000.0,15740000.0,14924000.0,14834000.0,
Gross Profit,-22000.0,-10000.0,-7000.0,-7000.0,
Cost Of Revenue,22000.0,10000.0,7000.0,7000.0,
Total Revenue,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,
