,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,288729591.0,199174260.0,127011084.0,168013587.0,
Preferred Shares Number,,483140.0,,483000.0,910130.0
Ordinary Shares Number,8042415284.0,8792562716.0,9659012839.0,10466857143.0,
Share Issued,8331144875.0,8991736976.0,9786023923.0,10634870730.0,
Total Debt,65922000000.0,60074000000.0,55316000000.0,58331000000.0,
Tangible Book Value,31762000000.0,29543000000.0,29372000000.0,35073000000.0,
Invested Capital,104642000000.0,96561000000.0,90686000000.0,98864000000.0,
Net Tangible Assets,31762000000.0,29543000000.0,29372000000.0,35073000000.0,
Common Stock Equity,39350000000.0,37157000000.0,36488000000.0,41796000000.0,
Total Capitalization,104642000000.0,96561000000.0,90686000000.0,98864000000.0,
Total Equity Gross Minority Interest,39378000000.0,37188000000.0,36496000000.0,41803000000.0,
Minority Interest,28000000.0,31000000.0,8000000.0,7000000.0,
Stockholders Equity,39350000000.0,37157000000.0,36488000000.0,41796000000.0,
Other Equity Interest,5280000000.0,3890000000.0,3890000000.0,3890000000.0,
Treasury Stock,,,258000000.0,371000000.0,24000000.0
Retained Earnings,11426000000.0,10645000000.0,10019000000.0,12966000000.0,
Additional Paid In Capital,,,2812000000.0,1883000000.0,1111000000.0
Capital Stock,10133000000.0,10844000000.0,11700000000.0,11468000000.0,
Common Stock,10133000000.0,10844000000.0,11700000000.0,11468000000.0,
Total Liabilities Net Minority Interest,668607000000.0,655485000000.0,683557000000.0,740189000000.0,
Preferred Securities Outside Stock Equity,119000000.0,119000000.0,119000000.0,119000000.0,
Derivative Product Liabilities,72082000000.0,72395000000.0,94047000000.0,100835000000.0,
Long Term Debt And Capital Lease Obligation,65922000000.0,60074000000.0,55316000000.0,58331000000.0,
Payables,263000000.0,332000000.0,55000000.0,12000000.0,
Total Tax Payable,263000000.0,332000000.0,55000000.0,12000000.0,
Total Assets,707985000000.0,692673000000.0,720053000000.0,781992000000.0,
Defined Pension Benefit,190000000.0,201000000.0,318000000.0,602000000.0,
Investments And Advances,142662000000.0,133864000000.0,138149000000.0,166209000000.0,
Investmentin Financial Assets,141972000000.0,133196000000.0,137461000000.0,165493000000.0,
Available For Sale Securities,49688000000.0,42338000000.0,27994000000.0,34399000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,,317000000.0,440000000.0
Trading Securities,13878000000.0,11954000000.0,9922000000.0,24955000000.0,
Long Term Equity Investment,690000000.0,668000000.0,688000000.0,716000000.0,
Investmentsin Associatesat Cost,690000000.0,668000000.0,688000000.0,716000000.0,
Goodwill And Other Intangible Assets,7588000000.0,7614000000.0,7116000000.0,6723000000.0,
Other Intangible Assets,1913000000.0,1934000000.0,1594000000.0,1201000000.0,
Goodwill,5675000000.0,5680000000.0,5522000000.0,5522000000.0,
Net PPE,3967000000.0,4227000000.0,4240000000.0,4230000000.0,
Gross PPE,3967000000.0,4227000000.0,4240000000.0,4230000000.0,
Other Properties,3967000000.0,4227000000.0,4240000000.0,4230000000.0,
Prepaid Assets,,350000000.0,340000000.0,360000000.0,328000000.0
Receivables,,292000000.0,327000000.0,248000000.0,216000000.0
Taxes Receivable,7000000.0,49000000.0,279000000.0,190000000.0,
Cash And Cash Equivalents,93053000000.0,104517000000.0,145061000000.0,177824000000.0,
Cash Financial,92994000000.0,104262000000.0,144832000000.0,177757000000.0,
Cash Cash Equivalents And Federal Funds Sold,168581000000.0,164102000000.0,189248000000.0,236274000000.0,
