,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,694000000.0,-18993000000.0,-44979000000.0,52304000000.0,
Repurchase Of Capital Stock,-2716000000.0,-2416000000.0,-2054000000.0,-1806000000.0,
Repayment Of Debt,-3853000000.0,-5486000000.0,-8685000000.0,-4765000000.0,
Issuance Of Debt,6437000000.0,4584000000.0,4369000000.0,5017000000.0,
Issuance Of Capital Stock,1390000000.0,0.0,0.0,937000000.0,
Capital Expenditure,-1078000000.0,-1555000000.0,-1382000000.0,-1380000000.0,
End Cash Position,104845000000.0,118824000000.0,158449000000.0,190706000000.0,
Beginning Cash Position,118824000000.0,158449000000.0,190706000000.0,139199000000.0,
Effect Of Exchange Rate Changes,-1166000000.0,-1189000000.0,2933000000.0,-2641000000.0,
Changes In Cash,-12813000000.0,-38436000000.0,-35190000000.0,54148000000.0,
Financing Cash Flow,-1886000000.0,-6304000000.0,-10652000000.0,-2601000000.0,
Interest Paid Cff,-1344000000.0,-1283000000.0,-1077000000.0,-968000000.0,
Cash Dividends Paid,-1800000000.0,-1703000000.0,-3205000000.0,-1016000000.0,
Common Stock Dividend Paid,-1800000000.0,-1703000000.0,-3205000000.0,-1016000000.0,
Net Common Stock Issuance,-1326000000.0,-2416000000.0,-2054000000.0,-869000000.0,
Common Stock Payments,-2716000000.0,-2416000000.0,-2054000000.0,-1806000000.0,
Common Stock Issuance,1390000000.0,0.0,0.0,937000000.0,
Net Issuance Payments Of Debt,2584000000.0,-902000000.0,-4316000000.0,252000000.0,
Net Long Term Debt Issuance,2584000000.0,-902000000.0,-4316000000.0,252000000.0,
Long Term Debt Payments,-3853000000.0,-5486000000.0,-8685000000.0,-4765000000.0,
Long Term Debt Issuance,6437000000.0,4584000000.0,4369000000.0,5017000000.0,
Investing Cash Flow,-12699000000.0,-14694000000.0,19059000000.0,3065000000.0,
Net Other Investing Changes,1829000000.0,1099000000.0,659000000.0,581000000.0,
Interest Received Cfi,,,659000000.0,581000000.0,518000000.0
Dividends Received Cfi,1000000.0,16000000.0,0.0,0.0,
Net Investment Purchase And Sale,-12343000000.0,-19711000000.0,13465000000.0,6709000000.0,
Sale Of Investment,41618000000.0,25195000000.0,36975000000.0,16859000000.0,
Purchase Of Investment,-53961000000.0,-44906000000.0,-23510000000.0,-10150000000.0,
Net Business Purchase And Sale,-1306000000.0,5329000000.0,6163000000.0,-3010000000.0,
Sale Of Business,995000000.0,5473000000.0,6164000000.0,169000000.0,
Purchase Of Business,-2301000000.0,-144000000.0,-1000000.0,-3179000000.0,
Net Intangibles Purchase And Sale,-614000000.0,-744000000.0,-743000000.0,-479000000.0,
Purchase Of Intangibles,-614000000.0,-744000000.0,-743000000.0,-479000000.0,
Net PPE Purchase And Sale,-266000000.0,-683000000.0,-485000000.0,-736000000.0,
Sale Of PPE,198000000.0,128000000.0,154000000.0,165000000.0,
Purchase Of PPE,-464000000.0,-811000000.0,-639000000.0,-901000000.0,
Operating Cash Flow,1772000000.0,-17438000000.0,-43597000000.0,53684000000.0,
Taxes Refund Paid,-1602000000.0,-1033000000.0,-1223000000.0,-856000000.0,
Change In Working Capital,-7267000000.0,-25679000000.0,-48447000000.0,46606000000.0,
Change In Other Current Liabilities,-5820000000.0,3826000000.0,-1350000000.0,-1813000000.0,
Change In Other Current Assets,5385000000.0,-4460000000.0,-4803000000.0,-8916000000.0,
Other Non Cash Items,-1017000000.0,-7000000.0,727000000.0,718000000.0,
Provisionand Write Offof Assets,689000000.0,885000000.0,514000000.0,-857000000.0,
Depreciation And Amortization,1058000000.0,934000000.0,833000000.0,923000000.0,
Depreciation,1058000000.0,934000000.0,833000000.0,923000000.0,
Pension And Employee Benefit Expense,86000000.0,122000000.0,205000000.0,215000000.0,
Gain Loss On Investment Securities,1989000000.0,1312000000.0,-1265000000.0,409000000.0,
Net Foreign Currency Exchange Gain Loss,1602000000.0,-172000000.0,5000000.0,2456000000.0,
Gain Loss On Sale Of PPE,-23000000.0,125000000.0,154000000.0,23000000.0,
Gain Loss On Sale Of Business,,0.0,0.0,-48000000.0,16000000.0
Net Income From Continuing Operations,6276000000.0,6066000000.0,4870000000.0,4311000000.0,
