,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-62568000.0,-86536000.0,-136891075.604053,-175602000.0,
Tax Rate For Calcs,0.237,0.232,0.248441,0.259,
Total Unusual Items,-264000000.0,-373000000.0,-551000000.0,-678000000.0,
Total Unusual Items Excluding Goodwill,-264000000.0,-373000000.0,-551000000.0,-678000000.0,
Net Income From Continuing Operation Net Minority Interest,4721000000.0,4748000000.0,3851000000.0,2804000000.0,
Reconciled Depreciation,1058000000.0,934000000.0,833000000.0,923000000.0,
Net Interest Income,11275000000.0,11049000000.0,9842000000.0,7535000000.0,
Interest Expense,13912000000.0,9977000000.0,2795000000.0,1699000000.0,
Interest Income,25187000000.0,21026000000.0,12637000000.0,9234000000.0,
Normalized Income,4922432000.0,5034464000.0,4265108924.395947,3391398000.0,
Net Income From Continuing And Discontinued Operation,4802000000.0,4636000000.0,3589000000.0,3268000000.0,
Diluted Average Shares,4258000000.0,4605870021.0,4970238095.0,5413608131.0,
Basic Average Shares,4225000000.0,4586638831.0,4940828402.0,5392294713.0,
Diluted EPS,1.062,0.954,0.672,0.544923,
Basic EPS,1.07,0.958,0.676,0.547077,
Diluted NI Availto Com Stockholders,4519000000.0,4394000000.0,3340000000.0,2950000000.0,
Net Income Common Stockholders,4519000000.0,4394000000.0,3340000000.0,2950000000.0,
Otherunder Preferred Stock Dividend,283000000.0,242000000.0,249000000.0,299000000.0,
Preferred Stock Dividends,,,,19000000.0,26000000.0
Net Income,4802000000.0,4636000000.0,3589000000.0,3268000000.0,
Minority Interests,-9000000.0,4000000.0,-6000000.0,-44000000.0,
Net Income Including Noncontrolling Interests,4811000000.0,4632000000.0,3595000000.0,3312000000.0,
Net Income Discontinuous Operations,81000000.0,-112000000.0,-262000000.0,464000000.0,
Net Income Continuous Operations,4730000000.0,4744000000.0,3857000000.0,2848000000.0,
Tax Provision,1465000000.0,1434000000.0,1275000000.0,996000000.0,
Pretax Income,6195000000.0,6178000000.0,5132000000.0,3844000000.0,
Special Income Charges,-264000000.0,-373000000.0,-551000000.0,-678000000.0,
Other Special Charges,264000000.0,373000000.0,551000000.0,593000000.0,
Write Off,,,,,9000000.0
Impairment Of Capital Assets,,,,,9000000.0
Restructuring And Mergern Acquisition,,,,,1013000000.0
Gain On Sale Of Security,-85000000.0,-150000000.0,-169000000.0,105000000.0,
Operating Expense,7854000000.0,7641000000.0,7302000000.0,7207000000.0,
Other Operating Expenses,142000000.0,109000000.0,101000000.0,99000000.0,
Depreciation And Amortization In Income Statement,1058000000.0,934000000.0,833000000.0,838000000.0,
Depreciation Income Statement,1058000000.0,934000000.0,833000000.0,838000000.0,
Selling General And Administration,1446000000.0,1606000000.0,1585000000.0,1461000000.0,
General And Administrative Expense,1446000000.0,1606000000.0,1585000000.0,1461000000.0,
Rent And Landing Fees,1211000000.0,1153000000.0,1112000000.0,1133000000.0,
Total Revenue,14653000000.0,14779000000.0,13352000000.0,10340000000.0,
Operating Revenue,14653000000.0,14779000000.0,13352000000.0,10340000000.0,
