Metric,Value
address1,Gogarburn
address2,175 Glasgow Road PO Box 1000
city,Edinburgh
zip,EH12 1HQ
country,United Kingdom
phone,44 345 7888444
website,https://www.natwestgroup.com
industry,Banks - Regional
industryKey,banks-regional
industryDisp,Banks - Regional
sector,Financial Services
sectorKey,financial-services
sectorDisp,Financial Services
longBusinessSummary,"NatWest Group plc, together with its subsidiaries, provides banking and financial products and services in the United Kingdom and internationally. It operates through Retail Banking, Private Banking, Commercial & Institutional segments. The Retail Banking segment offers a range of banking products and related financial services, such as current accounts, mortgages, personal unsecured lending, and personal deposits, as well as mobile and online banking services. The Private Banking segment provides banking, lending, and wealth management products for high-net-worth individuals and their business interests. The Commercial & Institutional segment consists of customer businesses under business banking, commercial mid-market, and corporates and institutions; and offers banking operations services in the Channel Islands, Isle of Man, Gibraltar, and Luxembourg, as well as products and solutions for businesses comprising start-ups, corporates, and large institutions. The company was formerly known as The Royal Bank of Scotland Group plc and changed its name to NatWest Group plc in July 2020. NatWest Group plc was founded in 1727 and is headquartered in Edinburgh, the United Kingdom."
fullTimeEmployees,59400
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. John-Paul  Thwaite', 'age': 53, 'title': 'Group CEO & Executive Director', 'yearBorn': 1971, 'fiscalYear': 2024, 'totalPay': 3048295, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Katie  Murray CA', 'age': 55, 'title': 'Group CFO & Executive Director', 'yearBorn': 1969, 'fiscalYear': 2024, 'totalPay': 2070152, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Jennifer Louise Tippin', 'age': 51, 'title': 'Group Chief Operating Officer', 'yearBorn': 1973, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Richard John Fisher', 'age': 51, 'title': 'Chief Accountant', 'yearBorn': 1973, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Scott  Marcar', 'title': 'Group Chief Information Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Claire  Kane C.F.A.', 'title': 'Director of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stephen  Blackman', 'title': 'Principal Economist, Strategy & Corporate Development', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stephen  Boyle', 'title': 'Chief Economist', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Fiona  Davis', 'title': 'Chief Financial Officer of Retail, Wealth & Ulster', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Robert Charles Waugh', 'title': 'Chief Investment Officer of Group Pension Fund', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
compensationAsOfEpochDate,1735603200
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,13.01
open,13.36
dayLow,13.3149
dayHigh,13.455
regularMarketPreviousClose,13.01
regularMarketOpen,13.36
regularMarketDayLow,13.3149
regularMarketDayHigh,13.455
dividendRate,0.54
dividendYield,3.85
exDividendDate,1741910400
payoutRatio,0.3668
beta,0.98
trailingPE,8.560509
forwardPE,11.789474
volume,5279043
regularMarketVolume,5279043
averageVolume,5290931
averageVolume10days,5524160
averageDailyVolume10Day,5524160
bid,13.41
ask,13.43
bidSize,168
askSize,186
marketCap,54353776640
fiftyTwoWeekLow,8.08
fiftyTwoWeekHigh,14.55
priceToSalesTrailing12Months,3.6842523
fiftyDayAverage,13.681
twoHundredDayAverage,11.3342
trailingAnnualDividendRate,0.215
trailingAnnualDividendYield,0.01652575
currency,USD
tradeable,False
enterpriseValue,-11814949888
profitMargins,0.35017
floatShares,7978666350
sharesOutstanding,4044179968
sharesShort,1631676
sharesShortPriorMonth,6354242
sharesShortPreviousMonthDate,1747267200
dateShortInterest,1749772800
sharesPercentSharesOut,0.0004
heldPercentInsiders,0.0
heldPercentInstitutions,0.03936
shortRatio,0.33
shortPercentOfFloat,0.0004
impliedSharesOutstanding,4158970112
bookValue,5.156
priceToBook,2.6066716
lastFiscalYearEnd,1735603200
nextFiscalYearEnd,1767139200
mostRecentQuarter,1743379200
earningsQuarterlyGrowth,0.372
netIncomeToCommon,4768000000
trailingEps,1.57
forwardEps,1.14
lastSplitFactor,928:1000
lastSplitDate,1661817600
enterpriseToRevenue,-0.801
52WeekChange,0.56097555
SandP52WeekChange,0.12677538
lastDividendValue,0.39
lastDividendDate,1741910400
quoteType,EQUITY
currentPrice,13.44
targetHighPrice,14.09
targetLowPrice,13.0
targetMeanPrice,13.545
targetMedianPrice,13.545
recommendationMean,2.0
recommendationKey,buy
numberOfAnalystOpinions,2
totalCash,252343992320
totalCashPerShare,31.281
totalDebt,126364999680
totalRevenue,14753000448
revenuePerShare,3.562
returnOnAssets,0.00722
returnOnEquity,0.12781
grossProfits,14753000448
earningsGrowth,0.481
revenueGrowth,0.121
grossMargins,0.0
ebitdaMargins,0.0
operatingMargins,0.48958
financialCurrency,GBP
symbol,NWG
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Nasdaq Real Time Price
triggerable,True
customPriceAlertConfidence,HIGH
marketState,CLOSED
hasPrePostMarketData,True
firstTradeDateMilliseconds,1192714200000
messageBoardId,finmb_563937
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
corporateActions,[]
postMarketTime,1751575508
regularMarketTime,1751562002
exchange,NYQ
averageAnalystRating,2.0 - Buy
cryptoTradeable,False
postMarketChangePercent,-1.41369
postMarketPrice,13.25
postMarketChange,-0.19
regularMarketChange,0.429999
regularMarketDayRange,13.3149 - 13.455
fullExchangeName,NYSE
averageDailyVolume3Month,5290931
fiftyTwoWeekLowChange,5.3599997
fiftyTwoWeekLowChangePercent,0.6633663
fiftyTwoWeekRange,8.08 - 14.55
fiftyTwoWeekHighChange,-1.1100006
fiftyTwoWeekHighChangePercent,-0.0762887
fiftyTwoWeekChangePercent,56.097557
dividendDate,1745798400
earningsTimestamp,1753441140
earningsTimestampStart,1753441140
earningsTimestampEnd,1753441140
earningsCallTimestampStart,1746174600
earningsCallTimestampEnd,1746174600
isEarningsDateEstimate,False
epsTrailingTwelveMonths,1.57
epsForward,1.14
fiftyDayAverageChange,-0.24100018
fiftyDayAverageChangePercent,-0.017615685
twoHundredDayAverageChange,2.1057997
twoHundredDayAverageChangePercent,0.18579164
sourceInterval,15
exchangeDataDelayedBy,0
shortName,NatWest Group plc
longName,NatWest Group plc
regularMarketChangePercent,3.30515
regularMarketPrice,13.44
displayName,NatWest
trailingPegRatio,
