,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,24902824.0,25375722.0,25353468.0,55536243.0,
Ordinary Shares Number,1855941895.0,1881531883.0,1909526620.0,1929425389.0,
Share Issued,1880844719.0,1906907605.0,1934880088.0,1984961632.0,
Net Debt,6322000000.0,6201000000.0,6214000000.0,5846000000.0,
Total Debt,6544000000.0,6497000000.0,6730000000.0,6167000000.0,
Tangible Book Value,-7899000000.0,-7801000000.0,-8136000000.0,-7438000000.0,
Invested Capital,9922000000.0,9816000000.0,10324000000.0,3232000000.0,
Working Capital,-2722000000.0,-2616000000.0,-2118000000.0,-1391000000.0,
Net Tangible Assets,-7899000000.0,-7801000000.0,-8136000000.0,-7438000000.0,
Capital Lease Obligations,103000000.0,141000000.0,182000000.0,208000000.0,
Common Stock Equity,3481000000.0,3460000000.0,3776000000.0,3232000000.0,
Total Capitalization,8548000000.0,8560000000.0,9521000000.0,3232000000.0,
Total Equity Gross Minority Interest,3504000000.0,3439000000.0,3754000000.0,3224000000.0,
Minority Interest,23000000.0,-21000000.0,-22000000.0,-8000000.0,
Stockholders Equity,3481000000.0,3460000000.0,3776000000.0,3232000000.0,
Treasury Stock,722000000.0,553000000.0,414000000.0,876000000.0,
Additional Paid In Capital,1605000000.0,1558000000.0,1517000000.0,1491000000.0,
Capital Stock,272000000.0,275000000.0,279000000.0,286000000.0,
Common Stock,272000000.0,275000000.0,279000000.0,286000000.0,
Total Liabilities Net Minority Interest,11629000000.0,11478000000.0,12075000000.0,10634000000.0,
Total Non Current Liabilities Net Minority Interest,5911000000.0,5988000000.0,6888000000.0,6886000000.0,
Derivative Product Liabilities,126000000.0,131000000.0,236000000.0,12000000.0,
Non Current Pension And Other Postretirement Benefit Plans,165000000.0,182000000.0,184000000.0,315000000.0,
Tradeand Other Payables Non Current,13000000.0,11000000.0,3000000.0,10000000.0,
Non Current Deferred Taxes Liabilities,473000000.0,473000000.0,590000000.0,591000000.0,
Long Term Debt And Capital Lease Obligation,5132000000.0,5184000000.0,5860000000.0,5935000000.0,
Long Term Capital Lease Obligation,65000000.0,84000000.0,115000000.0,139000000.0,
Long Term Debt,5067000000.0,5100000000.0,5745000000.0,5796000000.0,
Long Term Provisions,2000000.0,7000000.0,15000000.0,23000000.0,
Current Liabilities,5718000000.0,5490000000.0,5187000000.0,3748000000.0,
Current Debt And Capital Lease Obligation,1412000000.0,1313000000.0,870000000.0,232000000.0,
Current Capital Lease Obligation,38000000.0,57000000.0,67000000.0,69000000.0,
Current Debt,1374000000.0,1256000000.0,803000000.0,163000000.0,
Current Provisions,6000000.0,13000000.0,18000000.0,47000000.0,
Payables,1062000000.0,995000000.0,1054000000.0,793000000.0,
Other Payable,539000000.0,487000000.0,517000000.0,351000000.0,
Total Tax Payable,300000000.0,337000000.0,408000000.0,333000000.0,
Accounts Payable,223000000.0,171000000.0,129000000.0,109000000.0,
Total Assets,15133000000.0,14917000000.0,15829000000.0,13858000000.0,
Total Non Current Assets,12137000000.0,12043000000.0,12760000000.0,11501000000.0,
Defined Pension Benefit,186000000.0,119000000.0,129000000.0,46000000.0,
Non Current Deferred Taxes Assets,84000000.0,128000000.0,146000000.0,210000000.0,
Financial Assets,39000000.0,47000000.0,11000000.0,52000000.0,
Other Investments,,,,107000000.0,
Investmentin Financial Assets,,,,,259000000.0
Trading Securities,,,,,259000000.0
Long Term Equity Investment,261000000.0,275000000.0,286000000.0,105000000.0,
Investmentsin Joint Venturesat Cost,169000000.0,178000000.0,159000000.0,105000000.0,
Investments In Other Ventures Under Equity Method,92000000.0,97000000.0,127000000.0,107000000.0,
Goodwill And Other Intangible Assets,11380000000.0,11261000000.0,11912000000.0,10670000000.0,
Other Intangible Assets,3164000000.0,3238000000.0,3524000000.0,3304000000.0,
Goodwill,8216000000.0,8023000000.0,8388000000.0,7366000000.0,
Net PPE,171000000.0,212000000.0,271000000.0,292000000.0,
Accumulated Depreciation,-316000000.0,-408000000.0,-492000000.0,-552000000.0,
Gross PPE,487000000.0,620000000.0,763000000.0,292000000.0,
Other Properties,89000000.0,113000000.0,145000000.0,292000000.0,
Machinery Furniture Equipment,288000000.0,373000000.0,452000000.0,516000000.0,
Land And Improvements,,,166000000.0,,
Properties,110000000.0,134000000.0,166000000.0,167000000.0,
Current Assets,2996000000.0,2874000000.0,3069000000.0,2357000000.0,
Hedging Assets Current,35000000.0,34000000.0,21000000.0,31000000.0,
Assets Held For Sale Current,0.0,44000000.0,0.0,,
Inventory,331000000.0,318000000.0,309000000.0,253000000.0,
Other Inventories,302000000.0,278000000.0,264000000.0,218000000.0,
Finished Goods,29000000.0,39000000.0,42000000.0,33000000.0,
Raw Materials,0.0,1000000.0,3000000.0,2000000.0,
Other Receivables,283000000.0,288000000.0,310000000.0,316000000.0,
Taxes Receivable,42000000.0,6000000.0,15000000.0,10000000.0,
Accounts Receivable,2184000000.0,2025000000.0,2075000000.0,1632000000.0,
Allowance For Doubtful Accounts Receivable,-122000000.0,-119000000.0,-118000000.0,-106000000.0,
Gross Accounts Receivable,2306000000.0,2144000000.0,2193000000.0,1738000000.0,
Cash Cash Equivalents And Short Term Investments,119000000.0,155000000.0,334000000.0,113000000.0,
Cash And Cash Equivalents,119000000.0,155000000.0,334000000.0,113000000.0,
