,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2124000000.0,1980000000.0,1965000000.0,1679000000.0,
Repurchase Of Capital Stock,-1000000000.0,-800000000.0,-500000000.0,0.0,
Repayment Of Debt,-1017000000.0,-847000000.0,-35000000.0,-431000000.0,
Issuance Of Debt,711000000.0,651000000.0,397000000.0,0.0,
Issuance Of Capital Stock,-28000000.0,-9000000.0,-24000000.0,31000000.0,
Capital Expenditure,-484000000.0,-477000000.0,-436000000.0,-337000000.0,
End Cash Position,119000000.0,155000000.0,334000000.0,113000000.0,
Beginning Cash Position,155000000.0,334000000.0,113000000.0,88000000.0,
Effect Of Exchange Rate Changes,-4000000.0,-10000000.0,13000000.0,-1000000.0,
Changes In Cash,-32000000.0,-169000000.0,208000000.0,26000000.0,
Financing Cash Flow,-2065000000.0,-2057000000.0,-1334000000.0,-1606000000.0,
Net Other Financing Charges,-1000000.0,,-1000000.0,,
Cash Dividends Paid,-1121000000.0,-1059000000.0,-983000000.0,-920000000.0,
Common Stock Dividend Paid,-1121000000.0,-1059000000.0,-983000000.0,-920000000.0,
Net Common Stock Issuance,-1028000000.0,-809000000.0,-524000000.0,31000000.0,
Common Stock Payments,-1000000000.0,-800000000.0,-500000000.0,0.0,
Common Stock Issuance,-28000000.0,-9000000.0,-24000000.0,31000000.0,
Net Issuance Payments Of Debt,155000000.0,-112000000.0,261000000.0,-631000000.0,
Net Short Term Debt Issuance,461000000.0,84000000.0,-101000000.0,-200000000.0,
Short Term Debt Payments,,,-101000000.0,-200000000.0,-436000000.0
Net Long Term Debt Issuance,-306000000.0,-196000000.0,362000000.0,-431000000.0,
Long Term Debt Payments,-1017000000.0,-847000000.0,-35000000.0,-431000000.0,
Long Term Debt Issuance,711000000.0,651000000.0,397000000.0,0.0,
Investing Cash Flow,-575000000.0,-569000000.0,-859000000.0,-384000000.0,
Dividends Received Cfi,37000000.0,21000000.0,33000000.0,20000000.0,
Net Investment Purchase And Sale,-4000000.0,-8000000.0,-66000000.0,-8000000.0,
Purchase Of Investment,-4000000.0,-8000000.0,-66000000.0,-8000000.0,
Net Business Purchase And Sale,-124000000.0,-112000000.0,-390000000.0,-64000000.0,
Sale Of Business,74000000.0,21000000.0,19000000.0,220000000.0,
Purchase Of Business,-198000000.0,-133000000.0,-409000000.0,-284000000.0,
Net Intangibles Purchase And Sale,,,,,-319000000.0
Purchase Of Intangibles,,,,,-319000000.0
Net PPE Purchase And Sale,-20000000.0,-23000000.0,-36000000.0,-23000000.0,
Sale Of PPE,0.0,7000000.0,0.0,5000000.0,
Purchase Of PPE,-20000000.0,-30000000.0,-36000000.0,-28000000.0,
Capital Expenditure Reported,-464000000.0,-447000000.0,-400000000.0,-309000000.0,
Operating Cash Flow,2608000000.0,2457000000.0,2401000000.0,2016000000.0,
Taxes Refund Paid,-662000000.0,-619000000.0,-495000000.0,-342000000.0,
Interest Received Cfo,6000000.0,9000000.0,4000000.0,1000000.0,
Interest Paid Cfo,-257000000.0,-303000000.0,-169000000.0,-119000000.0,
Change In Working Capital,-146000000.0,-115000000.0,-74000000.0,-208000000.0,
Change In Payable,110000000.0,-1000000.0,280000000.0,-32000000.0,
Change In Inventory,-83000000.0,-90000000.0,-103000000.0,-73000000.0,
Change In Receivables,-173000000.0,-24000000.0,-251000000.0,-103000000.0,
Other Non Cash Items,77000000.0,76000000.0,72000000.0,60000000.0,
Stock Based Compensation,66000000.0,56000000.0,46000000.0,45000000.0,
Depreciation And Amortization,706000000.0,717000000.0,713000000.0,724000000.0,
Amortization Cash Flow,622000000.0,609000000.0,603000000.0,592000000.0,
Depreciation,84000000.0,108000000.0,110000000.0,132000000.0,
Net Income From Continuing Operations,2861000000.0,2682000000.0,2323000000.0,1884000000.0,
