,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-6712553.773954,-20774000.0,-6156000.0,8326000.0,
Tax Rate For Calcs,0.239734,0.221,0.228,0.181,
Normalized EBITDA,3572000000.0,3406000000.0,3035000000.0,2600000000.0,
Total Unusual Items,-28000000.0,-94000000.0,-27000000.0,46000000.0,
Total Unusual Items Excluding Goodwill,-28000000.0,-94000000.0,-27000000.0,46000000.0,
Net Income From Continuing Operation Net Minority Interest,1934000000.0,1781000000.0,1634000000.0,1471000000.0,
Reconciled Depreciation,706000000.0,717000000.0,713000000.0,724000000.0,
Reconciled Cost Of Revenue,3300000000.0,3216000000.0,3045000000.0,2562000000.0,
EBITDA,3544000000.0,3312000000.0,3008000000.0,2646000000.0,
EBIT,2838000000.0,2595000000.0,2295000000.0,1922000000.0,
Net Interest Income,-276000000.0,-293000000.0,-183000000.0,-133000000.0,
Interest Expense,281000000.0,300000000.0,182000000.0,125000000.0,
Interest Income,6000000.0,8000000.0,4000000.0,1000000.0,
Normalized Income,1955287446.226046,1854226000.0,1654844000.0,1433326000.0,
Net Income From Continuing And Discontinued Operation,1934000000.0,1781000000.0,1634000000.0,1471000000.0,
Total Expenses,6616000000.0,6525000000.0,6249000000.0,5389000000.0,
Rent Expense Supplemental,,,19000000.0,21000000.0,21000000.0
Total Operating Income As Reported,2861000000.0,2682000000.0,2323000000.0,1884000000.0,
Diluted Average Shares,1876700000.0,1902800000.0,1937800000.0,1939400000.0,
Basic Average Shares,1865900000.0,1891800000.0,1926200000.0,1928000000.0,
Diluted EPS,1.031,0.936,0.847,0.758,
Basic EPS,1.036,0.941,0.852,0.763,
Diluted NI Availto Com Stockholders,1934000000.0,1781000000.0,1634000000.0,1471000000.0,
Net Income Common Stockholders,1934000000.0,1781000000.0,1634000000.0,1471000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1934000000.0,1781000000.0,1634000000.0,1471000000.0,
Minority Interests,-10000000.0,-7000000.0,2000000.0,0.0,
Net Income Including Noncontrolling Interests,1944000000.0,1788000000.0,1632000000.0,1471000000.0,
Net Income Continuous Operations,1944000000.0,1788000000.0,1632000000.0,1471000000.0,
Tax Provision,613000000.0,507000000.0,481000000.0,326000000.0,
Pretax Income,2557000000.0,2295000000.0,2113000000.0,1797000000.0,
Special Income Charges,-4000000.0,-61000000.0,-18000000.0,39000000.0,
Other Special Charges,4000000.0,61000000.0,18000000.0,-39000000.0,
Net Non Operating Interest Income Expense,-276000000.0,-293000000.0,-183000000.0,-133000000.0,
Total Other Finance Cost,1000000.0,1000000.0,5000000.0,9000000.0,
Interest Expense Non Operating,281000000.0,300000000.0,182000000.0,125000000.0,
Interest Income Non Operating,6000000.0,8000000.0,4000000.0,1000000.0,
Operating Income,2818000000.0,2636000000.0,2304000000.0,1855000000.0,
Operating Expense,3316000000.0,3309000000.0,3204000000.0,2827000000.0,
Selling General And Administration,3316000000.0,3309000000.0,3204000000.0,2827000000.0,
Selling And Marketing Expense,1470000000.0,1459000000.0,1385000000.0,1197000000.0,
General And Administrative Expense,1846000000.0,1850000000.0,1819000000.0,1630000000.0,
Gross Profit,6134000000.0,5945000000.0,5508000000.0,4682000000.0,
Cost Of Revenue,3300000000.0,3216000000.0,3045000000.0,2562000000.0,
Total Revenue,9434000000.0,9161000000.0,8553000000.0,7244000000.0,
Operating Revenue,9434000000.0,9161000000.0,8553000000.0,7244000000.0,
