Metric,Value
address1,1-3 Strand
city,London
zip,WC2N 5JR
country,United Kingdom
phone,44 20 7166 5500
fax,44 20 7166 5799
website,https://www.relx.com
industry,Specialty Business Services
industryKey,specialty-business-services
industryDisp,Specialty Business Services
sector,Industrials
sectorKey,industrials
sectorDisp,Industrials
longBusinessSummary,"RELX PLC, together with its subsidiaries, provides information-based analytics and decision tools for professional and business customers in North America, Europe, and internationally. It operates through four segments: Risk; Scientific, Technical & Medical; Legal; and Exhibitions. The Risk segment offers information-based analytics and decision tools that combine public and industry specific content with technology and algorithms to assist clients in evaluating and predicting risk. The Scientific, Technical & Medical segment provides scientific and medical information and data sets that help researchers and healthcare professionals to advance science and health outcomes. The Legal segment provides legal, regulatory, and business information and analytics that help customers in decision-making, as well as increases the productivity. The Exhibitions segment is involved in the business that combines face-to-face with data and digital tools to help customers learn about markets, source products, and transactions. The company was formerly known as Reed Elsevier PLC and changed its name to RELX PLC in July 2015. RELX PLC was incorporated in 1903 and is headquartered in London, the United Kingdom."
fullTimeEmployees,34580
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Erik  Engstrom M.Sc Econ, M.Sc Eng., MBA', 'age': 61, 'title': 'CEO & Executive Director', 'yearBorn': 1963, 'fiscalYear': 2024, 'totalPay': 3912000, 'exercisedValue': 9199078, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nicholas Lawrence Luff', 'age': 57, 'title': 'CFO & Executive Director', 'yearBorn': 1967, 'fiscalYear': 2024, 'totalPay': 2265000, 'exercisedValue': 2346877, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Kumsal Bayazit Besson', 'age': 50, 'title': 'Chief Executive Officer of Scientific, Technical & Medical', 'yearBorn': 1974, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Colin  Tennant', 'title': 'Head of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Henry Adam Udow IV, J.D.', 'age': 67, 'title': 'Chief Legal Officer & Company Secretary', 'yearBorn': 1957, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Paul  Abrahams', 'title': 'Head of Corporate Communications', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Rosemary  Thomson', 'age': 55, 'title': 'Chief Human Resources Officer', 'yearBorn': 1969, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mark  Kelsey', 'title': 'Chief Executive Officer of Risk', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Márcia  Balisciano', 'title': 'Global Head of Corporate Responsibility', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael  Walsh', 'title': 'Chief Executive Officer of Legal', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,4
boardRisk,7
compensationRisk,6
shareHolderRightsRisk,1
overallRisk,6
governanceEpochDate,1748736000
compensationAsOfEpochDate,1735603200
irWebsite,http://www.reedelsevier.com/InvestorCentre/Pages/Home.aspx
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,3900.0
open,3895.0
dayLow,3879.0
dayHigh,3917.0
regularMarketPreviousClose,3900.0
regularMarketOpen,3895.0
regularMarketDayLow,3879.0
regularMarketDayHigh,3917.0
dividendRate,0.63
dividendYield,1.6
exDividendDate,1746662400
payoutRatio,0.582
fiveYearAvgDividendYield,2.06
beta,0.459
trailingPE,37.85437
forwardPE,0.29742926
volume,964172
regularMarketVolume,964172
averageVolume,3495474
averageVolume10days,2543852
averageDailyVolume10Day,2543852
bid,3901.0
ask,3902.0
bidSize,0
askSize,0
marketCap,71393026048
fiftyTwoWeekLow,3369.0
fiftyTwoWeekHigh,4205.0
priceToSalesTrailing12Months,7.5676303
fiftyDayAverage,3991.72
twoHundredDayAverage,3823.61
trailingAnnualDividendRate,0.63
trailingAnnualDividendYield,0.00016153845
currency,GBp
tradeable,False
enterpriseValue,79516434432
profitMargins,0.205
floatShares,1841020122
sharesOutstanding,1831059968
heldPercentInsiders,0.00417
heldPercentInstitutions,0.5733
impliedSharesOutstanding,1863619968
bookValue,1.876
priceToBook,2078.3582
lastFiscalYearEnd,1735603200
nextFiscalYearEnd,1767139200
mostRecentQuarter,1735603200
earningsQuarterlyGrowth,0.046
netIncomeToCommon,1934000000
trailingEps,1.03
forwardEps,131.09
lastSplitFactor,58:67
lastSplitDate,1199664000
enterpriseToRevenue,8.429
enterpriseToEbitda,26.097
52WeekChange,0.08516562
SandP52WeekChange,0.12677538
lastDividendValue,0.448
lastDividendDate,1746662400
quoteType,EQUITY
currentPrice,3899.0
targetHighPrice,4900.0
targetLowPrice,3900.0
targetMeanPrice,4426.743
targetMedianPrice,4510.0
recommendationMean,1.78571
recommendationKey,buy
numberOfAnalystOpinions,14
totalCash,119000000
totalCashPerShare,0.064
ebitda,3047000064
totalDebt,6544000000
quickRatio,0.41
currentRatio,0.524
totalRevenue,9434000384
debtToEquity,186.758
revenuePerShare,5.056
returnOnAssets,0.117180005
returnOnEquity,0.55999
grossProfits,6134000128
freeCashflow,1920999936
operatingCashflow,2608000000
earningsGrowth,0.069
revenueGrowth,0.028
grossMargins,0.65019995
ebitdaMargins,0.32298002
operatingMargins,0.29459998
financialCurrency,GBP
symbol,REL.L
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,LOW
fiftyDayAverageChange,-92.71997
fiftyDayAverageChangePercent,-0.023228075
twoHundredDayAverageChange,75.38989
twoHundredDayAverageChangePercent,0.01971694
sourceInterval,15
exchangeDataDelayedBy,15
averageAnalystRating,1.8 - Buy
cryptoTradeable,False
hasPrePostMarketData,False
firstTradeDateMilliseconds,583743600000
regularMarketChange,-1.0
regularMarketDayRange,3879.0 - 3917.0
fullExchangeName,LSE
averageDailyVolume3Month,3495474
fiftyTwoWeekLowChange,530.0
fiftyTwoWeekLowChangePercent,0.15731671
fiftyTwoWeekRange,3369.0 - 4205.0
fiftyTwoWeekHighChange,-306.0
fiftyTwoWeekHighChangePercent,-0.07277051
fiftyTwoWeekChangePercent,8.5165615
earningsTimestamp,1753354740
earningsTimestampStart,1753354740
earningsTimestampEnd,1753354740
earningsCallTimestampStart,1739435400
earningsCallTimestampEnd,1739435400
isEarningsDateEstimate,False
epsTrailingTwelveMonths,1.03
epsForward,131.09
epsCurrentYear,1.30282
priceEpsCurrentYear,2992.739
shortName,RELX PLC ORD 14 51/116P
longName,RELX PLC
corporateActions,[]
regularMarketTime,1751643330
exchange,LSE
messageBoardId,finmb_380521
exchangeTimezoneName,Europe/London
exchangeTimezoneShortName,BST
gmtOffSetMilliseconds,3600000
market,gb_market
esgPopulated,False
regularMarketChangePercent,-0.025641024
regularMarketPrice,3899.0
marketState,CLOSED
trailingPegRatio,2.8389
