,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,3022902.0,4570902.0,6190000.0,7654000.0
Ordinary Shares Number,1624138159.0,1622537410.0,1620865000.0,1619350681.0
Share Issued,1627161061.0,1627108312.0,1627055000.0,1627004681.0
Net Debt,5612000000.0,4303000000.0,5263000000.0,577000000.0
Total Debt,13855000000.0,14352000000.0,12271000000.0,13531000000.0
Tangible Book Value,52277000000.0,51379000000.0,47531000000.0,48084000000.0
Invested Capital,67688000000.0,67587000000.0,61705000000.0,63600000000.0
Working Capital,7377000000.0,8767000000.0,7370000000.0,11805000000.0
Net Tangible Assets,52277000000.0,51379000000.0,47531000000.0,48084000000.0
Capital Lease Obligations,1413000000.0,1351000000.0,1200000000.0,1363000000.0
Common Stock Equity,55246000000.0,54586000000.0,50634000000.0,51432000000.0
Total Capitalization,67508000000.0,66763000000.0,60782000000.0,62788000000.0
Total Equity Gross Minority Interest,57965000000.0,56341000000.0,52741000000.0,56590000000.0
Minority Interest,2719000000.0,1755000000.0,2107000000.0,5158000000.0
Stockholders Equity,55246000000.0,54586000000.0,50634000000.0,51432000000.0
Retained Earnings,42539000000.0,38350000000.0,35020000000.0,33337000000.0
Additional Paid In Capital,4377000000.0,4375000000.0,4373000000.0,4371000000.0
Capital Stock,3267000000.0,3584000000.0,3537000000.0,3777000000.0
Common Stock,3267000000.0,3584000000.0,3537000000.0,3777000000.0
Total Liabilities Net Minority Interest,44821000000.0,47208000000.0,44033000000.0,46306000000.0
Total Non Current Liabilities Net Minority Interest,33078000000.0,34465000000.0,32430000000.0,33679000000.0
Derivative Product Liabilities,591000000.0,513000000.0,904000000.0,393000000.0
Non Current Pension And Other Postretirement Benefit Plans,1097000000.0,1197000000.0,1305000000.0,2109000000.0
Non Current Accrued Expenses,0.0,0.0,0.0,42000000.0
Tradeand Other Payables Non Current,453000000.0,524000000.0,526000000.0,1211000000.0
Non Current Deferred Revenue,118000000.0,103000000.0,114000000.0,205000000.0
Non Current Deferred Taxes Liabilities,2635000000.0,2584000000.0,3164000000.0,3503000000.0
Long Term Debt And Capital Lease Obligation,13321000000.0,13183000000.0,11056000000.0,12395000000.0
Long Term Capital Lease Obligation,1059000000.0,1006000000.0,908000000.0,1039000000.0
Long Term Debt,12262000000.0,12177000000.0,10148000000.0,11356000000.0
Long Term Provisions,14863000000.0,16361000000.0,15361000000.0,13821000000.0
Current Liabilities,11743000000.0,12743000000.0,11603000000.0,12627000000.0
Current Debt And Capital Lease Obligation,534000000.0,1169000000.0,1215000000.0,1136000000.0
Current Capital Lease Obligation,354000000.0,345000000.0,292000000.0,324000000.0
Current Debt,180000000.0,824000000.0,923000000.0,812000000.0
Pensionand Other Post Retirement Benefit Plans Current,1279000000.0,1353000000.0,1231000000.0,1181000000.0
Current Provisions,1975000000.0,2160000000.0,1696000000.0,1723000000.0
Payables,5754000000.0,5806000000.0,5448000000.0,6450000000.0
Other Payable,1351000000.0,1131000000.0,1312000000.0,1059000000.0
Total Tax Payable,1207000000.0,1410000000.0,867000000.0,1981000000.0
Accounts Payable,3196000000.0,3265000000.0,3269000000.0,3410000000.0
Total Assets,102786000000.0,103549000000.0,96774000000.0,102896000000.0
Total Non Current Assets,83666000000.0,82039000000.0,77801000000.0,78464000000.0
Other Non Current Assets,222000000.0,214000000.0,203000000.0,196000000.0
Defined Pension Benefit,405000000.0,466000000.0,824000000.0,1070000000.0
Non Current Prepaid Assets,257000000.0,489000000.0,562000000.0,597000000.0
Non Current Deferred Taxes Assets,4016000000.0,3624000000.0,2796000000.0,3375000000.0
Financial Assets,63000000.0,101000000.0,41000000.0,210000000.0
Other Investments,263000000.0,217000000.0,211000000.0,220000000.0
Investmentin Financial Assets,255000000.0,163000000.0,154000000.0,98000000.0
Available For Sale Securities,255000000.0,163000000.0,154000000.0,98000000.0
Long Term Equity Investment,4837000000.0,4407000000.0,3298000000.0,3504000000.0
Goodwill And Other Intangible Assets,2969000000.0,3207000000.0,3103000000.0,3348000000.0
Other Intangible Assets,2242000000.0,2410000000.0,2277000000.0,2469000000.0
Goodwill,727000000.0,797000000.0,826000000.0,879000000.0
Net PPE,69135000000.0,68447000000.0,66102000000.0,65290000000.0
Accumulated Depreciation,-67461000000.0,-67909000000.0,-63679000000.0,-63578000000.0
Gross PPE,136596000000.0,136356000000.0,129781000000.0,128868000000.0
Construction In Progress,10925000000.0,7728000000.0,13118000000.0,14661000000.0
Other Properties,704000000.0,635000000.0,488000000.0,585000000.0
Machinery Furniture Equipment,78295000000.0,80993000000.0,74562000000.0,73415000000.0
Buildings And Improvements,524000000.0,543000000.0,515000000.0,549000000.0
Land And Improvements,14822000000.0,14737000000.0,12805000000.0,12031000000.0
Properties,31326000000.0,31720000000.0,28293000000.0,27627000000.0
Current Assets,19120000000.0,21510000000.0,18973000000.0,24432000000.0
Hedging Assets Current,49000000.0,40000000.0,28000000.0,62000000.0
Restricted Cash,1665000000.0,975000000.0,967000000.0,1216000000.0
Prepaid Assets,825000000.0,589000000.0,455000000.0,529000000.0
Inventory,5860000000.0,6659000000.0,6213000000.0,5436000000.0
Other Receivables,1072000000.0,895000000.0,844000000.0,804000000.0
