,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,5978000000.0,8074000000.0,9384000000.0,17961000000.0,
Repurchase Of Capital Stock,,,0.0,0.0,-208000000.0
Repayment Of Debt,-860000000.0,-310000000.0,-790000000.0,-1707000000.0,
Issuance Of Debt,261000000.0,1833000000.0,321000000.0,1488000000.0,
Capital Expenditure,-9621000000.0,-7086000000.0,-6750000000.0,-7384000000.0,
End Cash Position,8484000000.0,9672000000.0,6774000000.0,12805000000.0,
Beginning Cash Position,9672000000.0,6774000000.0,12805000000.0,10381000000.0,
Effect Of Exchange Rate Changes,-99000000.0,-23000000.0,15000000.0,100000000.0,
Changes In Cash,-1089000000.0,2921000000.0,-6046000000.0,2324000000.0,
Financing Cash Flow,-7094000000.0,-5277000000.0,-15473000000.0,-15862000000.0,
Net Other Financing Charges,985000000.0,96000000.0,-2903000000.0,72000000.0,
Cash Dividends Paid,-7025000000.0,-6470000000.0,-11727000000.0,-15357000000.0,
Common Stock Dividend Paid,-7025000000.0,-6470000000.0,-11727000000.0,-15357000000.0,
Net Common Stock Issuance,,,0.0,0.0,-208000000.0
Common Stock Payments,,,0.0,0.0,-208000000.0
Net Issuance Payments Of Debt,-599000000.0,1523000000.0,-469000000.0,-219000000.0,
Net Long Term Debt Issuance,-599000000.0,1523000000.0,-469000000.0,-219000000.0,
Long Term Debt Payments,-860000000.0,-310000000.0,-790000000.0,-1707000000.0,
Long Term Debt Issuance,261000000.0,1833000000.0,321000000.0,1488000000.0,
Investing Cash Flow,-9594000000.0,-6962000000.0,-6707000000.0,-7159000000.0,
Net Other Investing Changes,136000000.0,-88000000.0,51000000.0,85000000.0,
Net Investment Purchase And Sale,564000000.0,1181000000.0,837000000.0,69000000.0,
Sale Of Investment,677000000.0,1220000000.0,892000000.0,114000000.0,
Purchase Of Investment,-113000000.0,-39000000.0,-55000000.0,-45000000.0,
Net Business Purchase And Sale,-703000000.0,-978000000.0,-845000000.0,10000000.0,
Sale Of Business,427000000.0,0.0,80000000.0,4000000.0,
Purchase Of Business,-346000000.0,-834000000.0,-850000000.0,0.0,
Net PPE Purchase And Sale,-9591000000.0,-7077000000.0,-6750000000.0,-7323000000.0,
Sale Of PPE,30000000.0,9000000.0,0.0,61000000.0,
Purchase Of PPE,-9621000000.0,-7086000000.0,-6750000000.0,-7384000000.0,
Capital Expenditure Reported,,,,-7384000000.0,-6189000000.0
Operating Cash Flow,15599000000.0,15160000000.0,16134000000.0,25345000000.0,
Taxes Refund Paid,-4165000000.0,-4627000000.0,-6909000000.0,-8494000000.0,
Interest Paid Cfo,-685000000.0,-612000000.0,-573000000.0,-438000000.0,
Dividend Received Cfo,1067000000.0,610000000.0,879000000.0,1431000000.0,
Dividend Paid Cfo,-477000000.0,-462000000.0,-421000000.0,-1090000000.0,
Change In Working Capital,57000000.0,-926000000.0,-465000000.0,-1079000000.0,
Change In Payable,54000000.0,-86000000.0,700000000.0,685000000.0,
Change In Inventory,205000000.0,-422000000.0,-1185000000.0,-1397000000.0,
Change In Receivables,-202000000.0,-418000000.0,20000000.0,-367000000.0,
Other Non Cash Items,905000000.0,1136000000.0,417000000.0,257000000.0,
Provisionand Write Offof Assets,398000000.0,1470000000.0,1006000000.0,1903000000.0,
Deferred Tax,4041000000.0,3832000000.0,5614000000.0,8236000000.0,
Depreciation And Amortization,5918000000.0,5334000000.0,5010000000.0,4697000000.0,
Amortization Cash Flow,138000000.0,124000000.0,159000000.0,178000000.0,
Depreciation,5780000000.0,5210000000.0,4851000000.0,4519000000.0,
Pension And Employee Benefit Expense,,,0.0,-291000000.0,0.0
Gain Loss On Investment Securities,171000000.0,98000000.0,440000000.0,22000000.0,
Net Foreign Currency Exchange Gain Loss,-322000000.0,251000000.0,-253000000.0,-802000000.0,
Gain Loss On Sale Of Business,-1214000000.0,0.0,105000000.0,0.0,
Net Income From Continuing Operations,11574000000.0,9953000000.0,13048000000.0,22597000000.0,
