,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,166040000.0,-293100000.0,-41513878.469617,-150920766.710991,
Tax Rate For Calcs,0.28,0.3,0.300825,0.267116,
Normalized EBITDA,22569000000.0,22053000000.0,25675000000.0,36691000000.0,
Total Unusual Items,593000000.0,-977000000.0,-138000000.0,-565000000.0,
Total Unusual Items Excluding Goodwill,593000000.0,-977000000.0,-138000000.0,-565000000.0,
Net Income From Continuing Operation Net Minority Interest,11552000000.0,10058000000.0,12392000000.0,21115000000.0,
Reconciled Depreciation,5918000000.0,5334000000.0,5010000000.0,4697000000.0,
Reconciled Cost Of Revenue,23378000000.0,21640000000.0,21284000000.0,18561000000.0,
EBITDA,23162000000.0,21076000000.0,25537000000.0,36126000000.0,
EBIT,17244000000.0,15742000000.0,20527000000.0,31429000000.0,
Net Interest Income,-1115000000.0,-1421000000.0,-1686000000.0,-532000000.0,
Interest Expense,1629000000.0,1957000000.0,1865000000.0,596000000.0,
Interest Income,24000000.0,4000000.0,3000000.0,2000000.0,
Normalized Income,11125040000.0,10741900000.0,12488486121.530382,21529079233.28901,
Net Income From Continuing And Discontinued Operation,11552000000.0,10058000000.0,12392000000.0,21115000000.0,
Total Expenses,38874000000.0,38329000000.0,36140000000.0,33395000000.0,
Rent Expense Supplemental,263000000.0,309000000.0,515000000.0,536000000.0,
Total Operating Income As Reported,15653000000.0,14823000000.0,19933000000.0,29817000000.0,
Diluted Average Shares,1633400000.0,1631467964.0,1629707387.0,1628880309.0,
Basic Average Shares,1623100000.0,1621400000.0,1619800000.0,1618400000.0,
Diluted EPS,7.072,6.165,7.621,12.95,
Basic EPS,7.117,6.203,7.668,13.034,
Diluted NI Availto Com Stockholders,11552000000.0,10058000000.0,12392000000.0,21115000000.0,
Net Income Common Stockholders,11552000000.0,10058000000.0,12392000000.0,21115000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,11552000000.0,10058000000.0,12392000000.0,21115000000.0,
Minority Interests,-22000000.0,105000000.0,-656000000.0,-1482000000.0,
Net Income Including Noncontrolling Interests,11574000000.0,9953000000.0,13048000000.0,22597000000.0,
Net Income Continuous Operations,11574000000.0,9953000000.0,13048000000.0,22597000000.0,
Tax Provision,4041000000.0,3832000000.0,5614000000.0,8236000000.0,
Pretax Income,15615000000.0,13785000000.0,18662000000.0,30833000000.0,
Special Income Charges,676000000.0,-936000000.0,275000000.0,-338000000.0,
Other Special Charges,-1214000000.0,,-327000000.0,69000000.0,50000000.0
Write Off,0.0,0.0,202000000.0,0.0,
Impairment Of Capital Assets,538000000.0,936000000.0,-150000000.0,269000000.0,
Net Non Operating Interest Income Expense,-1115000000.0,-1421000000.0,-1686000000.0,-532000000.0,
Total Other Finance Cost,-490000000.0,-532000000.0,-176000000.0,-62000000.0,
Interest Expense Non Operating,1629000000.0,1957000000.0,1865000000.0,596000000.0,
Interest Income Non Operating,24000000.0,4000000.0,3000000.0,2000000.0,
Operating Income,14784000000.0,15712000000.0,19414000000.0,30100000000.0,
Operating Expense,15496000000.0,16689000000.0,14856000000.0,14834000000.0,
Other Operating Expenses,6983000000.0,8870000000.0,6977000000.0,7856000000.0,
Research And Development,398000000.0,245000000.0,76000000.0,65000000.0,
Selling General And Administration,2942000000.0,2781000000.0,3146000000.0,3275000000.0,
Selling And Marketing Expense,2942000000.0,2781000000.0,3146000000.0,3275000000.0,
General And Administrative Expense,,5295000000.0,4161000000.0,4071000000.0,3083000000.0
Rent And Landing Fees,263000000.0,309000000.0,515000000.0,536000000.0,
Gross Profit,30280000000.0,32401000000.0,34270000000.0,44934000000.0,
Cost Of Revenue,23378000000.0,21640000000.0,21284000000.0,18561000000.0,
Total Revenue,53658000000.0,54041000000.0,55554000000.0,63495000000.0,
Operating Revenue,53658000000.0,54041000000.0,55554000000.0,63495000000.0,
