,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Ordinary Shares Number,93730100.0,44353846.0,64166846.0,64166846.0
Share Issued,93730100.0,44353846.0,64166846.0,64166846.0
Net Debt,,412000.0,,
Total Debt,559000.0,1160000.0,387000.0,0.0
Tangible Book Value,34118000.0,4809000.0,2918000.0,1925000.0
Invested Capital,41791000.0,5654000.0,2918000.0,1925000.0
Working Capital,32591000.0,4092000.0,2764000.0,1779000.0
Net Tangible Assets,34118000.0,4809000.0,2918000.0,1925000.0
Capital Lease Obligations,506000.0,315000.0,387000.0,0.0
Common Stock Equity,41738000.0,4809000.0,2918000.0,1925000.0
Total Capitalization,41738000.0,4809000.0,2918000.0,1925000.0
Total Equity Gross Minority Interest,41738000.0,4809000.0,2918000.0,1868000.0
Minority Interest,,0.0,0.0,-57000.0
Stockholders Equity,41738000.0,4809000.0,2918000.0,1925000.0
Retained Earnings,-7939000.0,201000.0,540000.0,1047000.0
Additional Paid In Capital,49667000.0,4602000.0,2378000.0,878000.0
Capital Stock,10000.0,6000.0,0.0,0.0
Common Stock,10000.0,6000.0,0.0,0.0
Total Liabilities Net Minority Interest,913000.0,3044000.0,1020000.0,639000.0
Total Non Current Liabilities Net Minority Interest,458000.0,154000.0,279000.0,26000.0
Tradeand Other Payables Non Current,102000.0,0.0,0.0,26000.0
Long Term Debt And Capital Lease Obligation,356000.0,154000.0,279000.0,0.0
Long Term Capital Lease Obligation,356000.0,154000.0,279000.0,0.0
Current Liabilities,455000.0,2890000.0,741000.0,613000.0
Current Debt And Capital Lease Obligation,203000.0,1006000.0,108000.0,
Current Capital Lease Obligation,150000.0,161000.0,108000.0,0.0
Current Debt,53000.0,845000.0,,
Other Current Borrowings,53000.0,845000.0,,
Line Of Credit,53000.0,845000.0,,
Payables And Accrued Expenses,252000.0,1884000.0,633000.0,613000.0
Current Accrued Expenses,97000.0,59000.0,57000.0,29000.0
Payables,155000.0,1825000.0,576000.0,584000.0
Dueto Related Parties Current,0.0,238000.0,284000.0,94000.0
Total Tax Payable,5000.0,461000.0,117000.0,10000.0
Accounts Payable,150000.0,1126000.0,175000.0,480000.0
Total Assets,42651000.0,7853000.0,3938000.0,2507000.0
Total Non Current Assets,9604000.0,871000.0,433000.0,115000.0
Other Non Current Assets,740000.0,10000.0,10000.0,10000.0
Non Current Deferred Assets,0.0,518000.0,0.0,
Non Current Deferred Taxes Assets,0.0,518000.0,0.0,
Goodwill And Other Intangible Assets,7620000.0,0.0,,
Other Intangible Assets,7620000.0,,,
Net PPE,1244000.0,343000.0,423000.0,105000.0
Accumulated Depreciation,-54000.0,-39000.0,-26000.0,-19000.0
Gross PPE,1298000.0,382000.0,449000.0,124000.0
Leases,4000.0,4000.0,4000.0,4000.0
Other Properties,,315000.0,382000.0,
Machinery Furniture Equipment,788000.0,63000.0,63000.0,120000.0
Buildings And Improvements,506000.0,315000.0,,
Properties,0.0,0.0,0.0,0.0
Current Assets,33046000.0,6982000.0,3505000.0,2392000.0
Other Current Assets,33000.0,17000.0,41000.0,9000.0
Inventory,1148000.0,822000.0,1373000.0,985000.0
Finished Goods,529000.0,658000.0,1087000.0,959000.0
Raw Materials,619000.0,164000.0,286000.0,26000.0
Receivables,1359000.0,5710000.0,1764000.0,45000.0
Duefrom Related Parties Current,0.0,134000.0,1656000.0,0.0
Accounts Receivable,1359000.0,5576000.0,108000.0,45000.0
Allowance For Doubtful Accounts Receivable,-197000.0,-333000.0,-86000.0,-3000.0
Gross Accounts Receivable,1556000.0,5909000.0,194000.0,45000.0
Cash Cash Equivalents And Short Term Investments,30506000.0,433000.0,327000.0,1353000.0
Other Short Term Investments,15940000.0,0.0,,
Cash And Cash Equivalents,14566000.0,433000.0,327000.0,1353000.0
