,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Free Cash Flow,-11255000.0,-2896000.0,-2646000.0,-4279000.0
Repayment Of Debt,-4030000.0,-247000.0,-26000.0,-80000.0
Issuance Of Debt,6485000.0,1045000.0,190000.0,0.0
Issuance Of Capital Stock,39468000.0,2230000.0,1500000.0,400000.0
Capital Expenditure,-6195000.0,,,-53000.0
End Cash Position,14566000.0,433000.0,327000.0,1353000.0
Beginning Cash Position,433000.0,327000.0,1353000.0,5029000.0
Changes In Cash,14133000.0,106000.0,-1026000.0,-3676000.0
Financing Cash Flow,41924000.0,3028000.0,1664000.0,320000.0
Cash Flow From Continuing Financing Activities,41923000.0,3028000.0,1664000.0,320000.0
Net Other Financing Charges,1000.0,,,
Net Common Stock Issuance,39468000.0,2230000.0,1500000.0,400000.0
Common Stock Issuance,39468000.0,2230000.0,1500000.0,400000.0
Net Issuance Payments Of Debt,2455000.0,798000.0,164000.0,-80000.0
Net Short Term Debt Issuance,2455000.0,798000.0,190000.0,-61000.0
Short Term Debt Payments,-4030000.0,-247000.0,0.0,-61000.0
Short Term Debt Issuance,6485000.0,1045000.0,190000.0,0.0
Net Long Term Debt Issuance,,0.0,-26000.0,-19000.0
Long Term Debt Payments,,0.0,-26000.0,-19000.0
Long Term Debt Issuance,,200000.0,190000.0,0.0
Investing Cash Flow,-22731000.0,-26000.0,-44000.0,230000.0
Cash Flow From Continuing Investing Activities,-22731000.0,-26000.0,-44000.0,230000.0
Net Other Investing Changes,134000.0,-26000.0,-108000.0,283000.0
Net Investment Purchase And Sale,-16670000.0,0.0,,
Purchase Of Investment,-16670000.0,0.0,,
Net Intangibles Purchase And Sale,-5470000.0,0.0,,
Purchase Of Intangibles,-5470000.0,0.0,,
Net PPE Purchase And Sale,-725000.0,0.0,64000.0,-53000.0
Sale Of PPE,,13000.0,64000.0,0.0
Purchase Of PPE,-725000.0,0.0,0.0,-53000.0
Operating Cash Flow,-5060000.0,-2896000.0,-2646000.0,-4226000.0
Cash Flow From Continuing Operating Activities,-5060000.0,-2896000.0,-2646000.0,-4226000.0
Change In Working Capital,2999000.0,-2570000.0,-2196000.0,936000.0
Change In Other Current Liabilities,190000.0,-72000.0,387000.0,-179000.0
Change In Other Current Assets,-191000.0,67000.0,-382000.0,-10000.0
Change In Payables And Accrued Expense,-1394000.0,1298000.0,-169000.0,458000.0
Change In Accrued Expense,38000.0,3000.0,28000.0,-22000.0
Change In Payable,-1432000.0,1295000.0,-197000.0,480000.0
Change In Account Payable,-976000.0,951000.0,-305000.0,480000.0
Change In Tax Payable,-456000.0,344000.0,108000.0,0.0
Change In Income Tax Payable,-456000.0,344000.0,108000.0,0.0
Change In Prepaid Assets,-16000.0,23000.0,-31000.0,0.0
Change In Inventory,-326000.0,551000.0,-389000.0,-312000.0
Change In Receivables,4736000.0,-4437000.0,-1612000.0,979000.0
Changes In Account Receivables,4218000.0,-3919000.0,-1612000.0,979000.0
Other Non Cash Items,,,57000.0,-126000.0
Depreciation Amortization Depletion,81000.0,13000.0,,
Depreciation And Amortization,81000.0,13000.0,,
Net Income From Continuing Operations,-8140000.0,-339000.0,-507000.0,-5036000.0
