,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Tax Effect Of Unusual Items,2730.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.238202,0.21,0.27
Normalized EBITDA,-6992000.0,302000.0,-376000.0,-5031000.0
Total Unusual Items,13000.0,,-18000.0,0.0
Total Unusual Items Excluding Goodwill,13000.0,,-18000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-8140000.0,-339000.0,-507000.0,-5036000.0
Reconciled Depreciation,81000.0,13000.0,,
Reconciled Cost Of Revenue,1520000.0,2744000.0,2098000.0,3190000.0
EBITDA,-6979000.0,302000.0,-376000.0,-5031000.0
EBIT,-7060000.0,289000.0,-376000.0,-5031000.0
Net Interest Income,-762000.0,-734000.0,-18000.0,-2000.0
Interest Expense,762000.0,734000.0,18000.0,2000.0
Normalized Income,-8150270.0,-339000.0,-507000.0,-5036000.0
Net Income From Continuing And Discontinued Operation,-8140000.0,-339000.0,-507000.0,-5036000.0
Total Expenses,11313000.0,8470000.0,6425000.0,11062000.0
Total Operating Income As Reported,-7073000.0,289000.0,-376000.0,-5031000.0
Diluted Average Shares,69953723.0,44353846.0,44353846.0,44353846.0
Basic Average Shares,69953723.0,44353846.0,44353846.0,44353846.0
Diluted EPS,-0.12,-0.007643,-0.011431,-0.113541
Basic EPS,-0.12,-0.007643,-0.011431,-0.113541
Diluted NI Availto Com Stockholders,-8140000.0,-339000.0,-507000.0,-5036000.0
Net Income Common Stockholders,-8140000.0,-339000.0,-507000.0,-5036000.0
Net Income,-8140000.0,-339000.0,-507000.0,-5036000.0
Net Income Including Noncontrolling Interests,-8140000.0,-339000.0,-507000.0,-5036000.0
Net Income Continuous Operations,-8140000.0,-339000.0,-507000.0,-5036000.0
Tax Provision,318000.0,-106000.0,113000.0,3000.0
Pretax Income,-7822000.0,-445000.0,-394000.0,-5033000.0
Other Income Expense,13000.0,,-18000.0,
Special Income Charges,,,-18000.0,0.0
Gain On Sale Of Ppe,,,-18000.0,0.0
Gain On Sale Of Security,13000.0,,,
Net Non Operating Interest Income Expense,-762000.0,-734000.0,-18000.0,-2000.0
Interest Expense Non Operating,762000.0,734000.0,18000.0,2000.0
Operating Income,-7073000.0,289000.0,-376000.0,-5031000.0
Operating Expense,9793000.0,5726000.0,4327000.0,7872000.0
Research And Development,2021000.0,1979000.0,1772000.0,1980000.0
Selling General And Administration,7772000.0,3747000.0,2555000.0,5892000.0
Selling And Marketing Expense,1315000.0,238000.0,297000.0,2342000.0
General And Administrative Expense,6457000.0,3509000.0,2258000.0,3550000.0
Other Gand A,6457000.0,3509000.0,2258000.0,3550000.0
Gross Profit,2720000.0,6015000.0,3951000.0,2841000.0
Cost Of Revenue,1520000.0,2744000.0,2098000.0,3190000.0
Total Revenue,4240000.0,8759000.0,6049000.0,6031000.0
Operating Revenue,4240000.0,8759000.0,6049000.0,6031000.0
