,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,30800000.0,0.0,0.0,0.0,
Ordinary Shares Number,6084231158.0,6524109049.0,7003503393.0,7684132453.0,
Share Issued,6115031158.0,6524109049.0,7003503393.0,7684132453.0,
Net Debt,10540000000.0,15518000000.0,16062000000.0,24722000000.0,
Total Debt,77078000000.0,81541000000.0,83795000000.0,89086000000.0,
Tangible Book Value,152795000000.0,159694000000.0,164771000000.0,147272000000.0,
Invested Capital,226683000000.0,240439000000.0,246624000000.0,233544000000.0,
Working Capital,32892000000.0,38648000000.0,44627000000.0,33218000000.0,
Net Tangible Assets,152795000000.0,159694000000.0,164771000000.0,147272000000.0,
Capital Lease Obligations,28702000000.0,27709000000.0,27643000000.0,27507000000.0,
Common Stock Equity,178307000000.0,186607000000.0,190472000000.0,171965000000.0,
Total Capitalization,219763000000.0,235151000000.0,242004000000.0,229464000000.0,
Total Equity Gross Minority Interest,180168000000.0,188362000000.0,192597000000.0,175325000000.0,
Minority Interest,1861000000.0,1755000000.0,2125000000.0,3360000000.0,
Stockholders Equity,178307000000.0,186607000000.0,190472000000.0,171965000000.0,
Other Equity Interest,1417000000.0,1308000000.0,1140000000.0,964000000.0,
Treasury Stock,803000000.0,997000000.0,726000000.0,610000000.0,
Retained Earnings,158834000000.0,165915000000.0,169482000000.0,153026000000.0,
Additional Paid In Capital,424000000.0,390000000.0,350000000.0,293000000.0,
Capital Stock,510000000.0,544000000.0,584000000.0,641000000.0,
Common Stock,510000000.0,544000000.0,584000000.0,641000000.0,
Total Liabilities Net Minority Interest,207441000000.0,217908000000.0,250427000000.0,229054000000.0,
Total Non Current Liabilities Net Minority Interest,112407000000.0,122441000000.0,129116000000.0,133507000000.0,
Other Non Current Liabilities,,,,1000000.0,
Derivative Product Liabilities,2185000000.0,2301000000.0,3563000000.0,887000000.0,
Non Current Pension And Other Postretirement Benefit Plans,6752000000.0,7549000000.0,7296000000.0,11325000000.0,
Non Current Accrued Expenses,,,253000000.0,364000000.0,422000000.0
Tradeand Other Payables Non Current,3290000000.0,3103000000.0,3432000000.0,2075000000.0,
Non Current Deferred Taxes Liabilities,13505000000.0,15347000000.0,16186000000.0,12547000000.0,
Long Term Debt And Capital Lease Obligation,65448000000.0,71610000000.0,74794000000.0,80868000000.0,
Long Term Capital Lease Obligation,23992000000.0,23066000000.0,23262000000.0,23369000000.0,
Long Term Debt,41456000000.0,48544000000.0,51532000000.0,57499000000.0,
Long Term Provisions,21227000000.0,22531000000.0,23845000000.0,25804000000.0,
Current Liabilities,95034000000.0,95467000000.0,121311000000.0,95547000000.0,
Other Current Liabilities,,,-1000000.0,1000000.0,-1000000.0
Current Debt And Capital Lease Obligation,11630000000.0,9931000000.0,9001000000.0,8218000000.0,
Current Capital Lease Obligation,4710000000.0,4643000000.0,4381000000.0,4138000000.0,
Current Debt,6920000000.0,5288000000.0,4620000000.0,4080000000.0,
Pensionand Other Post Retirement Benefit Plans Current,,,,,437000000.0
Current Provisions,4469000000.0,4041000000.0,2910000000.0,3338000000.0,
Payables,54102000000.0,58524000000.0,69271000000.0,55322000000.0,
Other Payable,16248000000.0,17406000000.0,18500000000.0,14410000000.0,
Total Tax Payable,8087000000.0,6527000000.0,8139000000.0,6776000000.0,
Accounts Payable,29767000000.0,34591000000.0,42632000000.0,34136000000.0,
Total Assets,387609000000.0,406270000000.0,443024000000.0,404379000000.0,
Total Non Current Assets,259683000000.0,272155000000.0,277086000000.0,275614000000.0,
Other Non Current Assets,,,1000000.0,,1000000.0
Defined Pension Benefit,10003000000.0,9151000000.0,10200000000.0,8471000000.0,
Non Current Prepaid Assets,,,2160000000.0,1520000000.0,1323000000.0
