,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,35086000000.0,31198000000.0,45814000000.0,26104000000.0,
Repurchase Of Capital Stock,-14687000000.0,-15506000000.0,-19030000000.0,-3174000000.0,
Repayment Of Debt,-9672000000.0,-10650000000.0,-8459000000.0,-21534000000.0,
Issuance Of Debt,363000000.0,1029000000.0,269000000.0,1791000000.0,
Capital Expenditure,-19601000000.0,-22993000000.0,-22600000000.0,-19000000000.0,
End Cash Position,39110000000.0,38774000000.0,40246000000.0,36970000000.0,
Other Cash Adjustment Outside Changein Cash,,,1000000.0,,
Beginning Cash Position,38774000000.0,40246000000.0,36970000000.0,31830000000.0,
Effect Of Exchange Rate Changes,-761000000.0,306000000.0,-736000000.0,-539000000.0,
Changes In Cash,1097000000.0,-1778000000.0,4012000000.0,5679000000.0,
Financing Cash Flow,-38435000000.0,-38235000000.0,-41954000000.0,-34664000000.0,
Net Other Financing Charges,-609000000.0,701000000.0,-3764000000.0,-1146000000.0,
Interest Paid Cff,-4557000000.0,-4441000000.0,-3677000000.0,-4014000000.0,
Cash Dividends Paid,-8668000000.0,-8393000000.0,-7405000000.0,-6253000000.0,
Common Stock Dividend Paid,-8668000000.0,-8393000000.0,-7405000000.0,-6253000000.0,
Net Common Stock Issuance,-14687000000.0,-15506000000.0,-19030000000.0,-3174000000.0,
Common Stock Payments,-14687000000.0,-15506000000.0,-19030000000.0,-3174000000.0,
Net Issuance Payments Of Debt,-9619000000.0,-9832000000.0,-7872000000.0,-19729000000.0,
Net Short Term Debt Issuance,-310000000.0,-211000000.0,318000000.0,14000000.0,
Short Term Debt Payments,,,,,-63000000.0
Net Long Term Debt Issuance,-9309000000.0,-9621000000.0,-8190000000.0,-19743000000.0,
Long Term Debt Payments,-9672000000.0,-10650000000.0,-8459000000.0,-21534000000.0,
Long Term Debt Issuance,363000000.0,1029000000.0,269000000.0,1791000000.0,
Investing Cash Flow,-15155000000.0,-17734000000.0,-22448000000.0,-4761000000.0,
Net Other Investing Changes,738000000.0,1444000000.0,-580000000.0,-600000000.0,
Interest Received Cfi,2399000000.0,2124000000.0,906000000.0,423000000.0,
Net Investment Purchase And Sale,502000000.0,-146000000.0,-143000000.0,78000000.0,
Sale Of Investment,582000000.0,51000000.0,117000000.0,296000000.0,
Purchase Of Investment,-80000000.0,-197000000.0,-260000000.0,-218000000.0,
Net Business Purchase And Sale,-814000000.0,-728000000.0,-1462000000.0,105000000.0,
Sale Of Business,590000000.0,474000000.0,511000000.0,584000000.0,
Purchase Of Business,-1404000000.0,-1202000000.0,-1973000000.0,-479000000.0,
Net PPE Purchase And Sale,1621000000.0,2565000000.0,1431000000.0,14233000000.0,
Sale Of PPE,1621000000.0,2565000000.0,1431000000.0,14233000000.0,
Capital Expenditure Reported,-19601000000.0,-22993000000.0,-22600000000.0,-19000000000.0,
Operating Cash Flow,54687000000.0,54191000000.0,68414000000.0,45104000000.0,
Taxes Refund Paid,-12002000000.0,-13712000000.0,-13120000000.0,-5476000000.0,
Dividend Received Cfo,3632000000.0,3674000000.0,4398000000.0,3929000000.0,
Change In Working Capital,2062000000.0,7145000000.0,-5020000000.0,-10367000000.0,
Change In Payable,-5789000000.0,-11581000000.0,12329000000.0,17519000000.0,
Change In Inventory,1273000000.0,6325000000.0,-8360000000.0,-7319000000.0,
Change In Receivables,6578000000.0,12401000000.0,-8989000000.0,-20567000000.0,
Other Non Cash Items,3126000000.0,2030000000.0,4747000000.0,3823000000.0,
Provisionand Write Offof Assets,,,,,1104000000.0
Depreciation And Amortization,22703000000.0,31290000000.0,18529000000.0,23071000000.0,
Depreciation,22703000000.0,31290000000.0,18529000000.0,23071000000.0,
Pension And Employee Benefit Expense,-326000000.0,-37000000.0,417000000.0,16000000.0,
Gain Loss On Investment Securities,2772000000.0,-5969000000.0,-3261000000.0,-113000000.0,
Net Income From Continuing Operations,29922000000.0,32627000000.0,64815000000.0,29829000000.0,
