,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-54250000.0,84411438.379256,622533348.761861,1848496630.795535,
Tax Rate For Calcs,0.25,0.398167,0.338517,0.308391,
Normalized EBITDA,57700000000.0,68333000000.0,86851000000.0,50512000000.0,
Total Unusual Items,-217000000.0,212000000.0,1839000000.0,5994000000.0,
Total Unusual Items Excluding Goodwill,-217000000.0,212000000.0,1839000000.0,5994000000.0,
Net Income From Continuing Operation Net Minority Interest,16094000000.0,19359000000.0,42309000000.0,20101000000.0,
Reconciled Depreciation,22703000000.0,31290000000.0,18529000000.0,23071000000.0,
Reconciled Cost Of Revenue,238371000000.0,269413000000.0,302535000000.0,225655000000.0,
EBITDA,57483000000.0,68545000000.0,88690000000.0,56506000000.0,
EBIT,34780000000.0,37255000000.0,70161000000.0,33435000000.0,
Net Interest Income,-2397000000.0,-2056000000.0,-4300000000.0,-3067000000.0,
Interest Expense,4858000000.0,4628000000.0,5346000000.0,3606000000.0,
Interest Income,2461000000.0,2572000000.0,1046000000.0,539000000.0,
Normalized Income,16256750000.0,19231411438.379257,41092533348.76186,15955496630.795534,
Net Income From Continuing And Discontinued Operation,16094000000.0,19359000000.0,42309000000.0,20101000000.0,
Total Expenses,254320000000.0,285883000000.0,318205000000.0,239221000000.0,
Diluted Average Shares,3181850000.0,3399900000.0,3705250000.0,3903400000.0,
Basic Average Shares,3149800000.0,3366750000.0,3673750000.0,3880850000.0,
Diluted EPS,5.06,5.7,11.42,5.14,
Basic EPS,5.1,5.76,11.52,5.18,
Diluted NI Availto Com Stockholders,16094000000.0,19359000000.0,42309000000.0,20101000000.0,
Net Income Common Stockholders,16094000000.0,19359000000.0,42309000000.0,20101000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,16094000000.0,19359000000.0,42309000000.0,20101000000.0,
Minority Interests,-427000000.0,-277000000.0,-565000000.0,-529000000.0,
Net Income Including Noncontrolling Interests,16521000000.0,19636000000.0,42874000000.0,20630000000.0,
Net Income Continuous Operations,16521000000.0,19636000000.0,42874000000.0,20630000000.0,
Tax Provision,13401000000.0,12991000000.0,21941000000.0,9199000000.0,
Pretax Income,29922000000.0,32627000000.0,64815000000.0,29829000000.0,
Other Non Operating Income Expenses,493000000.0,418000000.0,319000000.0,313000000.0,
Special Income Charges,-288000000.0,257000000.0,1768000000.0,5995000000.0,
Other Special Charges,288000000.0,-257000000.0,-1768000000.0,-5995000000.0,
Write Off,,,-1126000000.0,-3851000000.0,
Impairment Of Capital Assets,,8185000000.0,,-3851000000.0,
Net Non Operating Interest Income Expense,-2397000000.0,-2056000000.0,-4300000000.0,-3067000000.0,
Total Other Finance Cost,,-259000000.0,649000000.0,-28000000.0,-273000000.0
Interest Expense Non Operating,4858000000.0,4628000000.0,5346000000.0,3606000000.0,
Interest Income Non Operating,2461000000.0,2572000000.0,1046000000.0,539000000.0,
Operating Income,29992000000.0,30737000000.0,63109000000.0,22283000000.0,
Operating Expense,15949000000.0,16470000000.0,15670000000.0,13566000000.0,
Other Operating Expenses,2411000000.0,1750000000.0,1712000000.0,1423000000.0,
Research And Development,1099000000.0,1287000000.0,1075000000.0,815000000.0,
Selling General And Administration,12439000000.0,13433000000.0,12883000000.0,11328000000.0,
General And Administrative Expense,12439000000.0,13433000000.0,12883000000.0,11328000000.0,
Gross Profit,45941000000.0,47207000000.0,78779000000.0,35849000000.0,
Cost Of Revenue,238371000000.0,269413000000.0,302535000000.0,225655000000.0,
Total Revenue,284312000000.0,316620000000.0,381314000000.0,261504000000.0,
Operating Revenue,284312000000.0,316620000000.0,381314000000.0,261504000000.0,
