,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,45875235.0,17579507.0,100248150.0,68277303.0,
Ordinary Shares Number,2475622103.0,2499017831.0,2528995622.0,2560966469.0,
Share Issued,2521497338.0,2516597338.0,2629243772.0,2629243772.0,
Net Debt,23033000000.0,23039000000.0,22705000000.0,24608000000.0,
Total Debt,30655000000.0,28593000000.0,28439000000.0,29672000000.0,
Tangible Book Value,-20911000000.0,-21364000000.0,-21468000000.0,-21484000000.0,
Invested Capital,49159000000.0,45300000000.0,46052000000.0,45130000000.0,
Working Capital,-6040000000.0,-5605000000.0,-6270000000.0,-7377000000.0,
Net Tangible Assets,-20911000000.0,-21364000000.0,-21468000000.0,-21484000000.0,
Capital Lease Obligations,1486000000.0,1395000000.0,1408000000.0,1649000000.0,
Common Stock Equity,19990000000.0,18102000000.0,19021000000.0,17107000000.0,
Total Capitalization,43279000000.0,40733000000.0,40821000000.0,38434000000.0,
Total Equity Gross Minority Interest,22555000000.0,20764000000.0,21701000000.0,19746000000.0,
Minority Interest,2565000000.0,2662000000.0,2680000000.0,2639000000.0,
Stockholders Equity,19990000000.0,18102000000.0,19021000000.0,17107000000.0,
Other Equity Interest,,5282000000.0,,,
Treasury Stock,2296000000.0,6241000000.0,4809000000.0,3406000000.0,
Retained Earnings,49721000000.0,47052000000.0,50253000000.0,46745000000.0,
Additional Paid In Capital,52869000000.0,52869000000.0,52865000000.0,52865000000.0,
Capital Stock,88000000.0,88000000.0,92000000.0,92000000.0,
Common Stock,88000000.0,88000000.0,92000000.0,92000000.0,
Total Liabilities Net Minority Interest,57195000000.0,54502000000.0,56120000000.0,55349000000.0,
Total Non Current Liabilities Net Minority Interest,31961000000.0,30995000000.0,30693000000.0,30571000000.0,
Other Non Current Liabilities,55000000.0,33000000.0,129000000.0,184000000.0,
Derivative Product Liabilities,442000000.0,446000000.0,529000000.0,99000000.0,
Non Current Pension And Other Postretirement Benefit Plans,1194000000.0,1380000000.0,1691000000.0,2126000000.0,
Non Current Accrued Expenses,148000000.0,105000000.0,141000000.0,91000000.0,
Tradeand Other Payables Non Current,585000000.0,384000000.0,94000000.0,148000000.0,
Non Current Deferred Taxes Liabilities,4342000000.0,3995000000.0,4375000000.0,4530000000.0,
Long Term Debt And Capital Lease Obligation,24453000000.0,23692000000.0,22868000000.0,22611000000.0,
Long Term Capital Lease Obligation,1164000000.0,1061000000.0,1068000000.0,1284000000.0,
Long Term Debt,23289000000.0,22631000000.0,21800000000.0,21327000000.0,
