,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,7548000000.0,7681000000.0,5573000000.0,6632000000.0,
Repurchase Of Capital Stock,-1508000000.0,-1507000000.0,-1509000000.0,-3018000000.0,
Repayment Of Debt,,-3905000000.0,-8440000000.0,-3550000000.0,-3577000000.0
Issuance Of Debt,,4972000000.0,7776000000.0,4748000000.0,3117000000.0
Capital Expenditure,-1971000000.0,-1745000000.0,-1709000000.0,-1340000000.0,
End Cash Position,5950000000.0,4045000000.0,4225000000.0,3387000000.0,
Beginning Cash Position,4045000000.0,4225000000.0,3387000000.0,5475000000.0,
Effect Of Exchange Rate Changes,-48000000.0,-119000000.0,-7000000.0,285000000.0,
Changes In Cash,1953000000.0,-61000000.0,845000000.0,-2373000000.0,
Financing Cash Flow,-6941000000.0,-7193000000.0,-8890000000.0,-7099000000.0,
Net Other Financing Charges,-291000000.0,540000000.0,-1245000000.0,698000000.0,
Interest Paid Cff,-1085000000.0,-899000000.0,-744000000.0,-488000000.0,
Cash Dividends Paid,-4319000000.0,-4363000000.0,-4329000000.0,-4483000000.0,
Common Stock Dividend Paid,-4319000000.0,-4363000000.0,-4329000000.0,-4483000000.0,
Net Common Stock Issuance,-1508000000.0,-1507000000.0,-1509000000.0,-3018000000.0,
Common Stock Payments,-1508000000.0,-1507000000.0,-1509000000.0,-3018000000.0,
Net Issuance Payments Of Debt,643000000.0,-570000000.0,-545000000.0,656000000.0,
Net Short Term Debt Issuance,643000000.0,-570000000.0,-545000000.0,656000000.0,
Net Long Term Debt Issuance,,1067000000.0,-664000000.0,1198000000.0,-460000000.0
Long Term Debt Payments,,-3905000000.0,-8440000000.0,-3550000000.0,-3577000000.0
Long Term Debt Issuance,,4972000000.0,7776000000.0,4748000000.0,3117000000.0
Investing Cash Flow,-625000000.0,-2294000000.0,2453000000.0,-3246000000.0,
Interest Received Cfi,432000000.0,267000000.0,287000000.0,148000000.0,
Dividends Received Cfi,261000000.0,239000000.0,185000000.0,185000000.0,
Net Investment Purchase And Sale,426000000.0,-829000000.0,-35000000.0,-252000000.0,
Sale Of Investment,592000000.0,62000000.0,266000000.0,137000000.0,
Purchase Of Investment,-166000000.0,-891000000.0,-301000000.0,-389000000.0,
Net Business Purchase And Sale,190000000.0,-268000000.0,3643000000.0,-2088000000.0,
Sale Of Business,985000000.0,436000000.0,4622000000.0,43000000.0,
Purchase Of Business,-795000000.0,-704000000.0,-979000000.0,-2131000000.0,
Net Intangibles Purchase And Sale,-233000000.0,-243000000.0,-253000000.0,-232000000.0,
Purchase Of Intangibles,-233000000.0,-243000000.0,-253000000.0,-232000000.0,
Net PPE Purchase And Sale,-1701000000.0,-1460000000.0,-1374000000.0,-1007000000.0,
Sale Of PPE,37000000.0,42000000.0,82000000.0,101000000.0,
Purchase Of PPE,-1738000000.0,-1502000000.0,-1456000000.0,-1108000000.0,
Operating Cash Flow,9519000000.0,9426000000.0,7282000000.0,7972000000.0,
Taxes Refund Paid,-2625000000.0,-2135000000.0,-2807000000.0,-2333000000.0,
Change In Working Capital,-160000000.0,814000000.0,-422000000.0,-47000000.0,
Change In Payable,244000000.0,-294000000.0,2828000000.0,718000000.0,
Change In Inventory,-198000000.0,340000000.0,-1398000000.0,-458000000.0,
Change In Receivables,-206000000.0,768000000.0,-1852000000.0,-307000000.0,
Other Non Cash Items,825000000.0,730000000.0,392000000.0,298000000.0,
Stock Based Compensation,324000000.0,212000000.0,177000000.0,161000000.0,
Provisionand Write Offof Assets,330000000.0,-185000000.0,203000000.0,-61000000.0,
Deferred Tax,2500000000.0,2199000000.0,2068000000.0,1935000000.0,
Depreciation And Amortization,1757000000.0,1578000000.0,1946000000.0,1763000000.0,
Amortization Cash Flow,377000000.0,401000000.0,,,
Depreciation,1380000000.0,1177000000.0,1946000000.0,1763000000.0,
Pension And Employee Benefit Expense,-159000000.0,-391000000.0,-163000000.0,-173000000.0,
Gain Loss On Investment Securities,431000000.0,-470000000.0,-2306000000.0,16000000.0,
Net Foreign Currency Exchange Gain Loss,195000000.0,142000000.0,157000000.0,74000000.0,
Net Income From Continuing Operations,6369000000.0,7140000000.0,8269000000.0,6621000000.0,
