,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-581801781.486075,-55189000.0,211752000.0,-248556000.0,
Tax Rate For Calcs,0.281881,0.241,0.204,0.231,
Normalized EBITDA,13808000000.0,12221000000.0,12034000000.0,11893000000.0,
Total Unusual Items,-2064000000.0,-229000000.0,1038000000.0,-1076000000.0,
Total Unusual Items Excluding Goodwill,-2064000000.0,-229000000.0,1038000000.0,-1076000000.0,
Net Income From Continuing Operation Net Minority Interest,5744000000.0,6487000000.0,7642000000.0,6049000000.0,
Reconciled Depreciation,1757000000.0,1578000000.0,1946000000.0,1763000000.0,
Reconciled Cost Of Revenue,33391000000.0,34429000000.0,35906000000.0,30259000000.0,
EBITDA,11744000000.0,11992000000.0,13072000000.0,10817000000.0,
EBIT,9987000000.0,10414000000.0,11126000000.0,9054000000.0,
Net Interest Income,-680000000.0,-633000000.0,-508000000.0,-351000000.0,
Interest Expense,1118000000.0,1075000000.0,789000000.0,498000000.0,
Interest Income,438000000.0,442000000.0,281000000.0,147000000.0,
Normalized Income,7226198218.513925,6660811000.0,6815752000.0,6876444000.0,
Net Income From Continuing And Discontinued Operation,5744000000.0,6487000000.0,7642000000.0,6049000000.0,
Total Expenses,49511000000.0,49563000000.0,50346000000.0,42818000000.0,
Total Operating Income As Reported,9400000000.0,9758000000.0,10755000000.0,8702000000.0,
Diluted Average Shares,,2532400000.0,2559800000.0,2609600000.0,2629800000.0
Basic Average Shares,,2515900000.0,2548200000.0,2599900000.0,2620300000.0
Diluted EPS,,2.56,2.99,2.32,2.12
Basic EPS,,2.58,3.0,2.33,2.13
Diluted NI Availto Com Stockholders,5744000000.0,6487000000.0,7642000000.0,6049000000.0,
Net Income Common Stockholders,5744000000.0,6487000000.0,7642000000.0,6049000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5744000000.0,6487000000.0,7642000000.0,6049000000.0,
Minority Interests,-625000000.0,-653000000.0,-627000000.0,-572000000.0,
Net Income Including Noncontrolling Interests,6369000000.0,7140000000.0,8269000000.0,6621000000.0,
Net Income Continuous Operations,6369000000.0,7140000000.0,8269000000.0,6621000000.0,
Tax Provision,2500000000.0,2199000000.0,2068000000.0,1935000000.0,
Pretax Income,8869000000.0,9339000000.0,10337000000.0,8556000000.0,
Special Income Charges,-1974000000.0,-315000000.0,915000000.0,-1008000000.0,
Other Special Charges,604000000.0,-427000000.0,-1963000000.0,27000000.0,
Impairment Of Capital Assets,133000000.0,1000000.0,221000000.0,17000000.0,
Restructuring And Mergern Acquisition,1237000000.0,741000000.0,827000000.0,964000000.0,
Net Non Operating Interest Income Expense,-680000000.0,-633000000.0,-508000000.0,-351000000.0,
Total Other Finance Cost,,,,10000000.0,9000000.0
Interest Expense Non Operating,1118000000.0,1075000000.0,789000000.0,498000000.0,
Interest Income Non Operating,438000000.0,442000000.0,281000000.0,147000000.0,
Operating Income,11250000000.0,10041000000.0,9727000000.0,9626000000.0,
Operating Expense,16120000000.0,15134000000.0,14440000000.0,12559000000.0,
Other Operating Expenses,,5749000000.0,5755000000.0,4829000000.0,4782000000.0
Research And Development,987000000.0,949000000.0,908000000.0,847000000.0,
Selling General And Administration,15204000000.0,14295000000.0,13576000000.0,11702000000.0,
Selling And Marketing Expense,15204000000.0,14295000000.0,13576000000.0,6873000000.0,
General And Administrative Expense,,5749000000.0,5755000000.0,4829000000.0,4782000000.0
Gross Profit,27370000000.0,25175000000.0,24167000000.0,22185000000.0,
Cost Of Revenue,33391000000.0,34429000000.0,35906000000.0,30259000000.0,
Total Revenue,60761000000.0,59604000000.0,60073000000.0,52444000000.0,
Operating Revenue,60761000000.0,59604000000.0,60073000000.0,52444000000.0,
