Metric,Value
address1,Unilever House
address2,100 Victoria Embankment
city,London
zip,EC4Y 0DY
country,United Kingdom
phone,44 20 7822 5252
website,https://www.unilever.com
industry,Household & Personal Products
industryKey,household-personal-products
industryDisp,Household & Personal Products
sector,Consumer Defensive
sectorKey,consumer-defensive
sectorDisp,Consumer Defensive
longBusinessSummary,"Unilever PLC operates as a fast-moving consumer goods company in the Asia Pacific, Africa, the Americas, and Europe. It operates through five segments: Beauty & Wellbeing, Personal Care, Home Care, Foods, and Ice Cream. The Beauty & Wellbeing segment engages in the sale of hair care products, such as shampoo, conditioner, and styling; skin care products, including face, hand, and body moisturizers; and Prestige beauty and wellbeing products. The Personal Care segment offers skin cleansing products comprising soaps and showers; deodorants; and oral care products consisting of toothpaste, toothbrush, and mouthwash products. The Home Care segment is involved in the sale of fabric care products, including washing powders and liquids, and rinse conditioners; and fabric enhancers, and home and hygiene cleaning products. The Foods segment provides cooking aids and mini meals, such as soups, bouillons, and seasonings, as well as condiments, mayonnaise and ketchup, and food solutions. The Ice Cream segment offers ice cream products, including in-home and out-of-home ice creams. The company provides its products under the AXE, Ben & Jerry's, Clear, Cif, Closeup, Comfort, Cornetto, Dermalogica, Domestos, Dove, Dove Men+Care, Hellmann's, Horlicks, Knorr, LUX, Lifebuoy, Liquid I.V., Magnum, Nutrafol, OMO, Pond's, Paula's Choice, Pepsodent, Rexona, Sunlight, Sunsilk, Surf, TRESemmé, Vaseline, Wall's, and Yasso brand names. Unilever PLC was founded in 1860 and is headquartered in London, the United Kingdom."
fullTimeEmployees,115964
