,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1210090.0,,,,
Ordinary Shares Number,42111723.0,43321813.0,42196554.0,40964225.0,
Share Issued,43321813.0,43321813.0,42196554.0,40964225.0,
Total Debt,22507000.0,22720000.0,13074000.0,7362000.0,
Tangible Book Value,258643000.0,204246000.0,138083000.0,104715000.0,
Invested Capital,278126000.0,222960000.0,142897000.0,107710000.0,
Working Capital,255540000.0,196392000.0,115761000.0,94639000.0,
Net Tangible Assets,258643000.0,204246000.0,138083000.0,104715000.0,
Capital Lease Obligations,22507000.0,22720000.0,13074000.0,7362000.0,
Common Stock Equity,278126000.0,222960000.0,142897000.0,107710000.0,
Total Capitalization,278126000.0,222960000.0,142897000.0,107710000.0,
Total Equity Gross Minority Interest,279005000.0,223491000.0,142897000.0,107710000.0,
Minority Interest,879000.0,531000.0,0.0,0.0,
Stockholders Equity,278126000.0,222960000.0,142897000.0,107710000.0,
Treasury Stock,6697000.0,0.0,,,
Retained Earnings,235256000.0,170939000.0,88807000.0,56260000.0,
Additional Paid In Capital,52570000.0,52570000.0,52079000.0,50823000.0,
Capital Stock,87000.0,87000.0,84000.0,82000.0,
Common Stock,87000.0,87000.0,84000.0,82000.0,
Total Liabilities Net Minority Interest,203532000.0,149109000.0,150809000.0,99005000.0,
Total Non Current Liabilities Net Minority Interest,51380000.0,35678000.0,20593000.0,15718000.0,
Other Non Current Liabilities,1812000.0,1884000.0,,,
Derivative Product Liabilities,24695000.0,5922000.0,7317000.0,7745000.0,
Tradeand Other Payables Non Current,885000.0,875000.0,222000.0,7745000.0,
Non Current Deferred Taxes Liabilities,3661000.0,5305000.0,1387000.0,1061000.0,
Long Term Debt And Capital Lease Obligation,20327000.0,21692000.0,11667000.0,6912000.0,
Long Term Capital Lease Obligation,20327000.0,21692000.0,11667000.0,6912000.0,
Long Term Provisions,,,222000.0,,
Current Liabilities,152152000.0,113431000.0,130216000.0,83287000.0,
Current Debt And Capital Lease Obligation,2180000.0,1028000.0,1407000.0,450000.0,
Current Capital Lease Obligation,2180000.0,1028000.0,1407000.0,450000.0,
Payables,49161000.0,63991000.0,75422000.0,43947000.0,
Other Payable,35735000.0,51243000.0,70272000.0,40100000.0,
Total Tax Payable,13426000.0,12748000.0,5150000.0,3847000.0,
Accounts Payable,,,,36697000.0,17591000.0
Total Assets,482537000.0,372600000.0,293706000.0,206715000.0,
Total Non Current Assets,74845000.0,62777000.0,47729000.0,28789000.0,
Financial Assets,28699000.0,14369000.0,27819000.0,17335000.0,
Investmentin Financial Assets,,,,0.0,5832000.0
Available For Sale Securities,,,,,5832000.0
Goodwill And Other Intangible Assets,19483000.0,18714000.0,4814000.0,2995000.0,
Other Intangible Assets,14957000.0,14007000.0,4814000.0,2995000.0,
Goodwill,4526000.0,4707000.0,0.0,0.0,
Net PPE,26663000.0,29694000.0,15096000.0,8459000.0,
Accumulated Depreciation,-4528000.0,-2972000.0,-1657000.0,-1336000.0,
Gross PPE,31191000.0,32666000.0,16753000.0,9795000.0,
Other Properties,,,,6136000.0,6945000.0
Machinery Furniture Equipment,4780000.0,4371000.0,2138000.0,2206000.0,
Buildings And Improvements,26411000.0,28295000.0,14615000.0,7589000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,407692000.0,309823000.0,245977000.0,177926000.0,
Hedging Assets Current,132446000.0,90966000.0,99119000.0,58551000.0,
Restricted Cash,10063000.0,8810000.0,4726000.0,3506000.0,
Prepaid Assets,3748000.0,3258000.0,2437000.0,1462000.0,
Other Receivables,4926000.0,4538000.0,2896000.0,7825000.0,
Taxes Receivable,0.0,73000.0,0.0,0.0,
Accounts Receivable,4041000.0,4237000.0,,58551000.0,53992000.0
Cash Cash Equivalents And Short Term Investments,252468000.0,197941000.0,136799000.0,108044000.0,
Other Short Term Investments,,,,5803000.0,11804000.0
Cash And Cash Equivalents,252468000.0,197941000.0,136799000.0,108044000.0,
Cash Financial,,,,111550000.0,86997000.0
