,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,91728000.0,75602000.0,33711000.0,31884000.0,
Repurchase Of Capital Stock,-30004000.0,0.0,,,
Issuance Of Capital Stock,329000.0,491000.0,963000.0,26000.0,
Capital Expenditure,-8802000.0,-15187000.0,-5220000.0,-2653000.0,
End Cash Position,252468000.0,197941000.0,136799000.0,108044000.0,
Beginning Cash Position,197941000.0,136799000.0,108044000.0,82972000.0,
Effect Of Exchange Rate Changes,-2032000.0,-643000.0,1382000.0,-148000.0,
Changes In Cash,56559000.0,61785000.0,27373000.0,25220000.0,
Financing Cash Flow,-41246000.0,-10211000.0,-7067000.0,-6664000.0,
Net Other Financing Charges,-48000.0,,775000.0,327000.0,
Interest Paid Cff,-1145000.0,-793000.0,-452000.0,-652000.0,
Cash Dividends Paid,-7084000.0,-6368000.0,-4810000.0,-4505000.0,
Common Stock Dividend Paid,-7084000.0,-6368000.0,-4810000.0,-4505000.0,
Net Common Stock Issuance,-29675000.0,491000.0,963000.0,26000.0,
Common Stock Payments,-30004000.0,0.0,,,
Common Stock Issuance,329000.0,491000.0,963000.0,26000.0,
Investing Cash Flow,-2725000.0,-18793000.0,-4491000.0,-2653000.0,
Interest Received Cfi,6053000.0,4616000.0,729000.0,,
Net Business Purchase And Sale,0.0,-8227000.0,0.0,,
Purchase Of Business,0.0,-8227000.0,0.0,,
Net Intangibles Purchase And Sale,,,,,-1666000.0
Purchase Of Intangibles,,,,,-1666000.0
Net PPE Purchase And Sale,-1039000.0,-7157000.0,-1785000.0,-661000.0,
Sale Of PPE,24000.0,5000.0,0.0,0.0,
Purchase Of PPE,-1063000.0,-7162000.0,-1785000.0,-661000.0,
Capital Expenditure Reported,-7739000.0,-8025000.0,-3435000.0,-1992000.0,
Operating Cash Flow,100530000.0,90789000.0,38931000.0,34537000.0,
Taxes Refund Paid,-30451000.0,-15881000.0,-7486000.0,-4666000.0,
Change In Working Capital,-4238000.0,-10289000.0,-2931000.0,3146000.0,
Change In Other Current Liabilities,65149000.0,-9232000.0,5000000.0,26851000.0,
Change In Other Current Assets,-54965000.0,18351000.0,-46469000.0,-9597000.0,
Change In Payable,-13670000.0,-15550000.0,40014000.0,-14235000.0,
Change In Receivables,-752000.0,-3858000.0,-1476000.0,127000.0,
Other Non Cash Items,-90122000.0,-79301000.0,-9604000.0,145000.0,
Stock Based Compensation,5325000.0,-58000.0,1101000.0,260000.0,
Provisionand Write Offof Assets,,,,0.0,1180000.0
Depreciation And Amortization,11173000.0,6401000.0,3491000.0,2348000.0,
Amortization Cash Flow,6598000.0,3137000.0,1573000.0,950000.0,
Depreciation,4575000.0,3264000.0,1918000.0,1398000.0,
Gain Loss On Sale Of PPE,131000.0,8000.0,,0.0,1000.0
Net Income From Continuing Operations,123114000.0,115934000.0,46777000.0,33183000.0,
