,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.246836,0.234116,0.17,0.22
Normalized EBITDA,135487000.0,123128000.0,50720000.0,36212000.0
Net Income From Continuing Operation Net Minority Interest,93019000.0,88825000.0,38613000.0,23531000.0
Reconciled Depreciation,11173000.0,6401000.0,3491000.0,2348000.0
EBITDA,135487000.0,123128000.0,50720000.0,36212000.0
EBIT,124314000.0,116727000.0,47229000.0,33864000.0
Net Interest Income,4819000.0,3782000.0,326000.0,-145000.0
Interest Expense,1200000.0,793000.0,452000.0,681000.0
Interest Income,6053000.0,4616000.0,784000.0,536000.0
Normalized Income,93019000.0,88825000.0,38613000.0,23531000.0
Net Income From Continuing And Discontinued Operation,93019000.0,88825000.0,38613000.0,23531000.0
Total Expenses,17305000.0,-1710000.0,51881000.0,44143000.0
Rent Expense Supplemental,1022000.0,897000.0,787000.0,179000.0
Total Operating Income As Reported,118295000.0,112152000.0,46451000.0,33328000.0
Diluted Average Shares,43938184.0,43666053.0,43406113.0,42698950.0
Basic Average Shares,43119507.0,43072098.0,41923407.0,40773748.0
Diluted EPS,2.117,2.034,0.838,0.551
Basic EPS,2.157,2.062,0.868,0.577
Diluted NI Availto Com Stockholders,93019000.0,88825000.0,38613000.0,23531000.0
Net Income Common Stockholders,93019000.0,88825000.0,38613000.0,23531000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,93019000.0,88825000.0,38613000.0,23531000.0
Minority Interests,294000.0,33000.0,0.0,-2512000.0
Net Income Including Noncontrolling Interests,92725000.0,88792000.0,38613000.0,26043000.0
Net Income Continuous Operations,92725000.0,88792000.0,38613000.0,26043000.0
Tax Provision,30389000.0,27142000.0,8164000.0,7140000.0
Pretax Income,123114000.0,115934000.0,46777000.0,33183000.0
Net Non Operating Interest Income Expense,4819000.0,3782000.0,326000.0,-145000.0
Total Other Finance Cost,34000.0,41000.0,6000.0,
Interest Expense Non Operating,1200000.0,793000.0,452000.0,681000.0
Interest Income Non Operating,6053000.0,4616000.0,784000.0,536000.0
Operating Income,118295000.0,112152000.0,46451000.0,33328000.0
Operating Expense,17305000.0,-1710000.0,51881000.0,44143000.0
Other Operating Expenses,102608000.0,73809000.0,61159000.0,44143000.0
Total Revenue,135600000.0,110442000.0,98332000.0,77471000.0
Operating Revenue,135600000.0,110442000.0,98332000.0,77471000.0
