Metric,Value
address1,Brunel Building
address2,2 Canalside Walk
city,London
zip,W2 1DG
country,United Kingdom
phone,44 20 3800 0120
website,https://www.alphagroup.com
industry,Capital Markets
industryKey,capital-markets
industryDisp,Capital Markets
sector,Financial Services
sectorKey,financial-services
sectorDisp,Financial Services
longBusinessSummary,"Alpha Group International plc provides cash and risk management solutions in the United Kingdom, Europe, Canada, and internationally. It operates in three segments: Corporate, Private Capital Markets, and Cobase. The corporate segment offers risk management to corporate clients for hedging commercial foreign exchange exposures. The Private Capital Markets segment includes accounts and payments simplified formation and management of currency accounts, and multi-currency payments; currency management strategic advisory and execution services for managing currency exposures; and fund finance streamlined debt-sourcing and advisory for structuring of facilities. The Cobase segment provides cloud-based bank connectivity technology, which helps corporates to manage their banking relationships and transactions. The company's solutions include accounts, foreign exchange, debt-sourcing, deposit solutions, multi-bank connectivity technology, and expert advice on managing financial market risks. The company was formerly known as Alpha FX Group PLC and changed its name to Alpha Group International plc in December 2022. Alpha Group International plc was founded in 2009 and is based in London, the United Kingdom."
fullTimeEmployees,545
