Metric,Value
quoteType,MUTUALFUND
symbol,ATG
language,en-US
region,US
typeDisp,Fund
quoteSourceName,Delayed Quote
triggerable,False
customPriceAlertConfidence,NONE
marketState,CLOSED
hasPrePostMarketData,False
firstTradeDateMilliseconds,1471872600000
priceHint,2
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
corporateActions,[]
regularMarketTime,1561759658
exchange,YHD
tradeable,False
cryptoTradeable,False
fullExchangeName,YHD
averageDailyVolume3Month,0
averageDailyVolume10Day,0
fiftyTwoWeekRange,500.0 - 950.0
fiftyTwoWeekLow,500.0
fiftyTwoWeekHigh,950.0
fiftyTwoWeekChangePercent,5.1724195
fiftyDayAverage,610.0
twoHundredDayAverage,626.5
sourceInterval,15
exchangeDataDelayedBy,0
shortName,302429
trailingPegRatio,
